title,artists,year,track_id,release_date,spotify.name,spotify.artists
You Don't Wanna Know,Orianthi,2013,2xakwjAR8ZklRixwMlNDkJ,2013-03-12,You Don't Wanna Know,['Orianthi']
You Feel So Lonely You Could Die,David Bowie,2013,3Z3SijCWtahBWb1SNKR0Z6,2013-03-08,You Feel So Lonely You Could Die,['David Bowie']
You Gave Up On Love (2.0),Boston,2013,1X27FISPpWiYMkax14g16C,2013-12-03,You Gave up on Love (2.0),['Boston']
You Got Me,Ashley Monroe,2013,7hSNvP04gvFVpsbKWSyje1,2013-03-05,You Got Me,['Ashley Monroe']
You Know,Laura Marling,2013,6lDCPwQSvr5ZGhkt3jFvo0,2013-01-01,You Know,['Laura Marling']
You Know You Like It,AlunaGeorge,2013,7K6J5sDjzyON20FjMCW92Z,2013-01-01,You Know You Like It,['AlunaGeorge']
You Lust,The Flaming Lips,2013,4idKgZX3vSMbH8TC3Gf1Q2,2013-04-12,You Lust,['The Flaming Lips']
You Make Me,Avicii,2013,52RK8UVEDgUAgpecOpTQM3,2013-01-01,You Make Me,['Avicii']
You Remind Me Of You,Jack Johnson,2013,1V4h1A0c9F0tYZfVzFtDri,2013-01-01,You Remind Me Of You,['Jack Johnson']
You Saved Me,The Winery Dogs,2013,6fK2zsY3dLxkNMR7bxTWH5,2013-05-05,You Saved Me,['The Winery Dogs']
You Think You Know,Device,2013,4ynbl7vMupf7oXvCGB4hEF,2013-04-02,You Think You Know,['Device']
You Wanna Know,Don Broco,2013,2T39zzU03Jpc7GKbPlGaXP,2016-11-11,You Wanna Know,['DON BROCO']
You Were Good,Jimmy Eat World,2013,2mTdLqlnoccdoyKW2wVFJl,2013-06-07,You Were Good,['Jimmy Eat World']
You Will See Me,dan le sac Vs Scroobius Pip,2013,07c43OGLWCRPkyKRP6qpBa,2013-10-07,You Will See Me,['Dan Le Sac vs Scroobius Pip']
You Without Me,Gary Allan,2013,4cs8SKrbcjbXISYLQpqqDf,2013,You Without Me,['Gary Allan']
You'll See,The Feeling,2013,5bt3wYRKxo8IApNhW0onD7,2013-10-07,You'll See,['The Feeling']
You're Always Here,Ashley Tisdale,2013,5ld8UWV8yNTCY0lU1pqVVS,2013-12-16,You're Always Here,['Ashley Tisdale']
You're Gonna Get It,Miles Kane,2013,7iHoP8hxJ3HEvUOvN9b1Qy,2013-06-03,You're Gonna Get It,['Miles Kane']
You're My Friend,Eels,2013,6uNccyI20v676Ia3hh6mQL,2013-02-05,You're My Friend,['Eels']
You're Nobody 'Til Somebody Loves You,James Arthur,2013,6rlgy1boD69A3mcV7VzPRL,2013-11-04,You're Nobody 'Til Somebody Loves You,['James Arthur']
You're Not Alone,Of Mice & Men,2013,3xwNe4PXYyqlDvmYnUVppm,2014-01-24,You're Not Alone,['Of Mice & Men']
You're Not The Boss Of Me,Blue Sky Riders,2013,,,,
You're So Dark,Arctic Monkeys,2013,40DwUg5zPX8H23WpTdD2iW,2013-12-09,You're So Dark,['Arctic Monkeys']
You've Got Time,Regina Spektor,2013,1vDMGBzqLJWZC5UzePDURw,2013-07-05,You've Got Time,['Regina Spektor']
You've Never Had It So Good,Cast of Stephen Ward the Musical,2013,,,,
You've Ruined Me,LeAnn Rimes,2013,6LIgSCHKDiSNQQCL7CGaN9,2013-04-09,You've Ruined Me,['LeAnn Rimes']
"You, My Everything",Ellie Goulding,2013,0upxeRL8gIt5BIno6oCJ31,2013-01-01,You My Everything,['Ellie Goulding']
Young And Beautiful,Lana Del Rey,2013,2nMeu6UenVvwUktBCpLMK9,2013-01-01,Young And Beautiful,['Lana Del Rey']
Young Blood,Sophie Ellis-Bextor,2013,70vztYfLEvM8yUveD6skP0,2013-11-21,Young Blood,['Sophie Ellis-Bextor']
Young Legends,Sleigh Bells,2013,0YjAusKnwNlugyvoMMkXcL,2013-10-08,Young Legends,['Sleigh Bells']
Young Lion,Vampire Weekend,2013,1ZcI6ZPRjKhuF2fhxTCRGD,2013-05-13,Young Lion,['Vampire Weekend']
Young Love,Kip Moore,2013,1jU8PY3PkrH9CyySlwjb3F,2013-01-01,Young Love,['Kip Moore']
Young Volcanoes,Fall Out Boy,2013,3nSiB5WCF2pmRQrYSsteHv,2013-01-01,Young Volcanoes,['Fall Out Boy']
Your Body Is A Weapon,The Wombats,2013,4eCEoRIVK7cg02cm6JcogU,2013-12-03,Your Body Is a Weapon,['The Wombats']
"Your Drums, Your Love",AlunaGeorge,2013,7IdTIjPXUc7bJQyabnmQiT,2013-01-01,"Your Drums, Your Love",['AlunaGeorge']
Your Favorite Song,Mindless Behavior,2013,,,,
Your Fine Petting Duck,Devendra Banhart,2013,7kvJv3I1eXt6CU3ueB9U3o,2013-03-08,Your Fine Petting Duck,['Devendra Banhart']
Your Flame,Stone Gossard,2013,,,,
Your Hallelujah,Leona Lewis,2013,0SBwtZsilU33zWP4f4S8xv,2013-12-02,Your Hallelujah,['Leona Lewis']
Your Life is a Lie,MGMT,2013,0MVE8I80hHgzidIMT0wghI,2013-09-16,Your Life Is a Lie,['MGMT']
Your Love,Deap Vally,2013,6b3Zc7yeHcf6IHFxIMIvKq,2013-01-01,Your Love,['Deap Vally']
Your Mama Should've Named You Whiskey,Luke Bryan,2013,5xS4RuhuNfetyACONepwJf,2014-08-12,Your Mama Should've Named You Whiskey,['Luke Bryan']
Your Touch,Blake Lewis,2013,5ZYzaROQcMP8xRqS1IFbvg,2014-05-20,Your Touch,['Blake Lewis']
Yung Rapunxel,Azealia Banks,2013,1bjKhiru9zzvXXxqnQi7Zl,2014-11-07,Yung Rapunxel,['Azealia Banks']
Zeitgeist,Black Sabbath,2013,4HFRItYjNrcwT6Vbtbk2i4,2013-01-01,Zeitgeist,['Black Sabbath']
Zero,Hawthorne Heights,2013,13HAH17lvsqJB8h9AHLaOQ,2013-06-25,Zero,['Hawthorne Heights']
Zombie,We As Human,2013,2spoNtJMNhHUBaz2fqAQsw,2011-06-21,Zombie (feat. John Cooper),"['We As Human', 'John Cooper']"
Zug Zwang,Dutch Uncles,2013,5T0eu9S6aHIp0hZymTU8nv,2013-04-02,Zug Zwang,['Dutch Uncles']
{Awayland},Villagers,2013,50mmSq5MMQy9IaQmxJuU0f,2013-04-09,{Awayland},['Villagers']
Ísjaki,Sigur Rós,2013,6KeFP4Wf2z7NeMK3PBrYsd,2013-06-07,Ísjaki,['Sigur Rós']
…Like Clockwork,Queens of the Stone Age,2013,3UYeU6M7cOG4g2PlAOTvz9,2013-06-03,...Like Clockwork,['Queens of the Stone Age']
#Selfie,The Chainsmokers,2014,1HOlb9rdNOmy9b1Fakicjo,2014-01-01,#SELFIE,['The Chainsmokers']
﻿(Mortis),Kasabian,2014,5MQtdFItPEMNkGfdMXGZfv,2014-10-07,(mortis),"['Kasabian', 'Wilf Dillon']"
(Shiva),Kasabian,2014,1mjzuNKJ5QjjZIGlb3vZF7,2014-10-07,(shiva),['Kasabian']
0 to 100/ The Catch Up,Drake,2014,0YUceLILT9oOojmbv64H2l,2014-07-15,0 To 100 / The Catch Up,['Drake']
1%,Funeral for a Friend,2014,4CTUbXetylg6XQDBEDKCxx,2014,0.01,['Funeral For A Friend']
10 Million People,Example,2014,4x1sTfUXhTPeNFAzq0iZrF,2014-07-07,10 Million People,['Example']
"10,000 Towns",Eli Young Band,2014,,,,
1000 Deaths,D'Angelo,2014,,,,
1000hp,Godsmack,2014,2DpLoT8qfJdZhsLGFg413r,2014-08-05,1000hp,['Godsmack']
11:11,Arkells,2014,44knIcu8J6lhqM1elwRggd,2014-08-05,11: 11,['Arkells']
16 Shades of Blue,Tori Amos,2014,7l5LOW02SZNtzOBQnIj8Nh,2014-01-01,16 Shades Of Blue,['Tori Amos']
18,One Direction,2014,3JjnGLK8IxkNLvo8Lb3KOM,2014-11-17,18,['One Direction']
2 On,Tinashe,2014,3jVtllWS5CFFWLQng8sKsr,2014-10-01,2 On (feat. ScHoolboy Q),"['Tinashe', 'ScHoolboy Q']"
23,Shakira,2014,1pMkyQhAIAUN5fBNunIkGA,2014-03-14,23,['Shakira']
25 Hours,Johnny Marr,2014,0vDiEffGXsVEywphIQcuEF,2014-09-30,25 Hours,['Johnny Marr']
30 Minute Break,The Luka State,2014,5kSgGv8pVmfcI6MAxkhqJf,2014-03-24,30 Minute Break,['The Luka State']
30 Years To Life,Slash,2014,6xxAPSQwlvSCBH6TDhX9fR,2014-09-16,30 Years To Life,"['Slash', 'Myles Kennedy And The Conspirators']"
4 Digits,Mustard,2014,0WtHRqsj9cIjU0vNcX02W6,2014-08-11,4 Digits,"['Mustard', 'Fabolous', 'Eric Bellinger']"
4 Small Black and White Pictures of You,DEC3,2014,0b8gF0UWCEc9qLka9fWVRj,2014-09-30,4 Small Black & White Pictures of You,['Dec3']
4th Quarter,Big Sean,2014,,,,
4WP,Brad Paisley,2014,16xlOFhGYb1eU8tz935AHf,2014-08-25,4WP (feat. Brad Paisley),['Brad Paisley feat. Brad Paisley']
5 AM,Hamilton Leithauser,2014,13Kzpte3VzxyfNqRkKAKlf,2014-06-02,5 AM,['Hamilton Leithauser']
50 Shades of Crazy,Chase Rice,2014,3tzdceac3QrbpAnZ6aaWMO,2014-08-19,50 Shades of Crazy,['Chase Rice']
"50,000 Watts",Rosanne Cash,2014,,,,
6 God,Drake,2014,3a8tAZFJxlmBwOtrf5L1oC,2015-02-12,6 God,['Drake']
6 Words,Wretch 32,2014,35AjS3dxL8M9JUFtiId5QJ,2014-11-14,6 Words,['Wretch 32']
7/11,Beyoncé,2014,02M6vucOvmRfMxTXDUwRXu,2014-11-24,7/11,['Beyoncé']
74 Is the New 24,Giorgio Moroder,2014,6ZZAWyuSScJwOMBXPDNa2Y,2015-06-12,74 Is the New 24,['Giorgio Moroder']
747,Lady A,2014,7FmoaVp4QaMfNQwH6fcnsy,2014-09-30,747,['Lady A']
8 Good Reasons,Sinéad O'Connor,2014,1TxgpYKweWwiQ1GDcZRm5O,2014-08-12,8 Good Reasons,"[""Sinéad O'Connor""]"
8 Nights of Joy,Katherine Jenkins,2014,0PI2mhyRn2V5qne4RAgtHT,2014-11-10,8 Nights Of Joy,['Katherine Jenkins']
90 to Nothing,Mac Powell,2014,39wNMV7OTw7xyykJWrqXKK,2014-10-14,90 to Nothing,['Mac Powell']
90s Music,Kimbra,2014,7vWbM1oPbGsmOLkaThJRQk,2014-08-15,90s Music,['Kimbra']
A Beginner's Guide to Destroying the Moon,Foster the People,2014,0upcwsWXAgtSFAG72Ry9em,2014-03-14,A Beginner's Guide to Destroying the Moon,['Foster The People']
A Better Tomorrow,Wu-Tang Clan,2014,3JJU9BP2zRFdXpVA7r0gby,2014-11-28,A Better Tomorrow,['Wu-Tang Clan']
A Billion Girls,Elyar Fox,2014,,,,
A Dog's Life,Wild Beasts,2014,3QeVwzmcQbAiXKsYMv9Qjt,2014-10-13,A Dog's Life,['Wild Beasts']
A Dozen Roses and a Six-Pack,Cole Swindell,2014,3Ne1RRcRpIn2RBYyuidXcS,2014-02-18,Dozen Roses & a Six-Pack,['Cole Swindell']
A Feather's Not A Bird,Rosanne Cash,2014,2Sh2hbPAdqTftRmn6MItCx,2013-01-01,A Feather's Not A Bird,['Rosanne Cash']
A Guy Walks Into a Bar,Tyler Farr,2014,16PNN9wK1LbedzcTp7y8y0,2015-04-27,A Guy Walks Into a Bar,['Tyler Farr']
A Little Bit of Me,Melissa Etheridge,2014,18F8nkyPfuBKvHVhIeU6Ad,2014-09-30,A Little Bit Of Me,['Melissa Etheridge']
A Little Bit of Your Heart,Ariana Grande,2014,5lvnGiTAH9BVlJLHc0DXZz,2014-08-25,Just A Little Bit Of Your Heart,['Ariana Grande']
A Little Memory,Josh Thompson,2014,0yEE4RNHNdM3v4JwqqBMTw,2014-01-01,A Little Memory,['Josh Thompson']
A Little More,Eric Hutchinson,2014,3AH12fVi34vJVqriMpM6Bo,2014-04-08,A Little More,['Eric Hutchinson']
A Man Who Was Gonna Die Young,Eric Church,2014,4tLNKzcRv95bWCtwNpH4w6,2014-01-01,A Man Who Was Gonna Die Young,['Eric Church']
A Million Random Digits,...And You Will Know Us by the Trail of Dead,2014,6HIhq0AQLGwE6iiB59KSOm,2014-11-10,A Million Random Digits,['...And You Will Know Us by the Trail of Dead']
A Million Ways to Die,Alan Jackson,2014,5s2p0YwJG47Y6AhyoDuhKV,2014-05-27,A Million Ways To Die,['Alan Jackson']
A New House,Deacon Blue,2014,1fIFl2WzAOwbV350JTiH1f,2014-09-05,A New House,['Deacon Blue']
A New Reality,Klaxons,2014,1qgYfqgkSEA7b2TnRjJ1GH,2014-06-16,A New Reality,['Klaxons']
A Place With No Name,Michael Jackson,2014,35SI5zFEhOeo4XDBMwS41S,2014-05-09,A Place With No Name,['Michael Jackson']
A Plan Too Far,Chrissie Hynde,2014,,,,
A Rose By Any Name,Blondie,2014,3IeWjE3ofebFX7FxKjTcHK,2013-05-12,A Rose By Any Name,['Blondie']
A Simple Beautiful Truth,Wild Beasts,2014,2TkyyKvoQbuTYcHMlJYsrP,2014-10-13,A Simple Beautiful Truth,['Wild Beasts']
A Sky Full Of Stars,Coldplay,2014,0FDzzruyVECATHXKHFs9eJ,2014-05-19,A Sky Full of Stars,['Coldplay']
A Stolen Kiss,Robert Plant,2014,1fhWIeTQdhOFCzJ8NsfbF1,2014-09-05,A Stolen Kiss,['Robert Plant']
A Street,Leonard Cohen,2014,57TcSOqWS3AIsTb3BWlZjK,2014-09-16,A Street,['Leonard Cohen']
A Tale of 2 Citiez,J. Cole,2014,7lL3MvFWFFSD25pBz72Agj,2014-12-09,A Tale of 2 Citiez,['J. Cole']
A Town Called Paradise,Tiesto,2014,,,,
A Woman's Rant,Jo Dee Messina,2014,4JFfx4axeCT6ep2UAwkO4E,2014-03-18,A Woman's Rant,['Jo Dee Messina']
A World With You,Jason Mraz,2014,75FSHhwTzGm1RaTefQtIpP,2014-07-14,A World with You,['Jason Mraz']
A&E,Clean Bandit,2014,1Qi6CGoqTG1UvFcuRzKRNL,2014-06-02,A+E (feat. Kandaka Moore & Nikki Cislyn),"['Clean Bandit', 'Alex Newell', 'Sean Bass']"
A.K.A.,Jennifer Lopez,2014,2XigeYgSpAjYTWnjjuwEjR,2014-06-17,A.K.A.,"['Jennifer Lopez', 'T.I.']"
About The Money,T.I.,2014,1hzJQIkgXwZevaKsc7iA6D,2014-06-03,About the Money (feat. Young Thug),"['T.I.', 'Young Thug']"
Ace In The Hole,Saint Motel,2014,4yZB0cywBNhhpNe9fnqgjz,2014-08-16,Ace in the Hole,['Saint Motel']
Achy Breaky 2,Buck 22,2014,37FK7UA8BqmCllCfFabkLE,2014-02-11,Achy Breaky 2 (feat. Billy Ray Cyrus),['Buck 22']
Across The Water,Neneh Cherry,2014,71rR92vH64ovSLUm3ekmoQ,2014-02-07,Across The Water,['Neneh Cherry']
Acting Like That,Jennifer Lopez,2014,1o2TUFm3HmbgmYr2OqmVpy,2014-06-17,Acting Like That,"['Jennifer Lopez', 'Iggy Azalea']"
Action Cat,Gerard Way,2014,176J9E3MwJX8eCd3RvS0Nn,2014-08-22,Action Cat,['Gerard Way']
Add Me In,Chris Brown,2014,7APPdMI01MaPrDDC13SQ4Z,2014-09-16,Add Me In,['Chris Brown']
Adrenalina,Wisin,2014,2eqDUxbd0JPEhNrJdPlHLs,2014-03-18,Adrenalina (feat. Jennifer Lopez & Ricky Martin),"['Wisin', 'Jennifer Lopez', 'Ricky Martin']"
Afire Love,Ed Sheeran,2014,12B0Twa9kRz45Xw2PgXHJm,2014-06-21,Afire Love,['Ed Sheeran']
Afraid of Nothing,Sharon Van Etten,2014,3IjshyH1qjppgvHWD38TVf,2014-05-27,Afraid of Nothing,['Sharon Van Etten']
After Party,Dustin Lynch,2014,5JS6IMCihH8U8kTSvyfksO,2014-09-09,After Party,['Dustin Lynch']
After The Disco,Broken Bells,2014,1MmDfBzGsWKXb0rQfTyvOy,2014-01-13,After the Disco,['Broken Bells']
Agatha Chang,Eels,2014,1bKmhZgf3JOrHyiucpNDCl,2014-04-21,Agatha Chang,['Eels']
Ain't No Easy Way,Jason Aldean,2014,,,,
Ain't No Man,Angaleena Presley,2014,7lyEgiQk3mOrDqrID6oNS8,2014-10-14,Ain't No Man,['Angaleena Presley']
Ain't Worth the Whiskey,Cole Swindell,2014,3OZVqx1YsqDDkxQ6TnmHtn,2014-02-18,Ain't Worth the Whiskey,['Cole Swindell']
Air Balloon,Lily Allen,2014,1DIS8YXZKxePLmY7Z8UC4I,2014-01-20,Air Balloon,['Lily Allen']
Air Guitar,McBusted,2014,6WTfgZm2a1uSFfMvLDPGS4,2014-12-01,Air Guitar,['McBusted']
Akeda,Matisyahu,2014,6yJOnFQgYwemXxaOjlnTYA,2014-01-01,Akeda,['Matisyahu']
Al's Coral,Howler,2014,,,,
Alexandra,Hamilton Leithauser,2014,1gYQPspv1GMOiKLvLnT05d,2014-06-02,Alexandra,['Hamilton Leithauser']
Alive,Augustana,2014,1pbEvQXa2EExwdVNZNZuT4,2014-04-22,Alive,['Augustana']
All About It,Hoodie Allen,2014,2rvHIXjN4TCFuFLZk3qAxn,2014-10-14,All About It (feat. Ed Sheeran),"['Hoodie Allen', 'Ed Sheeran']"
All About That Bass,Meghan Trainor,2014,0ifSeVGUr7py5GggttDhXw,2014-06-30,All About That Bass,['Meghan Trainor']
All About You,Hilary Duff,2014,5c7tO3OhDBA4CUkdGoKkI2,2014-08-12,All About You,['Hilary Duff']
All Along,Ryan Hobler,2014,6w9A2liNJDctltgdxWd9HW,2015-01-20,All Along,['Ryan Hobler']
All Bad Things Must End,Mötley Crüe,2014,,,,
All Fall Down,California Breed,2014,2FnB8VKl9kwZJExh3AZSmC,2014-05-19,All Falls Down,['California Breed']
All For Nothing,Linkin Park,2014,5Rcs3fREgibWujLUlUb8KA,2014-06-13,All for Nothing (feat. Page Hamilton),"['Linkin Park', 'Page Hamilton']"
All For One,Five for Fighting,2014,0tqNMb9yd2SQM6I84JLWRD,2014-11-06,All for One,['Five For Fighting']
All For You,Alex & Sierra,2014,40tXx7A9uzWXFB3fOAmlYH,2014-10-06,All for You,['Alex & Sierra']
All Hands On Deck,Tinashe,2014,1kXmApTm4wonqscYBoLwxj,2014-10-01,All Hands on Deck,['Tinashe']
All His Saints,Lee Ann Womack,2014,0KxSYAsHY8CnqSGVwjzHRh,2014-09-23,All His Saints,['Lee Ann Womack']
All I Ever Need,Austin Mahone,2014,0YEsfwQpG7ofdIiHWA0dHi,2014,All I Ever Need,['Austin Mahone']
All I Ever Wanted,Vance Joy,2014,62nFeTispaiYq1KzGrONsl,2014-09-09,All I Ever Wanted,['Vance Joy']
All I Need is You,Lecrae,2014,24f3lQnwL9vL2GUu8sdoBP,2014-09-09,All I Need Is You,['Lecrae']
All In,Brad Paisley,2014,0kmFksiWHKlDq9xn91epv1,2014-01-01,All In,['Brad Paisley']
All In One Night,Cheryl Cole,2014,6okaHly0EmRZUai8C9oHOC,2014-01-01,All In One Night,['Cheryl']
All Is Fair In Love And Brostep,Skrillex,2014,3XThyUoEI8BPDjdu954Uof,2014-03-14,All Is Fair in Love and Brostep,['Skrillex']
All My Friends Are Dead,Sebastian Bach,2014,117H2AnLnY2yNzZOs5Ko0v,2014-04-22,All My Friends Are Dead,['Sebastian Bach']
All My Love,Major Lazer,2014,1hfaeLP0VoQ9Cb6y401NGh,2014-12-01,All My Love,"['Major Lazer', 'Ariana Grande']"
All of the Stars,Ed Sheeran,2014,3SZLtkoHoECHHuOnNkNCuS,2014-05-19,All of the Stars,['Ed Sheeran']
All or Nothing at All,Switchfoot,2014,4ZxaKhhWjtX84m2lLKguqn,2013-01-05,All or Nothing at All,['Switchfoot']
All Rise,Wovenwar,2014,2ZQwJwlQnYiIyTJlR551JB,2014-08-05,All Rise,['Wovenwar']
All That's Left,Miranda Lambert,2014,0DwndJCTTyGidd4ZXEzuk6,2014-06-02,All That's Left (feat. The Time Jumpers),"['Miranda Lambert', 'The Time Jumpers']"
All the Rage Back Home,Interpol,2014,30rUH583B1TFoisTeBfuA2,2014-09-08,All the Rage Back Home,['Interpol']
All There Is To Say,Wishbone Ash,2014,2UeDKrhxpJ8euZVBEMwhcm,2014-02-21,All There Is to Say,['Wishbone Ash']
All Things Go,Nicki Minaj,2014,0MVUm3Nied9ocRAkDjRWvP,2014-12-15,All Things Go,['Nicki Minaj']
All Under One Roof Raving,Jamie xx,2014,6giQSCiUkjiYkMsCXZ3ZAy,2014-06-23,All Under One Roof Raving,['Jamie xx']
All We Got,Andy Mineo,2014,1Oq3GX4V8kAKnJcHqQhyTD,2014-01-28,All We Got,"['Andy Mineo', 'Dimitri McDowell']"
All You Can Carry,Tom Petty & the Heartbreakers,2014,757plEIHl29OU5hOMRvJnH,2014-07-29,All You Can Carry,['Tom Petty and the Heartbreakers']
All You Had To Do Was Stay,Taylor Swift,2014,0dAb8TY433dl3ZfXYCLE19,2014-10-27,All You Had To Do Was Stay,['Taylor Swift']
All You've Ever Wanted,Casting Crowns,2014,5lSVszuv0PGnfvh2HTWq1k,2014-01-24,All You've Ever Wanted,['Casting Crowns']
All-American Kid,Garth Brooks,2014,,,,
Allons-y (1),Pink Floyd,2014,5Cs8YMRH3hfaLK4HPUFe9l,2014-11-10,"Side 3, Pt. 4: Allons-y (1)",['Pink Floyd']
Almost Everything,The Hold Steady,2014,2twDf6VhhaCeBFQslqMQI1,2014-03-25,Almost Everything,['The Hold Steady']
Almost Like The Blues,Leonard Cohen,2014,0nlNtWasNLQRXBhAh06jvl,2014-09-16,Almost Like the Blues,['Leonard Cohen']
Alone Again,Betty Who,2014,5AkK8YwtUp2rV2IfQGfqbm,2014-10-06,Alone Again,['Betty Who']
Already Home,A Great Big World,2014,2UqABRs8RMrgjkYZZ6VawW,2014-01-20,Already Home,['A Great Big World']
Always,Leihoku,2014,76jCgV9EWGhEJdtLGitUfY,2014-08-05,Always,['Leihoku']
Always In My Head,Coldplay,2014,0FMjqbY3aWo1QDbo3GwXib,2014-05-19,Always in My Head,['Coldplay']
Always Into Something,Stalley,2014,3INjq8ZrH4qZHDGiKg8QDS,2014-10-27,Always into Something (feat. Ty Dolla $ign),"['Stalley', 'Ty Dolla $ign']"
Always On,Death From Above 1979,2014,2IKXIejpzcK8YRQaA7Zn4O,2014-09-09,Always On,['Death From Above 1979']
Am I Wrong,Nico & Vinz,2014,1fidCEsYlaVE3pHwKCvpFZ,2014,Am I Wrong,['Nico & Vinz']
American Dream Plan B,Tom Petty & the Heartbreakers,2014,5TCq5VBFgZx6Pg3qeGqUE4,2014-07-29,American Dream Plan B,['Tom Petty and the Heartbreakers']
American Dreamers,Kristian Bush,2014,4KUvzBBXb5CLIzhKo52tMU,2020-04-24,American Dreamers (Acoustic),['Kristian Bush']
American Flag on the Moon,Brad Paisley,2014,6OoqZAWnNYcyzc2wd1ZCgj,2014-08-25,American Flag on the Moon,['Brad Paisley']
American Kids,Kenny Chesney,2014,1dgWTMoHwTUnQhOQ8SR5fV,2014-09-22,American Kids,['Kenny Chesney']
American Middle Class,Angaleena Presley,2014,2moP5mPgN2GiDg4O2kByhl,2014-10-14,American Middle Class,['Angaleena Presley']
Amnesia,5 Seconds of Summer,2014,1JCCdiru7fhstOIF4N7WJC,2014-06-27,Amnesia,['5 Seconds of Summer']
Among The Living Dead,Iced Earth,2014,3cqzJz8ZdNdpP9DA5HnsnL,2014-01-21,Among the Living Dead,['Iced Earth']
An Island,Chevelle,2014,1tp71Xmh3NRY4kBhE5dznl,2014-04-01,An Island,['Chevelle']
Anaconda,Nicki Minaj,2014,794F99D5BQHS5ZGRXAs7I5,2014-12-15,Anaconda,['Nicki Minaj']
And He's Waiting,Danika Portz,2014,7oYwsNOGIlEOkmketdmDRT,2014-07-08,And He's Waiting,['Danika Portz']
And We Run,Within Temptation,2014,6MubsJeQrVa0k7lJSxcdaM,2014-02-04,And We Run,"['Within Temptation', 'Xzibit']"
Angel in Blue Jeans,Train,2014,2GxGYGrixbXPFojONbzdo9,2014-09-16,Angel in Blue Jeans,['Train']
Angel Like You,Eli Young Band,2014,3yjtMjmcij9yxbxOeMqDGB,2013-01-01,Angel Like You,['Eli Young Band']
Angel Of Small Death And The Codeine Scene,Hozier,2014,6JmSfynzr6E0QllQZNEXEb,2014-09-19,Angel of Small Death and the Codeine Scene,['Hozier']
Animal Ambition,50 Cent,2014,4dJ9N1dZmX5ON6bpEsC334,2014-06-03,Animal Ambition,['50 Cent']
Animal Heart,Nina Persson,2014,1MerOqEjRqVoWdV8UQyjZE,2014-02-11,Animal Heart,['Nina Persson']
Animales,Romeo Santos,2014,1JHHPRDCXts9M7mTyVN3Ja,2014-02-25,Animales (feat. Nicki Minaj),"['Romeo Santos', 'Nicki Minaj']"
Animals,Maroon 5,2014,2bL2gyO6kBdLkNSkxXNh6x,2014-09-02,Animals,['Maroon 5']
Anomaly,Lecrae,2014,05xew4JGE0lPHpshEDhHFd,2014-09-09,Anomaly,['Lecrae']
Another Day,Druckfarben,2014,5papPdnDlkAohnDG0R5zPV,2014-03-22,Another Day,['Druckfarben']
Another Life,D'Angelo,2014,,,,
Another Sunday in the South,Miranda Lambert,2014,0nb1lylqpHJsHfPUqHvpSN,2014-06-02,Another Sunday in the South,['Miranda Lambert']
Another Train,Mary Gauthier,2014,3JIFUV034ANEIt5lWXgH2Z,2014-06-10,Another Train,['Mary Gauthier']
Another's Arms,Coldplay,2014,22uzF19LxQW87kOVkR79Fq,2014-05-19,Another's Arms,['Coldplay']
ANOTHERLOVE,Prince,2014,4m4PeMnGpkdM2ohko5dgKN,2014-09-26,ANOTHERLOVE,"['Prince', '3RDEYEGIRL']"
Anyone Else,Blake Shelton,2014,4f54eEuGWyp9EQDP5LRhLc,2014-09-30,Anyone Else,['Blake Shelton']
Anything Goes,Florida Georgia Line,2014,46ZfPS5VpSQVU5gb82hg3K,2014-10-14,Anything Goes,['Florida Georgia Line']
Anytime,Ciara,2014,,,,
Anywhere For You,John Martin,2014,1mEUsi4r3jyH3DUEGnw4vh,2014-05-27,Anywhere For You - Tiësto vs. Dzeko & Torres / Radio Edit,"['John Martin', 'Tiësto']"
AOV,Slipknot,2014,2qfLaOWD7bB4J1Val3vO4K,2014-10-15,AOV,['Slipknot']
Aphorismic Wasteland Blues,Howler,2014,6tZaaRbIUIePDQ593eJKTZ,2014-03-24,Aphorismic Wasteland Blues,['Howler']
Apparently,J. Cole,2014,1HNs07uZxZniPNmniw2GTa,2014-12-09,Apparently,['J. Cole']
Aquarius,Tinashe,2014,1y4qUmdo0DTgKC5OME5zie,2014-10-01,Aquarius,['Tinashe']
Arbaden (Maggie's Babby),Robert Plant,2014,073HIVDJxbfXsiphcu7tyw,2014-09-05,Arbaden (Maggie's Babby),['Robert Plant']
Are You Leaving With Him,Luke Bryan,2014,7z6s46Ty2Gx4KFV6qeldC6,2015-03-10,Are You Leaving With Him,['Luke Bryan']
Are You What You Want to Be,Foster the People,2014,3CVPyuuD6HxWXgPbbGqbg6,2014-03-14,Are You What You Want to Be?,['Foster The People']
Are You With Me,Lost Frequencies,2014,0lb9s7k8UalCr9tRoP2PZN,2014-11-21,Are You With Me,['Lost Frequencies']
Armorist,Overkill,2014,0TU8QEydFsFNTvcnFGZmJq,2014-07-22,Armorist,['Overkill']
Army of Angels,The Script,2014,7kBZa4WCbZGkJzi2gCr401,2014-09-15,Army of Angels,['The Script']
Around Town,The Kooks,2014,36pHJ5lqNQTLLzGTy8G7xV,2014-01-01,Around Town,['The Kooks']
Arrival In Nara,Alt-J,2014,4BVm9zEoX4Z73LeFAab0PC,2014-09-22,Arrival in Nara,['alt-J']
Arrows,Fences,2014,2GPaAr882x4ZteZnxywolL,2014-07-29,Arrows (feat. Macklemore & Ryan Lewis),"['Fences', 'Macklemore', 'Ryan Lewis']"
