title,artist,hit
One Thing,One Direction,1
Even If It Breaks Your Heart,Eli Young Band,1
Sex Ain't Better Than Love,Trey Songz,1
Leave You Alone,Young Jeezy Featuring Ne-Yo,1
TTYLXOX,Bella Thorne,1
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,1
Payphone,Maroon 5 Featuring Wiz Khalifa,1
Boyfriend,Justin Bieber,1
Eyes Open,Taylor Swift,1
Dance Again,Jennifer Lopez Featuring Pitbull,1
Burn It Down,Linkin Park,1
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",1
Loud,Mac Miller,1
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,1
Stay Schemin,Rick Ross Featuring Drake & French Montana,1
Too Close,Alex Clare,1
Beez In The Trap,Nicki Minaj Featuring 2 Chainz,1
Back In Time,Pitbull,1
Right By My Side,Nicki Minaj Featuring Chris Brown,1
Give Your Heart A Break,Demi Lovato,1
Cashin' Out,Ca$h Out,1
Somebody That I Used To Know,Glee Cast,1
Titanium,David Guetta Featuring Sia,1
Another Round,Fat Joe Featuring Chris Brown,1
Little Talks,Of Monsters And Men,1
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",1
Time Is Love,Josh Turner,1
(Kissed You) Good Night,Gloriana,1
Way Too Cold,Kanye West Featuring DJ Khaled,1
Crew Love,Drake Featuring The Weeknd,1
Got My Country On,Chris Cagle,1
Sweet Love,Chris Brown,1
Ai Se Eu Te Pego,Michel Telo,1
Fine By Me,Andy Grammer,1
This Ole Boy,Craig Morgan,1
We Run The Night,Havana Brown Featuring Pitbull,1
Beers Ago,Toby Keith,1
Eyes Wide Open,Gotye,1
Tonight (Best You Ever Had),John Legend Featuring Ludacris,1
Heart Attack,Trey Songz,1
Think Like A Man,Jennifer Hudson & Ne-Yo Featuring Rick Ross,1
Same Damn Time,Future,1
Where Have You Been,Rihanna,1
Scream,Usher,1
"Work Hard, Play Hard",Wiz Khalifa,1
Come Over,Kenny Chesney,1
No Lie,2 Chainz Featuring Drake,1
5-1-5-0,Dierks Bentley,1
Tongue Tied,Grouplove,1
Wanted,Hunter Hayes,1
Postcard From Paris,The Band Perry,1
Why Ya Wanna,Jana Kramer,1
Let's Go,Calvin Harris Featuring Ne-Yo,1
