title,artist,date,hit,track_id,release_date,spotify.name,spotify.artists
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2012-02-04,1,1IJYb2qBTHMoDzHgsuA86H,2013-06-24,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']"
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,2012-02-04,1,42EMFjvFtOki8MA0JNZqVK,2011-12-06,5 O'Clock (feat. Lily Allen & Wiz Khalifa),"['T-Pain', 'Lily Allen', 'Wiz Khalifa']"
Rolling In The Deep,Adele,2012-02-04,1,1c8gk2PeTE04A1pIDH9YMk,2011-01-24,Rolling in the Deep,['Adele']
Pumped Up Kicks,Foster The People,2012-02-04,1,7w87IxuO7BDcJ3YUqCyMTT,2011-05-23,Pumped Up Kicks,['Foster The People']
Drink In My Hand,Eric Church,2012-02-04,1,1cktZnxiONH0hR6Q3DKy8h,2011-01-01,Drink In My Hand,['Eric Church']
Ours,Taylor Swift,2012-02-04,1,1EQn3Uc5AyUXoiPLeyCrrg,2010-10-25,Ours,['Taylor Swift']
Tonight Is The Night,Outasight,2012-02-04,1,0tr0D36L1RwPdUTFfyNq37,2011-09-23,Tonight Is the Night,['Outasight']
Lotus Flower Bomb,Wale Featuring Miguel,2012-02-04,1,3MAgQuClHcAV8E9CbeBS6f,2011-10-28,Lotus Flower Bomb (feat. Miguel),"['Wale', 'Miguel']"
All Your Life,The Band Perry,2012-02-04,1,2khs94jHAVzUm3Pu4mAMmv,2010-01-01,All Your Life,['The Band Perry']
Brighter Than The Sun,Colbie Caillat,2012-02-04,1,5YTtTbqxUzJHD3CpbNHerP,2011-01-01,Brighter Than The Sun,['Colbie Caillat']
Super Bass,Nicki Minaj,2012-02-04,1,3hlksXnvbKogFdPbpO9vel,2010-11-22,Super Bass,['Nicki Minaj']
Somebody That I Used To Know,Gotye Featuring Kimbra,2012-02-04,1,4wCmqSrbyCgxEXROQE6vtV,2011-01-01,Somebody That I Used To Know,"['Gotye', 'Kimbra']"
Strip,Chris Brown Featuring Kevin K-MAC McCall,2012-02-04,1,0gFkruQrXlxIOo738m76Xb,2012-07-03,Strip (feat. Kevin McCall),"['Chris Brown', 'Kevin McCall']"
Faded,Tyga Featuring Lil Wayne,2012-02-04,1,2NRUU0gP1d8Yif8CpsCW8l,2012-01-01,Faded,"['Tyga', 'Lil Wayne']"
Alone With You,Jake Owen,2012-02-04,1,2Xdatbm43IXEVi0wmKeJve,2011-08-26,Alone With You,['Jake Owen']
A Thousand Years,Christina Perri,2012-02-04,1,6lanRgr6wXibZr8KgzXxBl,2011-10-18,A Thousand Years,['Christina Perri']
Keep Me In Mind,Zac Brown Band,2012-02-04,1,7B2ETOSXeXPfWQl4gLjcat,2010-09-20,Keep Me in Mind,['Zac Brown Band']
We Found Love,Glee Cast,2012-02-04,1,7gHXMSznrxRT2nZrYKMfDs,2021-02-11,We Found Love (Glee Cast Version),['Glee Cast']
Can't Get Enough,J. Cole Featuring Trey Songz,2012-02-04,1,3mTpegrOwRn0oJjv4TSbEE,2011-09-27,Can't Get Enough,"['J. Cole', 'Trey Songz']"
Let It Rain,David Nail Featuring Sarah Buxton,2012-02-04,1,0DAjiINHQTnPnnY939Qyhw,2011-01-01,Let It Rain,"['David Nail', 'Sarah Buxton']"
Strange Clouds,B.o.B Featuring Lil Wayne,2012-02-04,1,0yQw3d0iQDjMrxaVHFv77J,2012-04-27,Strange Clouds (feat. Lil Wayne),"['B.o.B', 'Lil Wayne']"
Heartbeat,The Fray,2012-02-04,1,2atYprr9JsQaLynGhrWhld,2012-02-07,Heartbeat,['The Fray']
Tattoos On This Town,Jason Aldean,2012-02-04,1,2SEsRxNSXidnMOZoTEzX1k,2010-11-02,Tattoos on This Town,['Jason Aldean']
