artist,isNew,last,peak,rank,title,week
Pharrell Williams,False,1,1,1,Happy,16
John Legend,False,2,2,2,All Of Me,28
Jason Derulo Featuring 2 Chainz,False,4,3,3,Talk Dirty,18
Katy Perry Featuring Juicy J,False,3,1,4,Dark Horse,31
Idina Menzel,False,5,5,5,Let It Go,21
Bastille,False,6,5,6,Pompeii,36
DJ Snake & Lil Jon,False,8,7,7,Turn Down For What,17
Justin Timberlake,False,12,8,8,Not A Bad Thing,8
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,False,11,9,9,Loyal,14
Lorde,False,7,6,10,Team,30
OneRepublic,False,10,2,11,Counting Stars,44
Aloe Blacc,False,9,8,12,The Man,17
American Authors,False,13,11,13,Best Day Of My Life,23
Ed Sheeran,False,15,14,14,Sing,2
Luke Bryan,False,14,14,15,Play It Again,6
Avicii,False,18,16,16,Hey Brother,20
Lana Del Rey,True,0,17,17,West Coast,1
Iggy Azalea Featuring Charli XCX,False,37,18,18,Fancy,7
Florida Georgia Line Ft. Jason Derulo & Luke Bryan,False,16,16,19,This Is How We Roll,11
Pitbull Featuring Ke$ha,False,17,1,20,Timber,28
Paramore,False,26,21,21,Ain't It Fun,8
Brantley Gilbert,False,20,20,22,Bottoms Up,18
Kid Ink Featuring Chris Brown,False,19,13,23,Show Me,24
Martin Garrix,False,21,21,24,Animals,31
Trey Songz,False,22,22,25,Na Na,13
Naughty Boy Featuring Sam Smith,False,31,26,26,La La La,9
Passenger,False,24,5,27,Let Her Go,38
One Direction,False,23,6,28,Story Of My Life,25
Ellie Goulding,False,25,13,29,Burn,33
Avicii,False,28,4,30,Wake Me Up!,43
Christina Perri,False,40,31,31,Human,11
Imagine Dragons,False,29,6,32,Demons,52
Eminem Featuring Rihanna,False,32,1,33,The Monster,25
Beyonce,False,34,23,34,Partition,15
A Great Big World & Christina Aguilera,False,30,4,35,Say Something,24
Demi Lovato,False,39,36,36,Neon Lights,17
Beyonce Featuring Jay Z,False,27,2,37,Drunk In Love,18
Jerrod Niemann,False,38,34,38,Drink To That All Night,16
MKTO,False,51,39,39,Classic,10
Eric Church,False,36,36,40,Give Me Back My Hometown,15
Rixton,False,55,41,41,Me And My Broken Heart,4
Lorde,False,35,1,42,Royals,42
Pitbull Featuring G.R.L.,False,52,43,43,Wild Wild Love,8
Calvin Harris,False,47,44,44,Summer,5
The Chainsmokers,False,33,16,45,#SELFIE,8
Thomas Rhett,False,45,45,46,Get Me Some Of That,15
Jhene Aiko,False,43,43,47,The Worst,11
Imagine Dragons,False,42,3,48,Radioactive,86
Austin Mahone Featuring Pitbull,False,56,49,49,Mmm Yeah,9
Keith Urban,False,48,41,50,Cop Car,12
Young Money Featuring Drake,False,50,50,51,Trophies,7
Rascal Flatts,False,44,44,52,Rewind,14
Miranda Lambert,False,41,41,53,Automatic,9
5 Seconds Of Summer,False,66,54,54,She Looks So Perfect,3
Dan + Shay,False,57,42,55,19 You + Me,16
"Future Featuring Pharrell, Pusha T & Casino",False,60,56,56,Move That Doh,6
Brett Eldredge,False,63,57,57,Beat Of The Music,11
Ty Dolla $ign Featuring B.o.B,False,53,29,58,Paranoid,18
Disclosure Featuring Sam Smith,False,79,59,59,Latch,5
Neon Trees,False,64,56,60,Sleeping With A Friend,8
Tiesto,False,68,61,61,Red Lights,6
