artist,isNew,last,peak,rank,title,week
Lewis Capaldi,False,3,1,1,Someone You Loved,24
Lizzo,False,1,1,2,Truth Hurts,25
Shawn Mendes & Camila Cabello,False,2,1,3,Senorita,18
Post Malone,False,4,4,4,Circles,8
Chris Brown Featuring Drake,False,5,5,5,No Guidance,20
Lil Nas X,False,9,5,6,Panini,18
Travis Scott,False,6,1,7,HIGHEST IN THE ROOM,3
Lil Tecca,False,7,4,8,Ran$om,21
Billie Eilish,False,8,1,9,Bad Guy,30
Dan + Shay & Justin Bieber,False,11,4,10,"10,000 Hours",3
Maroon 5,False,12,11,11,Memories,5
Juice WRLD & YoungBoy Never Broke Again,False,10,10,12,Bandit,3
Ed Sheeran Featuring Khalid,False,14,13,13,Beautiful People,17
Lizzo,False,20,14,14,Good As Hell,9
Selena Gomez,True,0,15,15,Lose You To Love Me,1
Ed Sheeran & Justin Bieber,False,15,2,16,I Don't Care,24
Post Malone Featuring Young Thug,False,13,3,17,Goodbyes,16
Lil Nas X Featuring Billy Ray Cyrus,False,16,1,18,Old Town Road,34
SHAED,False,21,18,19,Trampoline,21
Jonas Brothers,False,24,20,20,Only Human,19
Post Malone & Swae Lee,False,19,1,21,Sunflower (Spider-Man: Into The Spider-Verse),53
Khalid,False,18,3,22,Talk,37
Jonas Brothers,False,23,1,23,Sucker,34
Wale Featuring Jeremih,False,22,22,24,On Chill,11
Drake Featuring Rick Ross,False,25,7,25,Money In The Grave,19
Summer Walker,False,26,16,26,Playing Games,8
Mustard & Roddy Ricch,False,30,27,27,Ballin',14
DaBaby,False,27,7,28,Suge,30
Sam Smith,False,28,24,29,How Do You Sleep?,14
Lil Baby & DaBaby,False,29,21,30,Baby,14
Young Thug Featuring Gunna,False,32,26,31,Hot,10
Old Dominion,False,45,32,32,One Man Band,9
Sam Smith & Normani,False,34,7,33,Dancing With A Stranger,41
Luke Combs,False,39,34,34,Even Though I'm Leaving,8
"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",False,31,11,35,Hot Girl Summer,11
