artist,isNew,last,peak,rank,title,week
Beyonce Featuring Slim Thug,False,2,1,1,Check On It,12
"Nelly Featuring Paul Wall, Ali & Gipp",False,1,1,2,Grillz,12
Chris Brown,False,3,1,3,Run It!,24
Mary J. Blige,False,10,4,4,Be Without You,11
The Pussycat Dolls,False,5,5,5,Stickwitu,16
Juelz Santana,False,6,6,6,There It Go! (The Whistle Song),17
Mariah Carey,False,4,1,7,Don't Forget About Us,16
James Blunt,False,15,8,8,You're Beautiful,13
The All-American Rejects,False,9,9,9,Dirty Little Secret,26
D4L,False,7,1,10,Laffy Taffy,19
Fall Out Boy,False,13,9,11,"Dance, Dance",14
Ne-Yo,False,16,12,12,So Sick,9
Nickelback,False,8,2,13,Photograph,22
Natasha Bedingfield,False,28,14,14,Unwritten,9
Kelly Clarkson,False,14,7,15,Because Of You,23
Ray J,False,11,11,16,One Wish,18
Kanye West Featuring Jamie Foxx,False,12,1,17,Gold Digger,28
Jamie Foxx Featuring Ludacris,False,19,18,18,Unpredictable,10
Chris Brown,False,30,19,19,Yo (Excuse Me Miss),6
The Black Eyed Peas,False,17,3,20,My Humps,25
T-Pain Featuring Mike Jones,False,31,21,21,I'm N Luv (Wit A Stripper),6
Ashlee Simpson,False,33,22,22,L.O.V.E.,7
Eminem Featuring Nate Dogg,False,34,23,23,Shake That,7
Fall Out Boy,False,21,8,24,"Sugar, We're Goin' Down",32
Eminem,False,20,8,25,When I'm Gone,11
Gavin DeGraw,False,38,26,26,We Belong Together,2
Carrie Underwood,False,25,25,27,"Jesus, Take The Wheel",12
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",False,22,15,28,I Think They Like Me,20
Sean Paul,False,49,29,29,Temperature,3
Three 6 Mafia Featuring Young Buck & Eightball & MJG,False,18,13,30,Stay Fly,20
Sean Paul,False,24,6,31,We Be Burnin',21
Lifehouse,False,29,5,32,You And Me,51
The Black Eyed Peas,False,35,33,33,Pump It,9
Trace Adkins,False,32,30,34,Honky Tonk Badonkadonk,14
Young Jeezy Featuring Akon,False,23,4,35,Soul Survivor,23
Cascada,False,45,36,36,Everytime We Touch,8
T-Pain,False,27,8,37,I'm Sprung,24
Weezer,False,26,10,38,Beverly Hills,43
Purple Ribbon All-Stars,False,37,35,39,Kryptonite (I'm On It),11
Gorillaz,False,40,14,40,Feel Good Inc,37
The Pussycat Dolls Featuring Busta Rhymes,False,39,2,41,Don't Cha,40
Lil Wayne,False,42,32,42,Fireman,12
Daddy Yankee,False,51,43,43,Rompe,10
Green Day,False,41,6,44,Wake Me Up When September Ends,27
Madonna,False,43,7,45,Hung Up,14
"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",False,53,46,46,Nasty Girl,8
Rihanna,False,47,36,47,If It's Lovin' That You Want,16
Mariah Carey,False,44,1,48,We Belong Together,43
Billy Currington,False,48,39,49,Must Be Doin' Somethin' Right,16
Dem Franchize Boyz Featuring Lil Peanut & Charlay,False,67,50,50,"Lean Wit It, Rock Wit It",3
Chamillionaire Featuring Lil' Flip,False,50,41,51,Turn It Up,14
Gwen Stefani,False,46,21,52,Luxurious,14
Trina Featuring Kelly Rowland,False,36,17,53,Here We Go,18
Weezer,False,54,54,54,Perfect Situation,7
Bow Wow Featuring J-Kwon & Jermaine Dupri,False,65,55,55,Fresh Azimiz,7
Busta Rhymes,False,66,56,56,Touch It,7
Brad Paisley Featuring Dolly Parton,False,56,56,57,When I Get Where I'm Going,10
Jack Johnson,False,69,58,58,Upside Down,2
Faith Hill,False,55,45,59,Like We Never Loved At All,18
Little Big Town,False,52,46,60,Boondocks,15
Goo Goo Dolls,False,59,36,61,Better Days,18
Relient K,False,63,62,62,Who I Am Hates Who I've Been,5
Juvenile,False,68,63,63,Rodeo,9
Ludacris & Field Mob Featuring Jamie Foxx,False,60,39,64,Georgia,6
