artist,isNew,last,peak,rank,title,week
P!nk Featuring Nate Ruess,False,1,1,1,Just Give Me A Reason,10
Macklemore & Ryan Lewis Featuring Ray Dalton,False,5,2,2,Can't Hold Us,11
Macklemore & Ryan Lewis Featuring Wanz,False,2,1,3,Thrift Shop,29
Bruno Mars,False,3,1,4,When I Was Your Man,18
PSY,False,12,5,5,Gentleman,2
Rihanna Featuring Mikky Ekko,False,4,3,6,Stay,11
Justin Timberlake,False,7,7,7,Mirrors,10
Justin Timberlake Featuring JAY Z,False,6,3,8,Suit & Tie,15
Pitbull Featuring Christina Aguilera,False,8,8,9,Feel This Moment,13
Drake,False,9,6,10,Started From The Bottom,11
Demi Lovato,False,10,10,11,Heart Attack,8
Imagine Dragons,False,14,7,12,Radioactive,34
Icona Pop Featuring Charli XCX,False,16,13,13,I Love It,12
Florida Georgia Line Featuring Nelly,False,11,8,14,Cruise,29
Fall Out Boy,False,30,15,15,My Songs Know What You Did In The Dark (Light Em Up),11
Lil Wayne Featuring Drake & Future,False,15,9,16,Love Me,14
Baauer,False,13,1,17,Harlem Shake,10
Maroon 5,False,17,7,18,Daylight,20
Daft Punk Featuring Pharrell Williams,True,0,19,19,Get Lucky,1
Darius Rucker,False,21,20,20,Wagon Wheel,11
J. Cole Featuring Miguel,False,26,21,21,Power Trip,10
Selena Gomez,False,45,22,22,Come & Get It,2
fun.,False,23,20,23,Carry On,16
Taylor Swift,False,32,24,24,22,8
Taylor Swift,False,19,2,25,I Knew You Were Trouble.,27
The Lumineers,False,22,3,26,Ho Hey,46
Wale Featuring Tiara Thomas Or Rihanna,False,31,27,27,Bad,10
Miranda Lambert,False,20,20,28,Mama's Broken Heart,13
Calvin Harris Featuring Florence Welch,False,27,10,29,Sweet Nothing,24
Bruno Mars,False,24,1,30,Locked Out Of Heaven,29
Olly Murs Featuring Flo Rida,False,39,29,31,Troublemaker,14
Ariana Grande Featuring Mac Miller,False,37,10,32,The Way,4
Lady Antebellum,False,29,29,33,Downtown,11
will.i.am & Britney Spears,False,28,3,34,Scream & Shout,21
Florida Georgia Line,False,41,35,35,Get Your Shine On,13
Blake Shelton Featuring Pistol Annies & Friends,False,40,36,36,Boys 'round Here,4
Rihanna,False,38,19,37,Pour It Up,16
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",False,34,8,38,F**kin Problems,25
Tim McGraw With Taylor Swift,False,25,25,39,Highway Don't Care,8
Mumford & Sons,False,33,12,40,I Will Wait,37
Swedish House Mafia Featuring John Martin,False,35,6,41,Don't You Worry Child,31
AWOLNATION,False,48,30,42,Sail,33
will.i.am Featuring Justin Bieber,False,60,42,43,#thatPOWER,5
Krewella,False,42,40,44,Alive,10
Ace Hood Featuring Future & Rick Ross,False,44,35,45,Bugatti,10
Emeli Sande,False,57,46,46,Next To Me,9
Blake Shelton,False,36,24,47,Sure Be Cool If You Did,15
Imagine Dragons,False,47,15,48,It's Time,46
Thompson Square,False,50,49,49,If I Didn't Have You,16
Of Monsters And Men,False,49,20,50,Little Talks,48
Chris Brown,False,54,51,51,Fine China,3
Jason Aldean,False,53,52,52,1994,6
Kenny Chesney,False,55,53,53,Pirate Flag,11
The Band Perry,False,46,46,54,DONE.,6
Luke Bryan,False,18,18,55,Crash My Party,2
George Strait,False,56,56,56,Give It All We Got Tonight,16
Lil Wayne Featuring 2 Chainz,False,61,57,57,Rich As F**k,5
will.i.am Featuring Miley Cyrus,True,0,58,58,Fall Down,1
Anna Kendrick,False,85,59,59,Cups (Pitch Perfect's When I'm Gone),17
Kendrick Lamar,False,65,60,60,"Bitch, Don't Kill My Vibe",9
Eric Church,False,59,59,61,Like Jesus Does,9
Phillip Phillips,False,62,59,62,"Gone, Gone, Gone",7
Brad Paisley,False,67,63,63,Beat This Summer,6
Lee Brice,False,58,47,64,I Drive Your Truck,16
Justin Bieber Featuring Ludacris,False,74,22,65,All Around The World,8
Hunter Hayes,False,43,43,66,I Want Crazy,2
Chris Young,False,63,63,67,I Can Take It From There,11
Avril Lavigne,False,52,52,68,Here's To Never Growing Up,2
Rihanna Featuring Future,False,64,55,69,Loveeeeeee Song,12
Zedd Featuring Foxes,False,73,70,70,Clarity,5
Lupe Fiasco & Guy Sebastian,False,71,71,71,Battle Scars,17
B.o.B Featuring T.I. & Juicy J,False,72,72,72,We Still In This B****,10
Tamar Braxton,False,70,57,73,Love And War,13
Jake Owen,False,78,74,74,Anywhere With You,5
Jason Derulo,True,0,75,75,The Other Side,1
Calvin Harris Featuring Ellie Goulding,True,0,76,76,I Need Your Love,1
Hadouken!,False,76,69,77,Levitate,8
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",False,86,66,78,Molly,5
Young Jeezy Featuring 2 Chainz,False,66,58,79,R.I.P.,11
Kelly Rowland,False,80,72,80,Kisses Down Low,7
Trinidad James,False,75,36,81,All Gold Everything,19
Brantley Gilbert,False,79,79,82,More Than Miles,8
Carrie Underwood,False,69,41,83,Two Black Cadillacs,19
Kip Moore,False,84,84,84,Hey Pretty Girl,5
Nicki Minaj Featuring Lil Wayne,False,68,68,85,High School,3
Rocko Featuring Future & Rick Ross,False,99,86,86,U.O.E.N.O.,2
Ed Sheeran,False,89,87,87,Lego House,4
Miguel,True,0,88,88,How Many Drinks?,1
Future Featuring Lil Wayne,False,82,82,89,Karate Chop (Remix),7
Ray J Featuring Bobby Brackins,False,51,51,90,I Hit It First,2
Little Mix,False,91,91,91,Wings,3
OneRepublic,False,81,74,92,If I Lose Myself,5
Macklemore & Ryan Lewis Featuring Mary Lambert,False,100,89,93,Same Love,6
Robin Thicke Featuring T.I. + Pharrell,True,0,94,94,Blurred Lines,1
Juicy J Featuring Big Sean & Young Jeezy,False,95,75,95,Show Out,7
A$AP Rocky Featuring Skrillex,False,93,82,96,Wild For The Night,6
Future,False,88,52,97,Neva End,20
Sean Kingston Featuring Chris Brown & Wiz Khalifa,True,0,98,98,Beat It,1
French Montana Featuring Nicki Minaj,False,0,77,99,Freaks,5
Fabolous Featuring Chris Brown,False,97,97,100,Ready,2
