artist,isNew,last,peak,rank,title,week
OMI,False,1,1,1,Cheerleader,13
The Weeknd,False,3,2,2,Can't Feel My Face,6
Wiz Khalifa Featuring Charlie Puth,False,2,1,3,See You Again,19
Taylor Swift Featuring Kendrick Lamar,False,4,1,4,Bad Blood,12
Silento,False,5,3,5,Watch Me,21
Fetty Wap,False,6,2,6,Trap Queen,26
WALK THE MOON,False,7,4,7,Shut Up And Dance,36
Rachel Platten,False,8,8,8,Fight Song,14
Major Lazer & DJ Snake Featuring MO,False,17,9,9,Lean On,15
The Weeknd,False,12,10,10,The Hills,8
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",False,10,8,11,Hey Mama,17
Skrillex & Diplo With Justin Bieber,False,9,8,12,Where Are U Now,20
Andy Grammer,False,11,9,13,"Honey, I'm Good.",21
Fifth Harmony Featuring Kid Ink,False,14,14,14,Worth It,22
Mark Ronson Featuring Bruno Mars,False,13,1,15,Uptown Funk!,36
Selena Gomez Featuring A$AP Rocky,False,15,9,16,Good For You,4
Jason Derulo,False,16,5,17,Want To Want Me,19
Fetty Wap Featuring Remy Boyz,False,19,18,18,679,3
Omarion Featuring Chris Brown & Jhene Aiko,False,21,13,19,Post To Be,28
Maroon 5,False,20,2,20,Sugar,27
Ed Sheeran,False,24,21,21,Photograph,10
The Weeknd,False,18,3,22,Earned It (Fifty Shades Of Grey),30
Rihanna,False,22,15,23,B**** Better Have My Money,17
Ed Sheeran,False,26,2,24,Thinking Out Loud,41
Little Big Town,False,27,18,25,Girl Crush,22
Tove Lo,False,23,12,26,Talking Body,25
Jidenna Featuring Roman GianArthur,False,30,26,27,Classic Man,11
Meek Mill Featuring Chris Brown & Nicki Minaj,False,29,28,28,All Eyes On You,4
Rich Homie Quan,False,31,26,29,Flex (Ooh Ooh Ooh),13
DJ Snake & AlunaGeorge,False,25,13,30,You Know You Like It,17
Demi Lovato,False,28,28,31,Cool For The Summer,3
Ellie Goulding,False,33,3,32,Love Me Like You Do,28
Sia,False,35,17,33,Elastic Heart,28
T-Wayne,False,36,9,34,Nasty Freestyle,14
Trey Songz,False,38,26,35,Slow Motion,23
Fall Out Boy,False,39,36,36,Uma Thurman,15
Luke Bryan,False,34,26,37,Kick The Dust Up,9
Sam Hunt,False,37,20,38,Take Your Time,29
Sam Hunt,False,41,39,39,House Party,7
Pitbull Featuring Chris Brown,False,42,40,40,Fun,10
Maroon 5,False,32,23,41,This Summer's Gonna Hurt...,10
Blake Shelton,False,40,38,42,Sangria,14
Natalie La Rose Featuring Jeremih,False,49,10,43,Somebody,26
Kid Ink Featuring DeJ Loaf,False,45,43,44,Be Real,14
Meek Mill Featuring Drake,False,43,43,45,R.I.C.O.,3
Jason Aldean,False,53,46,46,Tonight Looks Good On You,13
Taylor Swift,False,50,1,47,Shake It Off,48
Taylor Swift,False,48,6,48,Style,32
Thomas Rhett,False,51,49,49,Crash And Burn,10
Brantley Gilbert,False,57,50,50,One Hell Of An Amen,12
Canaan Smith,False,46,46,51,Love You Like That,17
Eric Church,False,52,52,52,Like A Wrecking Ball,17
Chris Janson,False,54,53,53,Buy Me A Boat,8
Nicki Minaj,False,44,31,54,The Night Is Still Young,11
Charlie Puth Featuring Meghan Trainor,False,61,55,55,Marvin Gaye,5
Zac Brown Band,False,58,56,56,Loving You Easy,8
Shawn Mendes,False,55,55,57,Stitches,8
X Ambassadors,False,59,58,58,Renegades,14
Jeremih Featuring J. Cole,False,64,59,59,Planez,8
Michael Ray,False,66,60,60,Kiss You In The Morning,8
Flo Rida Featuring Robin Thicke & Verdine White,False,56,56,61,"I Don't Like It, I Love It",4
Keith Urban,False,65,62,62,"John Cougar, John Deere, John 3:16",6
Rae Sremmurd,False,70,63,63,This Could Be Us,6
Future,False,67,55,64,Commas,16
Frankie Ballard,False,76,65,65,Young & Crazy,8
Brad Paisley,False,68,66,66,Crushin' It,12
Echosmith,False,60,40,67,Bright,18
Dustin Lynch,False,72,68,68,Hell Of A Night,7
Brett Eldredge,False,74,69,69,Lose My Mind,6
J. Cole,False,69,61,70,Wet Dreamz,15
Meghan Trainor Featuring John Legend,False,95,71,71,Like I'm Gonna Lose You,2
Easton Corbin,False,63,56,72,Baby Be My Love Song,15
Kelsea Ballerini,False,62,45,73,Love Me Like You Mean It,16
Adam Lambert,False,80,73,74,Ghost Town,5
Wale Featuring Usher,False,71,70,75,The Matrimony,16
Nicky Jam & Enrique Iglesias,False,89,66,76,El Perdon (Forgiveness),17
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",False,81,68,77,How Many Times,10
Sage The Gemini Featuring Nick Jonas,False,84,78,78,Good Thing,5
Jake Owen,False,79,79,79,Real Life,4
Eminem Featuring Gwen Stefani,True,0,80,80,Kings Never Die,1
Pia Mia Featuring Chris Brown & Tyga,False,77,77,81,Do It Again,3
Billy Currington,False,87,44,82,Don't It,20
Zedd Featuring Jon Bellion,False,90,83,83,Beautiful Now,6
Janelle Monae & Jidenna,False,82,79,84,Yoga,4
Florida Georgia Line,False,85,40,85,Sippin' On Fire,19
Carrie Underwood,False,73,47,86,Little Toy Guns,18
Fetty Wap Featuring Monty,False,0,87,87,My Way,2
Kendrick Lamar,False,86,82,88,Alright,4
Old Dominion,False,99,89,89,Break Up With Him,2
Tori Kelly,True,0,90,90,Should've Been Us,1
Elle King,False,96,91,91,Ex's & Oh's,2
Maddie & Tae,True,0,92,92,Fly,1
Carly Rae Jepsen,False,92,39,93,I Really Like You,20
Cam,True,0,94,94,Burning House,1
twenty one pilots,False,97,82,95,Tear In My Heart,7
Meek Mill,False,88,88,96,Lord Knows,2
Chris Young,False,100,57,97,I'm Comin' Over,3
Meek Mill Featuring Future,False,91,91,98,Jump Out The Face,2
Tech N9Ne Featuring 2 Chainz & B.o.B,False,93,90,99,Hood Go Crazy,7
Big Sean Featuring Kanye West & John Legend,False,0,97,100,One Man Can Change The World,2
