artist,isNew,last,peak,rank,title,week
OMI,False,1,1,1,Cheerleader,18
The Weeknd,False,2,1,2,Can't Feel My Face,11
Silento,False,3,3,3,Watch Me,26
Major Lazer & DJ Snake Featuring MO,False,4,4,4,Lean On,20
The Weeknd,False,5,5,5,The Hills,13
Selena Gomez Featuring A$AP Rocky,False,10,6,6,Good For You,9
Rachel Platten,False,6,6,7,Fight Song,19
Fetty Wap Featuring Remy Boyz,False,13,8,8,679,8
Fetty Wap,False,7,2,9,Trap Queen,31
WALK THE MOON,False,14,4,10,Shut Up And Dance,41
Fetty Wap Featuring Monty,False,8,7,11,My Way,7
Taylor Swift Featuring Kendrick Lamar,False,9,1,12,Bad Blood,17
Wiz Khalifa Featuring Charlie Puth,False,11,1,13,See You Again,24
Skrillex & Diplo With Justin Bieber,False,12,8,14,Where Are U Now,25
Ed Sheeran,False,15,15,15,Photograph,15
R. City Featuring Adam Levine,False,25,16,16,Locked Away,5
Demi Lovato,False,16,16,17,Cool For The Summer,8
Mark Ronson Featuring Bruno Mars,False,17,1,18,Uptown Funk!,41
Fifth Harmony Featuring Kid Ink,False,18,12,19,Worth It,27
Jason Derulo,False,20,5,20,Want To Want Me,24
Andy Grammer,False,19,9,21,"Honey, I'm Good.",26
Jidenna Featuring Roman GianArthur,False,23,22,22,Classic Man,16
Fall Out Boy,False,24,23,23,Uma Thurman,20
Omarion Featuring Chris Brown & Jhene Aiko,False,21,13,24,Post To Be,33
Charlie Puth Featuring Meghan Trainor,False,30,25,25,Marvin Gaye,10
Sam Hunt,False,28,26,26,House Party,12
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",False,22,8,27,Hey Mama,22
Rich Homie Quan,False,29,26,28,Flex (Ooh Ooh Ooh),18
Maroon 5,False,27,2,29,Sugar,32
Ed Sheeran,False,31,2,30,Thinking Out Loud,46
One Direction,False,26,3,31,Drag Me Down,3
Shawn Mendes,False,35,32,32,Stitches,13
The Weeknd,False,34,3,33,Earned It (Fifty Shades Of Grey),35
Drake,False,57,34,34,Hotline Bling,3
Drake,False,32,21,35,Back To Back,3
Thomas Rhett,False,39,36,36,Crash And Burn,15
X Ambassadors,False,45,37,37,Renegades,19
N.W.A,True,0,38,38,Straight Outta Compton,1
Luke Bryan,False,37,26,39,Kick The Dust Up,14
Fetty Wap,False,33,33,40,Again,2
iLoveMemphis,True,0,41,41,Hit The Quan,1
5 Seconds Of Summer,False,41,22,42,She's Kinda Hot,5
Flo Rida Featuring Robin Thicke & Verdine White,False,50,43,43,"I Don't Like It, I Love It",9
Chris Janson,False,47,44,44,Buy Me A Boat,13
Rihanna,False,36,15,45,B**** Better Have My Money,22
Ellie Goulding,False,38,3,46,Love Me Like You Do,33
Meek Mill Featuring Chris Brown & Nicki Minaj,False,42,21,47,All Eyes On You,9
Keith Urban,False,49,48,48,"John Cougar, John Deere, John 3:16",11
Tove Lo,False,44,12,49,Talking Body,30
Eazy-E,True,0,50,50,Boyz-N-The Hood,1
Jeremih Featuring J. Cole,False,52,51,51,Planez,13
T-Wayne,False,46,9,52,Nasty Freestyle,19
Rae Sremmurd,False,54,52,53,This Could Be Us,11
Eric Church,False,53,51,54,Like A Wrecking Ball,22
Zac Brown Band,False,40,40,55,Loving You Easy,13
Frankie Ballard,False,55,55,56,Young & Crazy,13
Meghan Trainor Featuring John Legend,False,62,57,57,Like I'm Gonna Lose You,7
Brett Eldredge,False,61,58,58,Lose My Mind,11
Dustin Lynch,False,56,56,59,Hell Of A Night,12
"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",False,48,38,60,Rotten To The Core,3
Calvin Harris & Disciples,False,60,60,61,How Deep Is Your Love,5
Luke Bryan,False,63,62,62,Strip It Down,3
Kid Ink Featuring DeJ Loaf,False,59,43,63,Be Real,19
Tori Kelly,False,64,64,64,Should've Been Us,6
Lana Del Rey,False,51,51,65,High By The Beach,2
Zedd Featuring Jon Bellion,False,70,66,66,Beautiful Now,11
Elle King,False,71,67,67,Ex's & Oh's,7
Little Mix,False,99,68,68,Black Magic,2
Kenny Chesney,False,69,69,69,Save It For A Rainy Day,5
Cam,False,65,65,70,Burning House,6
K Camp,False,82,71,71,Comfortable,3
Nicky Jam & Enrique Iglesias,False,73,66,72,El Perdon (Forgiveness),22
Jason Derulo,False,66,66,73,Cheyenne,4
Hailee Steinfeld,False,96,74,74,Love Myself,2
Maddie & Tae,False,67,67,75,Fly,6
Michael Ray,False,58,55,76,Kiss You In The Morning,13
Adam Lambert,False,75,67,77,Ghost Town,10
Florida Georgia Line,False,77,76,78,Anything Goes,6
Alessia Cara,False,85,79,79,Here,3
Meek Mill Featuring Drake,False,68,40,80,R.I.C.O.,8
Old Dominion,False,80,80,81,Break Up With Him,7
Blake Shelton,False,72,38,82,Sangria,19
Disclosure Featuring Sam Smith,False,88,64,83,Omen,3
Chris Young,False,81,57,84,I'm Comin' Over,8
Future Featuring Drake,False,87,68,85,Where Ya At,5
Nelly Featuring Jeremih,True,0,86,86,The Fix,1
Pia Mia Featuring Chris Brown & Tyga,False,78,71,87,Do It Again,8
Jake Owen,False,84,74,88,Real Life,9
