artist,isNew,last,peak,rank,title,week
Usher Featuring Lil Jon & Ludacris,False,2,1,1,Yeah!,8
Twista Featuring Kanye West & Jamie Foxx,False,1,1,2,Slow Jamz,13
OutKast Featuring Sleepy Brown,False,3,1,3,The Way You Move,23
Beyonce,False,4,4,4,"Me, Myself And I",16
OutKast,False,5,1,5,Hey Ya!,20
Chingy Featuring J. Weav,False,11,6,6,One Call Away,5
Cassidy Featuring R. Kelly,False,7,7,7,Hotel,11
J-Kwon,False,18,8,8,Tipsy,7
Ruben Studdard,False,10,9,9,Sorry 2004,9
Alicia Keys,False,6,3,10,You Don't Know My Name,16
Ying Yang Twins Featuring Lil Jon & The East Side Boyz,False,9,9,11,Salt Shaker,16
Linkin Park,False,12,12,12,Numb,17
Nickelback,False,8,7,13,Someday,28
Ludacris,False,17,14,14,Splash Waterfalls,9
Kanye West,False,15,15,15,Through The Wire,14
Eamon,False,16,16,16,F**k It (I Don't Want You Back),13
3 Doors Down,False,13,5,17,Here Without You,27
Britney Spears,False,22,18,18,Toxic,5
Jessica Simpson,False,23,19,19,With You,10
JAY-Z,False,20,20,20,Dirt Off Your Shoulder,6
Sheryl Crow,False,19,17,21,The First Cut Is The Deepest,19
Evanescence,False,25,22,22,My Immortal,8
No Doubt,False,14,10,23,It's My Life,18
Dido,False,24,18,24,White Flag,24
Baby Bash Featuring Frankie J,False,21,7,25,Suga Suga,28
Nick Cannon Featuring R. Kelly,False,28,24,26,Gigolo,16
Avant,False,26,13,27,Read Your Mind,22
Toby Keith,False,30,28,28,American Soldier,10
Alan Jackson,False,31,29,29,Remember When,12
Jagged Edge,False,32,6,30,Walked Outta Heaven,26
Ludacris Featuring Shawnna,False,29,1,31,Stand Up,26
Tim McGraw,False,35,32,32,Watch The Wind Blow By,12
Santana Featuring Alex Band Or Chad Kroeger,False,33,8,33,Why Don't You & I,32
Maroon 5,False,53,34,34,This Love,3
Kelis,False,27,3,35,Milkshake,22
Lil Jon & The East Side Boyz Featuring Ying Yang Twins,False,34,2,36,Get Low,44
G-Unit Featuring Joe,False,52,37,37,Wanna Get To Know You,3
Terri Clark,False,38,38,38,I Wanna Do It All,12
Young Gunz Featuring Rell,False,51,39,39,No Better Love,5
Sean Paul Featuring Sasha,False,50,40,40,I'm Still In Love With You,9
Brad Paisley,False,41,41,41,Little Moments,11
Martina McBride,False,45,42,42,In My Daughter's Eyes,7
matchbox twenty,False,36,5,43,Unwell,50
Sleepy Brown Featuring OutKast,False,58,44,44,I Can't Wait,2
Janet Jackson,False,47,45,45,Just A Little While,2
Juvenile Featuring Mannie Fresh,False,46,46,46,In My Life,9
Beyonce Featuring Sean Paul,False,43,1,47,Baby Boy,29
YoungBloodZ Featuring Lil Jon,False,39,4,48,Damn!,30
T.I.,False,54,49,49,Rubber Band Man,8
Sarah McLachlan,False,49,41,50,Fallen,19
Kenny Chesney,False,44,29,51,There Goes My Life,17
Simple Plan,False,40,24,52,Perfect,18
Hilary Duff,True,0,53,53,Come Clean,1
Trace Adkins,False,56,54,54,Hot Mama,6
Five For Fighting,False,61,55,55,100 Years,3
Kenny Chesney & Uncle Kracker,False,70,56,56,When The Sun Goes Down,2
Petey Pablo,False,57,57,57,Freek-A-Leek,9
Westside Connection Featuring Nate Dogg,False,42,33,58,Gangsta Nation,13
Sara Evans,False,59,58,59,Perfect,6
Fuel,False,60,60,60,Falls On Me,4
Jet,False,63,61,61,Are You Gonna Be My Girl,11
Missy Elliott,False,65,62,62,I'm Really Hot,3
Mario Winans Featuring Enya & P. Diddy,False,72,63,63,I Don't Wanna Know,2
Keith Urban,False,64,64,64,You'll Think Of Me,3
Jimmy Wayne,False,62,62,65,I Love You This Much,6
Incubus,False,55,55,66,Megalomaniac,9
Good Charlotte,False,67,63,67,Hold On,3
Buddy Jewell,False,69,68,68,Sweet Southern Comfort,4
Nickelback,False,73,69,69,Figured You Out,4
Rascal Flatts,False,74,70,70,Mayberry,2
Three Days Grace,False,71,55,71,(I Hate) Everything About You,14
Audioslave,False,66,66,72,I Am The Highway,8
Brooks & Dunn,False,68,39,73,You Can't Take The Honky Tonk Out Of The Girl,17
Joe,False,75,48,74,More & More,15
Josh Turner,False,76,75,75,Long Black Train,11
Train,False,79,74,76,When I Look To The Sky,4
