artist,isNew,last,peak,rank,title,week
Far*East Movement Featuring Cataracs & Dev,False,1,1,1,Like A G6,11
Bruno Mars,False,2,1,2,Just The Way You Are,14
Rihanna,False,4,3,3,Only Girl (In The World),7
Nelly,False,3,3,4,Just A Dream,10
Usher Featuring Pitbull,False,5,4,5,DJ Got Us Fallin' In Love,15
Trey Songz Featuring Nicki Minaj,False,10,6,6,Bottoms Up,11
Katy Perry,False,7,1,7,Teenage Dream,14
Taio Cruz,False,8,2,8,Dynamite,21
Flo Rida Featuring David Guetta,False,9,9,9,Club Can't Handle Me,17
P!nk,False,11,10,10,Raise Your Glass,3
Taylor Swift,True,0,11,11,Mean,1
Eminem Featuring Rihanna,False,12,1,12,Love The Way You Lie,18
Taylor Swift,False,14,3,13,Mine,12
Enrique Iglesias Featuring Pitbull,False,13,4,14,I Like It,24
Neon Trees,False,15,15,15,Animal,21
Chris Brown Featuring Tyga & Kevin McCall,False,16,14,16,Deuces,17
CeeLo Green,False,17,17,17,F**k You! (Forget You),9
Waka Flocka Flame Featuring Roscoe Dash & Wale,False,22,18,18,No Hands,7
Mike Posner,False,34,19,19,Please Don't Go,5
Lil Wayne Featuring Drake,False,20,6,20,Right Above It,10
The Band Perry,False,19,19,21,If I Die Young,16
Ke$ha,False,18,8,22,Take It Off,15
Sugarland,False,23,20,23,Stuck Like Glue,13
OneRepublic,False,24,21,24,Secrets,18
will.i.am & Nicki Minaj,False,28,25,25,Check It Out,7
Usher Featuring Jay-Z,False,21,21,26,Hot Tottie,11
The Ready Set,False,32,27,27,Love Like Woe,11
Mike Posner,False,25,6,28,Cooler Than Me,26
Yolanda Be Cool & Dcup,False,36,29,29,We No Speak Americano,6
Taylor Swift,False,6,6,30,Back To December,2
Katy Perry Featuring Snoop Dogg,False,26,1,31,California Gurls,24
Shakira Featuring El Cata or Dizzee Rascal,False,84,32,32,Loca,3
B.o.B Featuring Hayley Williams,False,31,2,33,Airplanes,28
Maroon 5,False,29,14,34,Misery,18
Drake Featuring T.I. & Swizz Beatz,False,35,25,35,Fancy,13
Daughtry,False,40,36,36,September,12
Sara Bareilles,False,42,32,37,King Of Anything,18
Sean Kingston Featuring Nicki Minaj,False,43,36,38,Letting Go (Dutty Love),12
Zac Brown Band Featuring Alan Jackson,False,46,39,39,As She's Walking Away,11
Eminem,False,30,1,40,Not Afraid,25
Darius Rucker,False,37,37,41,Come Back Song,15
Jay Sean Featuring Nicki Minaj,False,33,31,42,2012 (It Ain't The End),12
Usher Featuring will.i.am,False,44,1,43,OMG,30
Trey Songz,False,52,44,44,Can't Be Friends,6
B.o.B Featuring Rivers Cuomo,False,39,10,45,Magic,20
Train,False,49,34,46,If It's Love,20
Rodney Atkins,False,53,47,47,Farmer's Daughter,19
Jason Aldean,False,56,48,48,My Kinda Party,9
Eminem Featuring Lil Wayne,False,59,23,49,No Love,8
Rick Ross Featuring Drake & Chrisette Michele,False,66,50,50,Aston Martin Music,4
Wiz Khalifa,False,64,51,51,Black And Yellow,3
Pitbull Featuring T-Pain,False,57,44,52,Hey Baby (Drop It To The Floor),4
Kenny Chesney,False,47,18,53,The Boys of Fall,13
Kanye West Featuring Pusha T,False,38,12,54,Runaway,3
Brad Paisley,False,58,55,55,Anything Like Me,8
Easton Corbin,False,55,55,56,Roll With It,15
Katy Perry,True,0,57,57,Firework,1
Miguel Featuring J. Cole,False,61,58,58,All I Want Is You,6
Nicki Minaj,False,68,59,59,Right Thru Me,4
Jazmine Sullivan,False,62,60,60,Holding You Down (Goin In Circles),9
Mumford & Sons,False,65,61,61,Little Lion Man,11
Adam Lambert,False,51,30,62,If I Had You,18
Rascal Flatts,False,63,48,63,Why Wait,10
David Guetta Featuring Kid Cudi,False,73,64,64,Memories,3
Kings Of Leon,False,0,37,65,Radioactive,3
Hannah Montana Featuring Iyaz,True,0,66,66,Gonna Get This,1
Edward Maya & Vika Jigulina,False,74,67,67,Stereo Love,3
Carrie Underwood,False,70,68,68,Mama's Song,5
YG,False,67,67,69,Toot It And Boot It,9
Plain White T's,False,82,70,70,Rhythm of Love,6
Monica,False,72,58,71,Love All Over Me,15
George Strait,False,71,71,72,The Breath You Take,8
Josh Turner,False,60,59,73,All Over Me,17
Jesse McCartney,False,78,74,74,Shake,3
Bruno Mars,False,79,75,75,Grenade,4
Reba,False,76,76,76,Turn On The Radio,6
Miranda Lambert,False,75,75,77,Only Prettier,8
WILLOW,True,0,78,78,Whip My Hair,1
"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",True,0,79,79,Monster,1
Shakira Featuring Freshlyground,False,0,38,80,Waka Waka (This Time For Africa),18
Keith Urban,False,89,81,81,Put You In A Song,4
Kings Of Leon,True,0,82,82,The End,1
Rihanna Featuring Drake,True,0,83,83,What's My Name?,1
Florence + The Machine,False,77,21,84,Dog Days Are Over,6
Josh Thompson,False,85,85,85,Way Out Here,9
Taylor Swift,False,45,8,86,Speak Now,3
3OH!3,False,0,87,87,Double Vision,2
Trace Adkins,False,100,88,88,This Ain't No Love Song,2
T-Pain Featuring Rick Ross,True,0,89,89,Rap Song,1
My Darkest Days Featuring Zakk Wylde,True,0,90,90,Porn Star Dancing,1
Lloyd,True,0,91,91,Lay It Down,1
Rick Ross Featuring Styles P,False,90,60,92,B.M.F. (Blowin' Money Fast),16
The Black Keys,True,0,93,93,Tighten Up,1
Lady Antebellum,False,86,51,94,Our Kind Of Love,20
Natasha Bedingfield,True,0,95,95,Strip Me,1
Akon,False,95,62,96,Angel,3
Eric Church,False,97,97,97,Smoke A Little Smoke,6
Blake Shelton,False,92,37,98,All About Tonight,19
T.I. Featuring Keri Hilson,False,0,38,99,Got Your Back,20
Linkin Park,False,0,95,100,Waiting For The End,3
