artist,isNew,last,peak,rank,title,week
Mariah Carey,False,2,1,1,Don't Forget About Us,11
Chris Brown,False,1,1,2,Run It!,19
"Nelly Featuring Paul Wall, Ali & Gipp",False,4,3,3,Grillz,7
D4L,False,3,2,4,Laffy Taffy,14
The Pussycat Dolls,False,7,5,5,Stickwitu,11
Nickelback,False,5,2,6,Photograph,17
Kanye West Featuring Jamie Foxx,False,6,1,7,Gold Digger,23
Beyonce Featuring Slim Thug,False,18,8,8,Check On It,7
Kelly Clarkson,False,10,7,9,Because Of You,18
Juelz Santana,False,12,10,10,There It Go! (The Whistle Song),12
The Black Eyed Peas,False,9,3,11,My Humps,20
Ray J,False,16,12,12,One Wish,13
Three 6 Mafia Featuring Young Buck & Eightball & MJG,False,13,13,13,Stay Fly,15
Young Jeezy Featuring Akon,False,11,4,14,Soul Survivor,18
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",False,17,15,15,I Think They Like Me,15
Eminem,False,8,8,16,When I'm Gone,6
T-Pain,False,14,8,17,I'm Sprung,19
Trina Featuring Kelly Rowland,False,20,17,18,Here We Go,13
Sean Paul,False,15,6,19,We Be Burnin',16
Mary J. Blige,False,25,20,20,Be Without You,6
Madonna,False,19,7,21,Hung Up,9
Fall Out Boy,False,21,8,22,"Sugar, We're Goin' Down",27
James Blunt,False,22,22,23,You're Beautiful,8
Fall Out Boy,False,24,22,24,"Dance, Dance",9
Gwen Stefani,False,23,21,25,Luxurious,9
Ne-Yo,False,35,26,26,So Sick,4
The All-American Rejects,False,28,27,27,Dirty Little Secret,21
Kanye West Featuring Adam Levine,False,26,26,28,Heard 'Em Say,10
Lifehouse,False,29,5,29,You And Me,46
Gorillaz,False,33,14,30,Feel Good Inc,32
Carrie Underwood,False,42,31,31,"Jesus, Take The Wheel",7
Lil Wayne,False,36,32,32,Fireman,7
Green Day,False,30,6,33,Wake Me Up When September Ends,22
Keyshia Cole,False,31,30,34,I Should Have Cheated,13
Purple Ribbon All-Stars,False,43,35,35,Kryptonite (I'm On It),6
Rihanna,False,38,36,36,If It's Lovin' That You Want,11
Weezer,False,37,10,37,Beverly Hills,38
Trace Adkins,False,46,38,38,Honky Tonk Badonkadonk,9
Billy Currington,False,44,39,39,Must Be Doin' Somethin' Right,11
Dierks Bentley,False,39,31,40,Come A Little Closer,15
Mariah Carey,False,32,2,41,Shake It Off,23
Twista Featuring Trey Songz,False,34,14,42,Girl Tonite,17
Chamillionaire Featuring Lil' Flip,False,48,43,43,Turn It Up,9
Joe Nichols,False,41,32,44,Tequila Makes Her Clothes Fall Off,12
The Pussycat Dolls Featuring Busta Rhymes,False,45,2,45,Don't Cha,35
50 Cent,False,27,20,46,Window Shopper,8
Jamie Foxx Featuring Ludacris,False,58,47,47,Unpredictable,5
Ludacris & Field Mob Featuring Jamie Foxx,True,0,48,48,Georgia,1
Alicia Keys,False,40,34,49,Unbreakable,14
Mariah Carey,False,49,1,50,We Belong Together,38
Natasha Bedingfield,False,60,51,51,Unwritten,4
Eminem Featuring Nate Dogg,False,76,52,52,Shake That,2
Faith Hill,False,51,45,53,Like We Never Loved At All,13
George Strait,False,54,54,54,She Let Herself Go,9
Cascada,False,62,55,55,Everytime We Touch,3
Kenny Chesney,False,47,37,56,Who You'd Be Today,13
Goo Goo Dolls,False,59,36,57,Better Days,13
Little Big Town,False,56,56,58,Boondocks,10
Garth Brooks,False,61,59,59,Good Ride Cowboy,11
Death Cab For Cutie,False,81,60,60,Soul Meets Body,13
Shakira,False,52,42,61,Don't Bother,7
Brad Paisley Featuring Dolly Parton,False,72,62,62,When I Get Where I'm Going,5
System Of A Down,False,65,61,63,Hypnotize,8
"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",False,83,64,64,Nasty Girl,3
Korn,False,64,64,65,Twisted Transistor,6
Daddy Yankee,False,70,66,66,Rompe,5
Busta Rhymes,False,88,67,67,Touch It,2
Trey Songz,False,67,67,68,Gotta Go,5
Chris Cagle,False,71,67,69,Miss Me Baby,9
The Black Eyed Peas,False,90,70,70,Pump It,4
Ying Yang Twins Featuring Pitbull,False,63,41,71,Shake,18
Juvenile,False,80,72,72,Rodeo,4
Bow Wow Featuring J-Kwon & Jermaine Dupri,False,84,73,73,Fresh Azimiz,2
Cast Of Rent,False,53,33,74,Seasons Of Love,9
Keith Urban,False,66,44,75,Better Life,17
Ashlee Simpson,False,0,76,76,L.O.V.E.,2
Toby Keith,False,55,55,77,Big Blue Note,12
Avenged Sevenfold,False,79,76,78,Bat Country,8
Sugarland,False,75,75,79,Just Might (Make Me Believe),5
Shinedown,False,73,72,80,Save Me,7
Weezer,False,92,81,81,Perfect Situation,2
Foo Fighters,False,68,68,82,DOA,8
Kirk Franklin,False,77,74,83,Looking For You,4
Frankie J,False,69,25,84,More Than Words,16
Wisin & Yandel,False,99,85,85,Rakata,4
Keith Urban,True,0,86,86,Tonight I Wanna Cry,1
T-Pain Featuring Mike Jones,True,0,87,87,I'm N Luv (Wit A Stripper),1
Tim McGraw,False,89,87,88,My Old Friend,5
Chris Brown,True,0,89,89,Yo (Excuse Me Miss),1
Miranda Lambert,False,0,90,90,Kerosene,2
YoungBloodZ,False,0,81,91,Presidential,10
Ashlee Simpson,False,86,19,92,Boyfriend,15
Josh Turner,False,96,93,93,Your Man,2
Seether,False,0,94,94,Remedy,3
Brooks & Dunn,False,97,95,95,Believe,2
Twista Featuring Pitbull,False,100,95,96,Hit The Floor,3
Lindsay Lohan,False,57,57,97,Confessions Of A Broken Heart (Daughter To Father),6
Montgomery Gentry,True,0,98,98,She Don't Tell Me To,1
Bon Jovi,False,95,53,99,Have A Nice Day,10
Big & Rich,False,93,72,100,Comin' To Your City,5
