artist,isNew,last,peak,rank,title,week
Ciara Featuring Petey Pablo,False,1,1,1,Goodies,15
Terror Squad,False,2,1,2,Lean Back,15
Lil' Flip Featuring Lea,False,3,2,3,Sunshine,16
Nelly Featuring Jaheim,False,4,4,4,My Place,11
Usher And Alicia Keys,False,7,5,5,My Boo,4
Maroon 5,False,5,5,6,She Will Be Loved,11
Ashlee Simpson,False,6,5,7,Pieces Of Me,14
Alicia Keys Featuring Tony! Toni! Tone!,False,9,8,8,Diary,16
Avril Lavigne,False,13,9,9,My Happy Ending,10
Akon Featuring Styles P.,False,10,10,10,Locked Up,17
Alicia Keys,False,14,4,11,If I Ain't Got You,31
Destiny's Child,False,30,12,12,Lose My Breath,2
Juvenile Featuring Soulja Slim,False,12,1,13,Slow Motion,23
Christina Milian,False,8,5,14,Dip It Low,24
Jadakiss Featuring Anthony Hamilton,False,11,11,15,Why?,12
LL Cool J,False,18,16,16,Headsprung,13
Kevin Lyttle Featuring Spragga Benz,False,15,4,17,Turn Me On,20
"Houston Featuring Chingy, Nate Dogg & I-20",False,16,11,18,I Like That,16
Hoobastank,False,17,2,19,The Reason,29
Ryan Cabrera,False,23,20,20,On The Way Down,10
Finger Eleven,False,25,21,21,One Thing,11
Linkin Park,False,20,20,22,Breaking The Habit,11
Los Lonely Boys,False,22,16,23,Heaven,21
The Black Eyed Peas,False,21,21,24,Let's Get It Started,9
Nina Sky Featuring Jabba,False,19,4,25,Move Ya Body,23
Maroon 5,False,24,5,26,This Love,34
Kelly Clarkson,False,31,27,27,Breakaway,6
Mase Featuring P. Diddy,False,29,28,28,"Breathe, Stretch, Shake",6
Lil Scrappy,False,32,29,29,No Problem,12
Usher,False,26,1,30,Confessions Part II,23
Keith Urban,False,33,31,31,Days Go By,11
JoJo,False,27,12,32,Leave (Get Out),26
Usher Featuring Lil Jon & Ludacris,False,34,1,33,Yeah!,39
Kanye West,False,28,11,34,Jesus Walks,22
Sara Evans,False,36,35,35,Suds In The Bucket,9
"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",False,54,36,36,Oye Mi Canto,6
Trick Daddy Featuring Lil Jon & Twista,False,57,37,37,Let's Go,3
Seether Featuring Amy Lee,False,38,38,38,Broken,5
Gretchen Wilson,False,40,39,39,Here For The Party,9
Tim McGraw,False,37,30,40,Live Like You Were Dying,17
Switchfoot,False,35,18,41,Meant To Live,27
"Juvenile, Wacko & Skip",False,47,42,42,Nolia Clap,6
George Strait,False,45,43,43,I Hate Everything,8
Monica,False,39,19,44,U Should've Known Better,18
Anthony Hamilton,False,48,45,45,Charlene,5
Alan Jackson,False,49,46,46,Too Much Of A Good Thing,9
Usher,False,42,1,47,Burn,30
Bowling For Soup,False,53,48,48,1985,4
LL Cool J Featuring 7 Aurelius,False,69,49,49,Hush,2
Andy Griggs,False,43,43,50,She Thinks She Needs Me,10
Snoop Dogg Featuring Pharrell,True,0,51,51,Drop It Like It's Hot,1
Nelly,False,52,52,52,Flap Your Wings,5
Toby Keith,False,55,53,53,Stays In Mexico,6
Brooks & Dunn,False,59,54,54,That's What It's All About,6
T.I.,False,41,35,55,Let's Get Away,13
Phil Vassar,False,61,56,56,In A Real Love,5
Beyonce,False,60,57,57,Dangerously In Love,3
J-Kwon Featuring Sadiyyah,False,71,58,58,You & Me,3
Counting Crows,False,51,39,59,Accidentally In Love,15
Nelly & Christina Aguilera,False,75,60,60,Tilt Ya Head Back,2
Rascal Flatts,False,64,60,61,Feels Like Today,7
Terri Clark,False,46,36,62,Girls Lie Too,13
Shawnna Featuring Ludacris,False,65,63,63,Shake That Sh**,10
Switchfoot,True,0,64,64,Dare You To Move,1
Kenny Chesney,False,58,32,65,I Go Back,17
Gary Allan,False,72,66,66,Nothing On But The Radio,3
Green Day,False,62,62,67,American Idiot,7
Ashlee Simpson,True,0,68,68,Shadow,1
Lonestar,False,74,69,69,Mr. Mom,3
Twista Featuring R. Kelly,False,44,25,70,So Sexy,15
Lil Wayne,True,0,71,71,Go D.J.,1
Three Days Grace,False,66,55,72,Just Like You,10
The Killers,False,76,73,73,Somebody Told Me,5
Joe Nichols,False,73,69,74,If Nobody Believed In You,7
Fabolous,False,83,75,75,Breathe,3
R. Kelly,False,63,52,76,U Saved Me,10
Velvet Revolver,False,77,77,77,Fall To Pieces,2
Young Buck,False,67,34,78,Let Me In,11
Franz Ferdinand,False,70,66,79,Take Me Out,14
Christina Aguilera Featuring Missy Elliott,False,68,63,80,Car Wash,4
Breaking Benjamin,False,78,77,81,So Cold,4
Dem Franchize Boyz,False,84,82,82,White Tee's,5
Beenie Man,False,88,81,83,King Of The Dancehall,5
Lloyd Featuring Ashanti,False,56,24,84,Southside,20
Anita Baker,False,85,74,85,You're My Everything,7
Nickelback,False,79,48,86,Feelin' Way Too Damn Good,14
Prince,False,82,75,87,Call My Name,7
Brad Paisley Featuring Alison Krauss,False,80,41,88,Whiskey Lullaby,16
Nitty,False,93,89,89,Nasty Girl,3
3 Doors Down,False,87,62,90,Away From The Sun,14
Modest Mouse,False,81,68,91,Float On,19
Crime Mob Featuring Lil Scrappy,False,92,92,92,Knuck If You Buck,7
Teena Marie Featuring Baby,False,96,70,93,Still In Love,19
Crossfade,False,97,92,94,Cold,9
Billy Currington,False,95,50,95,I Got A Feelin',15
New Edition,False,94,89,96,Hot 2Nite,8
John Legend,True,0,97,97,Used To Love U,1
Josh Gracin,False,98,45,98,I Want To Live,14
Julie Roberts,False,90,81,99,Break Down Here,12
Reba McEntire,False,99,35,100,Somebody,17
