artist,isNew,last,peak,rank,title,week
Adele,False,1,1,1,Someone Like You,16
Rihanna Featuring Calvin Harris,False,6,2,2,We Found Love,5
Maroon 5 Featuring Christina Aguilera,False,2,1,3,Moves Like Jagger,18
LMFAO,False,4,4,4,Sexy And I Know It,8
Foster The People,False,3,3,5,Pumped Up Kicks,26
Gym Class Heroes Featuring Adam Levine,False,5,4,6,Stereo Hearts,19
David Guetta Featuring Usher,False,7,7,7,Without You,8
Cobra Starship Featuring Sabi,False,8,7,8,You Make Me Feel...,15
Drake Featuring Nicki Minaj,False,97,9,9,Make Me Proud,2
LMFAO Featuring Lauren Bennett & GoonRock,False,9,1,10,Party Rock Anthem,31
Justin Bieber,True,0,11,11,Mistletoe,1
Dev,False,12,11,12,In The Dark,12
Lady Gaga,False,11,6,13,You And I,12
Nicki Minaj,False,13,3,14,Super Bass,26
Coldplay,False,38,15,15,Paradise,6
Drake,False,15,13,16,Headlines,11
"Pitbull Featuring Ne-Yo, Afrojack & Nayer",False,14,1,17,Give Me Everything,30
Jason Derulo,False,17,17,18,It Girl,11
Kelly Clarkson,False,24,18,19,Mr. Know It All,7
T-Pain Featuring Wiz Khalifa & Lily Allen,False,25,20,20,5 O'Clock,4
Jay Z Kanye West,False,27,21,21,Ni**as in Paris,11
Bad Meets Evil Featuring Bruno Mars,False,16,4,22,Lighters,19
Lil Wayne Featuring Drake,False,19,3,23,She Will,10
Alexandra Stan,False,21,21,24,Mr. Saxobeat,15
Blake Shelton,False,22,22,25,God Gave Me You,15
OneRepublic,False,18,8,26,Good Life,30
Adele,False,23,1,27,Rolling In The Deep,42
Nicki Minaj Featuring Rihanna,False,34,28,28,Fly,9
Lil Wayne,False,20,5,29,How To Love,22
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,False,10,10,30,"Young, Wild & Free",2
Flo Rida,False,42,31,31,Good Feeling,4
Lady Antebellum,False,28,7,32,Just A Kiss,25
Bruno Mars,False,47,28,33,It Will Rain,4
Eli Young Band,False,33,33,34,Crazy Girl,32
The Band Perry,False,35,14,35,If I Die Young,48
The Script,False,32,32,36,Nothing,11
Katy Perry,False,30,1,37,Last Friday Night (T.G.I.F.),22
Rihanna,False,26,7,38,Cheers (Drink To That),13
Hot Chelle Rae,False,31,7,39,Tonight Tonight,28
Rodney Atkins,False,29,23,40,Take A Back Road,21
Big Sean Featuring Kanye West & Roscoe Dash,False,36,32,41,Marvin & Chardonnay,14
J. Cole,False,46,42,42,Work Out,8
Britney Spears,False,37,7,43,I Wanna Go,20
Luke Bryan,False,54,44,44,I Don't Want This Night To End,4
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",False,41,10,45,I'm On One,23
Selena Gomez & The Scene,False,45,35,46,Love You Like A Love Song,18
Gavin DeGraw,False,51,47,47,Not Over You,11
Rascal Flatts Featuring Natasha Bedingfield,False,48,48,48,Easy,13
Taylor Swift,False,50,17,49,Sparks Fly,13
Lady Gaga,False,44,3,50,The Edge Of Glory,24
Jason Aldean,False,53,51,51,Tattoos On This Town,5
Miranda Lambert,False,55,52,52,Baggage Claim,11
Lady Antebellum,False,52,47,53,We Owned The Night,10
New Boyz Feat. Chris Brown,False,39,38,54,Better With The Lights Off,17
Katy Perry,False,94,55,55,The One That Got Away,2
Brantley Gilbert,False,59,56,56,Country Must Be Country Wide,17
Zac Brown Band,False,66,57,57,Keep Me In Mind,4
George Strait,False,49,46,58,Here For A Good Time,17
B.o.B Featuring Lil Wayne,False,40,7,59,Strange Clouds,4
Drake,False,61,21,60,Marvins Room,14
Wale Featuring Jeremih & Rick Ross,False,64,61,61,That Way,8
Nickelback,False,70,48,62,When We Stand Together,4
Big Sean Featuring Nicki Minaj,False,69,63,63,Dance (A$$),3
Keith Urban,False,56,45,64,Long Hot Summer,15
Jay Z Kanye West Featuring Otis Redding,False,62,12,65,Otis,14
Britney Spears,False,92,66,66,Criminal,2
Toby Keith,False,57,40,67,Made In America,20
Colbie Caillat,False,65,65,68,Brighter Than The Sun,10
Brad Paisley Duet With Carrie Underwood,False,63,17,69,Remind Me,20
Eric Church,False,68,68,70,Drink In My Hand,5
Afrojack Featuring Eva Simons,False,60,41,71,Take Over Control,19
Mindless Behavior Featuring Diggy,False,74,72,72,Mrs. Right,8
The Band Perry,False,72,72,73,All Your Life,7
Christina Perri,True,0,74,74,A Thousand Years,1
Beyonce Featuring Andre 3000,False,87,75,75,Party,3
Ace Hood Featuring Chris Brown,False,76,76,76,Body 2 Body,6
Beyonce,False,85,77,77,Countdown,2
David Nail Featuring Sarah Buxton,False,84,78,78,Let It Rain,6
Thompson Square,False,82,79,79,I Got You,10
Jerrod Niemann,False,80,77,80,One More Drinkin' Song,13
Red Hot Chili Peppers,False,73,38,81,The Adventures Of Rain Dance Maggie,14
Chris Brown Feat. Ludacris,False,78,77,82,Wet The Bed,7
Martina McBride,False,71,71,83,I'm Gonna Love You Through It,3
Rick Ross Featuring Nicki Minaj,True,0,84,84,You The Boss,1
Chris Young,True,0,85,85,You,1
Lloyd Featuring Andre 3000 & Lil Wayne,False,79,79,86,Dedication To My Ex (Miss That),4
Jessie J,False,96,87,87,Domino,2
Sean Paul Featuring Alexis Jordan,False,88,84,88,Got 2 Luv U,6
The Fray,False,43,43,89,Heartbeat,2
Demi Lovato,False,77,10,90,Skyscraper,15
AWOLNATION,False,90,82,91,Sail,10
Hot Chelle Rae Featuring New Boyz,False,75,51,92,I Like It Like That,3
Ronnie Dunn,False,0,93,93,Cost Of Livin',5
Romeo Santos Featuring Usher,True,0,94,94,Promise,1
Pitbull Featuring Marc Anthony,False,95,30,95,Rain Over Me,17
Adele,False,0,72,96,Set Fire To The Rain,10
Wale Featuring Kid Cudi,True,0,97,97,Focused,1
Miguel,False,93,62,98,Quickie,14
Daughtry,False,83,41,99,Crawling Back To You,3
Darius Rucker,False,0,84,100,I Got Nothin',5
