artist,isNew,last,peak,rank,title,week
Joe Featuring Mystikal,False,1,1,1,Stutter,9
"Shaggy Feat. Ricardo ""RikRok"" Ducent",False,2,1,2,It Wasn't Me,18
Jennifer Lopez,False,3,3,3,Love Don't Cost A Thing,13
Lenny Kravitz,False,4,4,4,Again,16
Shaggy Featuring Rayvon,False,7,5,5,Angel,10
Madonna,False,6,4,6,Don't Tell Me,13
OutKast,False,5,1,7,Ms. Jackson,17
matchbox twenty,False,8,5,8,If You're Gone,20
Ja Rule Featuring Lil' Mo & Vita,False,9,9,9,Put It On Me,11
Dream,False,11,2,10,He Loves U Not,23
Crazy Town,False,12,11,11,Butterfly,9
Destiny's Child,False,10,1,12,Independent Women Part I,24
K-Ci & JoJo,False,15,13,13,Crazy,13
Ricky Martin Duet With Christina Aguilera,False,13,13,14,Nobody Wants To Be Lonely,6
Evan And Jaron,False,18,15,15,Crazy For This Girl,18
Lee Ann Womack,False,14,14,16,I Hope You Dance,26
Jagged Edge,False,19,17,17,Promise,11
Aerosmith,False,20,18,18,Jaded,6
Mystikal Featuring Nivea,False,21,14,19,Danger (Been So Long),12
Faith Hill,False,16,6,20,The Way You Love Me,44
Dido,False,23,21,21,Thank You,8
Creed,False,17,1,22,With Arms Wide Open,43
Mya,False,24,2,23,Case Of The Ex (Whatcha Gonna Do),29
3 Doors Down,False,22,3,24,Kryptonite,48
Ludacris,False,25,25,25,Southern Hospitality,7
Jaheim,False,31,26,26,Could It Be,12
3LW,False,27,27,27,No More (Baby I'ma Do Right),18
Moby Featuring Gwen Stefani,False,29,28,28,South Side,14
JAY-Z,False,28,11,29,I Just Wanna Love U (Give It 2 Me),19
'N Sync,False,30,5,30,This I Promise You,23
Fuel,False,32,30,31,Hemorrhage (In My Hands),19
112,False,39,32,32,It's Over Now,13
ATC,False,34,33,33,Around The World (La La La La La),4
Toby Keith,False,36,34,34,You Shouldn't Kiss Me Like This,10
P!nk,False,33,33,35,You Make Me Sick,9
U2,False,26,21,36,Beautiful Day,22
Keith Urban,False,37,37,37,But For The Grace Of God,11
Diamond Rio,False,41,38,38,One More Day,7
Jessica Andrews,False,44,39,39,Who I Am,6
Tamia,False,38,38,40,Stranger In My House,8
O-Town,False,35,10,41,Liquid Dreams,11
Mya,False,46,42,42,Free,5
Nelly Featuring City Spud,False,57,43,43,Ride Wit Me,2
Jo Dee Messina,False,42,42,44,Burn,14
Lee Ann Womack,False,45,45,45,Ashes By Now,13
The Corrs,False,54,46,46,Breathless,6
Lifehouse,False,53,47,47,Hanging By A Moment,4
Jill Scott,False,49,48,48,A Long Walk,4
Eve,False,61,49,49,Who's That Girl?,3
Koffee Brown,False,52,50,50,After Party,8
Jamie O'Neal,False,40,40,51,There Is No Arizona,11
Backstreet Boys,False,56,52,52,The Call,3
Garth Brooks,False,50,50,53,Wild Horses,11
Dave Hollister,False,51,44,54,One Woman Man,13
Musiq Soulchild,False,65,55,55,Love,3
Faith Hill,False,63,56,56,If My Heart Had Wings,5
Bon Jovi,False,66,57,57,Thank You For Loving Me,3
Jon B,False,72,58,58,Don't Talk,3
Aaron Lewis Of Staind With Fred Durst,False,60,59,59,Outside,6
Incubus,False,67,60,60,Drive,3
S Club 7,True,0,61,61,Never Had A Dream Come True,1
Tim McGraw,False,58,27,62,My Next Thirty Years,20
Carl Thomas,False,69,47,63,Emotional,15
Monica,False,74,64,64,Just Another Girl,2
Vertical Horizon,True,0,65,65,Best I Ever Had (Grey Sky Morning),1
Nelly Furtado,True,0,66,66,I'm Like A Bird,1
98 Degrees,False,55,34,67,My Everything,13
Rascal Flatts,False,62,56,68,This Everyday Love,11
Britney Spears,False,43,11,69,Stronger,14
3 Doors Down,False,73,55,70,Loser,20
OutKast,True,0,71,71,"So Fresh, So Clean",1
Dave Matthews Band,False,75,71,72,I Did It,6
Avant Featuring KeKe Wyatt,False,64,26,73,My First Love,18
Lonestar,False,59,39,74,Tell Her,16
Linkin Park,False,76,75,75,One Step Closer,4
QB Finest Featuring Nas & Bravehearts,True,0,76,76,Oochie Wally,1
Darryl Worley,False,78,76,77,A Good Day To Run,7
Travis Tritt,True,0,78,78,It's A Great Day To Be Alive,1
Cash Money Millionaires,False,77,47,79,Project Chick,12
Trick Pony,False,85,80,80,Pour Me,5
Daft Punk,False,87,81,81,One More Time,4
Modjo,False,82,82,82,Lady (Hear Me Tonight),9
Case,False,79,79,83,Missing You,4
David Gray,False,71,57,84,Babylon,14
Bilal,False,83,83,85,Soul Sista,6
Sara Evans,False,81,34,86,Born To Fly,20
Mikaila,False,84,25,87,So In Love With Two,15
Memphis Bleek Featuring Jay-Z & Missy Elliott,False,80,68,88,Is That Your Chick,12
Sarina Paris,False,99,89,89,Look At Us,2
"Jay-Z, Beanie Sigel And Memphis Bleek",False,98,90,90,Change The Game,5
Snoop Dogg,False,90,77,91,Snoop Dogg,5
Kenny Chesney,False,89,34,92,I Lost It,20
Mr. C The Slide Man,False,88,83,93,Cha-Cha Slide,9
Iconz Featuring Tony Manshino,False,94,94,94,Get Crunked Up,3
Mos Def & Pharoahe Monch Featuring Nate Dogg,False,93,83,95,Oh No,11
Sade,False,95,75,96,By Your Side,7
Project Pat,True,0,97,97,Chickenhead,1
Philly's Most Wanted,True,0,98,98,Cross The Border,1
Xzibit,False,91,76,99,X,10
Limp Bizkit,False,96,65,100,Rollin',17
