artist,isNew,last,peak,rank,title,week
Usher And Alicia Keys,False,1,1,1,My Boo,13
Snoop Dogg Featuring Pharrell,False,2,2,2,Drop It Like It's Hot,10
Nelly Featuring Tim McGraw,False,4,3,3,Over And Over,8
Destiny's Child,False,3,3,4,Lose My Breath,11
Mario,False,9,5,5,Let Me Love You,7
Ja Rule Featuring R. Kelly & Ashanti,False,5,5,6,Wonderful,8
Trick Daddy Featuring Lil Jon & Twista,False,7,7,7,Let's Go,12
Kelly Clarkson,False,8,6,8,Breakaway,15
Ciara Featuring Missy Elliott,False,13,9,9,"1, 2 Step",6
Ciara Featuring Petey Pablo,False,6,1,10,Goodies,24
Fabolous,False,10,10,11,Breathe,12
Maroon 5,False,11,5,12,She Will Be Loved,20
"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",False,12,12,13,Oye Mi Canto,15
Eminem,False,15,6,14,Just Lose It,9
Lil Wayne,False,14,14,15,Go D.J.,10
Gavin DeGraw,False,16,16,16,I Don't Want To Be,7
Lil Jon & The East Side Boyz Featuring Usher & Ludacris,False,36,17,17,Lovers And Friends,2
Young Buck,False,17,17,18,Shorty Wanna Ride,8
Switchfoot,False,20,19,19,Dare You To Move,10
Destiny's Child Featuring T.I. & Lil Wayne,False,41,20,20,Soldier,2
Seether Featuring Amy Lee,False,23,21,21,Broken,14
Anthony Hamilton,False,21,19,22,Charlene,14
JoJo Featuring Bow Wow,False,26,23,23,Baby It's You,9
Chingy,False,22,20,24,Balla Baby,9
Ryan Cabrera,False,28,15,25,On The Way Down,19
Terror Squad,False,18,1,26,Lean Back,24
LL Cool J Featuring 7 Aurelius,False,27,27,27,Hush,11
Finger Eleven,False,25,16,28,One Thing,20
Alicia Keys Featuring Tony! Toni! Tone!,False,24,8,29,Diary,25
Avril Lavigne,False,19,9,30,My Happy Ending,19
U2,False,31,31,31,Vertigo,9
Gary Allan,False,35,32,32,Nothing On But The Radio,12
Kenny Chesney,False,37,33,33,The Woman With You,8
Lil Jon & The East Side Boyz Featuring Lil Scrappy,False,44,34,34,What U Gon' Do,5
Lonestar,False,33,33,35,Mr. Mom,12
Bowling For Soup,False,29,23,36,1985,13
Tim McGraw,False,38,37,37,Back When,7
Akon Featuring Styles P.,False,30,8,38,Locked Up,26
Blake Shelton,False,42,39,39,Some Beach,6
John Mayer,False,40,40,40,Daughters,5
Ludacris,False,48,41,41,Get Back,3
Los Lonely Boys,False,32,16,42,Heaven,30
Hoobastank,False,34,2,43,The Reason,38
Ashanti,False,55,44,44,Only U,3
Alicia Keys,False,39,4,45,If I Ain't Got You,40
Simple Plan,False,49,46,46,Welcome To My Life,4
Jadakiss Featuring Mariah Carey,False,66,47,47,U Make Me Wanna,3
Brooks & Dunn,False,43,38,48,That's What It's All About,15
Maroon 5,False,46,5,49,This Love,43
Gwen Stefani,False,47,47,50,What You Waiting For?,8
The Killers,False,51,51,51,Somebody Told Me,14
Ja Rule Featuring Fat Joe & Jadakiss,False,75,52,52,New York,3
The Game Featuring 50 Cent,False,65,53,53,How We Do,2
Lloyd Banks Featuring Avant,False,56,54,54,Karma,3
"Eminem, Dr. Dre & 50 Cent",False,58,55,55,Encore,3
Darryl Worley,False,60,56,56,"Awful, Beautiful Life",4
Dierks Bentley,False,57,57,57,How Am I Doin',7
The Black Eyed Peas,False,50,21,58,Let's Get It Started,18
Rupee,False,45,39,59,Tempted To Touch,9
Shania Twain With Billy Currington Or Mark McGrath,False,61,60,60,Party For Two,5
Nelly Featuring Jaheim,False,52,4,61,My Place,20
Terror Squad,False,70,62,62,Take Me Home,7
Phil Vassar,False,54,38,63,In A Real Love,14
LeAnn Rimes,False,67,64,64,Nothin 'Bout Love Makes Sense,4
Green Day,False,71,65,65,Boulevard Of Broken Dreams,2
Goo Goo Dolls,False,74,66,66,Give A Little Bit,2
"Juvenile, Wacko & Skip",False,53,31,67,Nolia Clap,15
Linkin Park,False,62,20,68,Breaking The Habit,20
Sara Evans,False,63,33,69,Suds In The Bucket,18
Brad Paisley,True,0,70,70,Mud On The Tires,1
Chevelle,False,73,71,71,Vitamin R (Leading Us Along),3
Velvet Revolver,False,69,67,72,Fall To Pieces,11
Keith Urban,True,0,73,73,You're My Better Half,1
T.I.,False,88,74,74,Bring Em Out,2
Alan Jackson,True,0,75,75,Monday Morning Church,1
Beyonce,False,81,57,76,Dangerously In Love,12
Keyshia Cole Featuring Shyne,False,72,72,77,I Changed My Mind,2
Keith Urban,False,68,31,78,Days Go By,20
Crime Mob Featuring Lil Scrappy,False,76,76,79,Knuck If You Buck,16
Breaking Benjamin,False,79,76,80,So Cold,13
Papa Roach,False,77,69,81,Getting Away With Murder,7
Jay-Z/Linkin Park,False,86,82,82,Numb/Encore,2
R. Kelly & Jay-Z,False,59,39,83,Big Chips,7
Green Day,False,85,61,84,American Idiot,16
John Legend,False,82,74,85,Used To Love U,10
Body Head Bangerz Featuring YoungBloodz,False,84,81,86,"I Smoke, I Drank",6
George Strait,False,80,35,87,I Hate Everything,17
Crossfade,False,90,84,88,Cold,18
Mase Featuring P. Diddy,False,78,28,89,"Breathe, Stretch, Shake",15
Alicia Keys,False,93,90,90,Karma,2
Daddy Yankee,False,91,91,91,Gasolina,4
Three Days Grace,False,89,55,92,Just Like You,19
