artist,isNew,last,peak,rank,title,week
Miley Cyrus,False,1,1,1,Wrecking Ball,5
Katy Perry,False,2,1,2,Roar,7
Lorde,False,3,3,3,Royals,12
Avicii,False,5,4,4,Wake Me Up!,13
Robin Thicke Featuring T.I. + Pharrell,False,4,1,5,Blurred Lines,23
Jay Z Featuring Justin Timberlake,False,6,4,6,Holy Grail,11
Drake Featuring Majid Jordan,False,9,7,7,"Hold On, We're Going Home",7
Lady Gaga,False,7,4,8,Applause,6
Lana Del Rey & Cedric Gervais,False,10,6,9,Summertime Sadness,11
Capital Cities,False,12,8,10,Safe And Sound,21
Eminem,False,8,3,11,Berzerk,4
Britney Spears,True,0,12,12,Work B**ch!,1
Ylvis,False,25,13,13,The Fox,3
Imagine Dragons,False,13,3,14,Radioactive,56
Miley Cyrus,False,11,2,15,We Can't Stop,16
Luke Bryan,False,15,15,16,That's My Kind Of Night,6
Katy Perry Featuring Juicy J,True,0,17,17,Dark Horse,1
Zedd Featuring Foxes,False,14,8,18,Clarity,27
Maejor Ali Featuring Juicy J & Justin Bieber,True,0,19,19,Lolly,1
AWOLNATION,False,22,20,20,Sail,55
Daft Punk Featuring Pharrell Williams,False,16,2,21,Get Lucky,23
Justin Timberlake,False,20,2,22,Mirrors,32
Anna Kendrick,False,18,6,23,Cups (Pitch Perfect's When I'm Gone),39
Bruno Mars,False,17,5,24,Treasure,19
Macklemore & Ryan Lewis Featuring Mary Lambert,False,19,11,25,Same Love,28
Maroon 5,False,21,10,26,Love Somebody,18
J. Cole Featuring TLC,False,36,27,27,Crooked Smile,14
OneRepublic,False,38,28,28,Counting Stars,14
Macklemore & Ryan Lewis Featuring Ray Dalton,False,26,1,29,Can't Hold Us,33
Calvin Harris Featuring Ellie Goulding,False,24,16,30,I Need Your Love,23
Tyler Farr,False,29,29,31,Redneck Crazy,17
Jason Aldean,False,27,27,32,Night Train,12
One Direction,False,23,2,33,Best Song Ever,9
Thomas Rhett,False,32,32,34,It Goes Like This,15
Phillip Phillips,False,31,24,35,"Gone, Gone, Gone",29
Robin Thicke Featuring Kendrick Lamar,False,28,25,36,Give It 2 U,5
Paramore,False,37,36,37,Still Into You,11
Chris Brown Featuring Nicki Minaj,False,39,38,38,Love More,9
