artist,isNew,last,peak,rank,title,week
Post Malone Featuring 21 Savage,False,1,1,1,Rockstar,9
Camila Cabello Featuring Young Thug,False,2,2,2,Havana,14
Lil Pump,False,12,3,3,Gucci Gang,10
Imagine Dragons,False,5,4,4,Thunder,29
Cardi B,False,3,1,5,Bodak Yellow (Money Moves),20
Sam Smith,False,4,4,6,Too Good At Goodbyes,10
Ed Sheeran,False,8,7,7,Perfect,12
Logic Featuring Alessia Cara & Khalid,False,6,3,8,1-800-273-8255,29
Portugal. The Man,False,7,4,9,Feel It Still,22
J Balvin & Willy William Featuring Beyonce,False,10,3,10,Mi Gente,20
Maroon 5 Featuring SZA,False,9,9,11,What Lovers Do,12
Demi Lovato,False,11,6,12,Sorry Not Sorry,19
G-Eazy Featuring A$AP Rocky & Cardi B,False,13,13,13,No Limit,10
Eminem Featuring Beyonce,True,0,14,14,Walk On Water,1
"Migos, Nicki Minaj & Cardi B",False,23,14,15,MotorSport,3
Gucci Mane Featuring Migos,False,14,11,16,I Get The Bag,13
Halsey,False,20,17,17,Bad At Love,11
Taylor Swift,False,30,4,18,...Ready For It?,11
Dua Lipa,False,21,19,19,New Rules,16
P!nk,False,17,13,20,What About Us,15
French Montana Featuring Swae Lee,False,16,3,21,Unforgettable,32
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,False,18,1,22,Despacito,44
Yo Gotti Featuring Nicki Minaj,False,22,8,23,Rake It Up,20
Charlie Puth,False,19,5,24,Attention,30
Post Malone,False,29,25,25,I Fall Apart,8
Imagine Dragons,False,24,4,26,Believer,41
21 Savage,False,15,12,27,Bank Account,19
Kesha,False,28,22,28,Praying,19
Khalid,False,25,25,29,Young Dumb & Broke,18
Ed Sheeran,False,26,1,30,Shape Of You,45
Taylor Swift,False,37,1,31,Look What You Made Me Do,13
Liam Payne Featuring Quavo,False,32,10,32,Strip That Down,26
Shawn Mendes,False,33,6,33,There's Nothing Holdin' Me Back,30
Bruno Mars,False,36,1,34,That's What I Like,44
Niall Horan,False,34,11,35,Slow Hands,29
Post Malone Featuring Quavo,False,40,8,36,Congratulations,47
Lil Uzi Vert Featuring Nicki Minaj,False,31,31,37,The Way Life Goes,12
SZA,False,43,38,38,The Weekend,16
Luke Combs,False,38,33,39,When It Rains It Pours,16
Charlie Puth,False,44,40,40,How Long,6
Kendrick Lamar Featuring Zacari,False,0,18,41,Love.,21
blackbear,False,41,40,42,Do Re Mi,23
Kane Brown Featuring Lauren Alaina,False,39,26,43,What Ifs,23
Marshmello Featuring Khalid,False,54,42,44,Silence,14
LANCO,False,52,45,45,Greatest Love Story,11
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",False,47,46,46,Pills And Automobiles,10
Kendrick Lamar,False,46,1,47,Humble.,33
Lil Uzi Vert,False,45,7,48,XO TOUR Llif3,34
The Chainsmokers & Coldplay,False,42,3,49,Something Just Like This,39
GoldLink Featuring Brent Faiyaz & Shy Glizzy,False,51,45,50,Crew,21
Selena Gomez X Marshmello,False,55,35,51,Wolves,4
NF,False,61,52,52,Let You Down,5
Bebe Rexha & Florida Georgia Line,False,62,53,53,Meant To Be,4
A$AP Ferg Featuring Nicki Minaj,False,59,54,54,Plain Jane,8
Thomas Rhett,False,53,47,55,Unforgettable,16
Offset & Metro Boomin,False,50,50,56,Ric Flair Drip,3
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",False,35,35,57,Ghostface Killers,3
6ix9ine,True,0,58,58,Gummo,1
Kodak Black Featuring XXXTENTACION,False,56,53,59,Roll In Peace,13
Luke Bryan,False,63,60,60,Light It Up,12
Kelly Clarkson,False,57,47,61,Love So Soft,10
Brett Young,False,67,62,62,Like I Loved You,8
Blake Shelton,False,58,58,63,I'll Name The Dogs,10
Miguel Featuring Travis Scott,False,69,64,64,Sky Walker,8
NAV Featuring Lil Uzi Vert,True,0,65,65,Wanted You,1
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,False,68,64,66,Let Me Go,8
Chris Janson,False,71,67,67,Fix A Drink,12
Macklemore Featuring Kesha,False,72,68,68,Good Old Days,4
Keith Urban,True,0,69,69,Female,1
Zayn Featuring Sia,False,80,44,70,Dusk Till Dawn,10
Tay-K,False,66,44,71,The Race,15
Carly Pearce,False,60,50,72,Every Little Thing,16
Taylor Swift,False,27,27,73,Call It What You Want,2
Chris Young,False,70,63,74,Losing Sleep,8
Russell Dickerson,False,74,74,75,Yours,5
MAX Featuring gnash,False,84,76,76,Lights Down Low,6
Eric Church,False,76,76,77,Round Here Buzz,8
Post Malone,False,81,78,78,Candy Paint,4
N*E*R*D & Rihanna,False,65,65,79,Lemon,2
YBN Nahmir,False,79,79,80,Rubbin Off The Paint,2
Maren Morris,False,75,75,81,I Could Use A Love Song,13
XXXTENTACION Featuring Trippie Redd,False,83,41,82,F**k Love,12
XXXTENTACION,False,77,31,83,Jocelyn Flores,12
Becky G Featuring Bad Bunny,False,88,83,84,Mayores,4
Garth Brooks,False,90,85,85,Ask Me How I Know,4
Young Thug Featuring Future,False,87,65,86,Relationship,13
Kodak Black,False,86,46,87,Transportin',13
"21 Savage, Offset & Metro Boomin Featuring Quavo",False,64,64,88,Rap Saved Me,3
Taylor Swift,False,85,13,89,Gorgeous,4
Lil Uzi Vert,False,89,49,90,Sauce It Up,12
Chris Brown,False,78,78,91,Questions,12
Florida Georgia Line,False,91,89,92,Smooth,7
Lil Xan,True,0,93,93,Betrayed,1
Walker Hayes,False,95,91,94,You Broke Up With Me,4
Chris Stapleton,False,92,92,95,Broken Halos,3
G-Eazy,True,0,96,96,The Plan,1
Famous Dex Featuring A$AP Rocky,True,0,97,97,Pick It Up,1
Post Malone,False,96,76,98,Go Flex,9
Niall Horan,False,0,66,99,Too Much To Ask,4
Future & Young Thug Featuring Offset,False,97,50,100,Patek Water,4
