artist,isNew,last,peak,rank,title,week
Ashanti,False,1,1,1,Foolish,12
Fat Joe Featuring Ashanti,False,2,2,2,What's Luv?,12
Usher,False,4,3,3,U Don't Have To Call,13
P. Diddy Featuring Usher & Loon,False,6,4,4,I Need A Girl (Part One),8
Jennifer Lopez Featuring Ja Rule,False,3,1,5,Ain't It Funny,19
Puddle Of Mudd,False,7,6,6,Blurry,20
Tweet,False,8,7,7,Oops (Oh My),13
'N Sync Featuring Nelly,False,5,5,8,Girlfriend,13
P!nk,False,11,9,9,Don't Let Me Get Me,9
Vanessa Carlton,False,10,10,10,A Thousand Miles,10
Linkin Park,False,9,2,11,In The End,27
Michelle Branch,False,15,12,12,All You Wanted,11
Enrique Iglesias,False,12,12,13,Escape,11
Nickelback,False,14,1,14,How You Remind Me,35
The Calling,False,13,5,15,Wherever You Will Go,26
Busta Rhymes Featuring P. Diddy & Pharrell,False,16,16,16,Pass The Courvoisier Part II,10
Shakira,False,19,17,17,Underneath Your Clothes,8
Mary J. Blige Featuring Ja Rule,False,25,18,18,Rainy Dayz,6
Goo Goo Dolls,False,20,19,19,Here Is Gone,7
Faith Evans,False,17,14,20,I Love You,15
Default,False,23,21,21,Wasting My Time,18
Celine Dion,False,24,22,22,A New Day Has Come,10
Jimmy Eat World,False,26,23,23,The Middle,8
Kylie Minogue,False,18,7,24,Can't Get You Out Of My Head,15
No Doubt,False,40,25,25,Hella Good,3
Ludacris Featuring Sleepy Brown,False,22,22,26,Saturday (Oooh! Ooooh!),12
Ja Rule Featuring Ashanti,False,21,1,27,Always On Time,25
Avant,False,28,28,28,Makin' Good Love,7
Toby Keith,False,27,27,29,My List,12
Jaheim Featuring Next,False,29,28,30,Anything,11
Alan Jackson,False,33,31,31,Drive (For Daddy Gene),8
Aaliyah,False,34,25,32,More Than A Woman,14
Truth Hurts Featuring Rakim,False,53,33,33,Addictive,3
Musiq,False,43,34,34,halfcrazy,7
Kenny Chesney,False,35,35,35,Young,13
LeAnn Rimes,False,30,11,36,Can't Fight The Moonlight,42
Creed,False,31,4,37,My Sacrifice,28
B2K,False,39,38,38,Uh Huh,18
Tommy Shane Steiner,False,44,39,39,What If She's An Angel,11
Phil Vassar,False,37,37,40,That's When I Love You,11
P.O.D.,False,32,28,41,Youth Of The Nation,13
Rascal Flatts,False,41,41,42,I'm Movin' On,14
Nickelback,False,48,43,43,Too Bad,8
Steve Azar,False,51,44,44,I Don't Have To Be Me ('til Monday),5
George Strait,False,52,45,45,Living And Living Well,5
Mary J. Blige,False,47,1,46,Family Affair,41
Cam'Ron Featuring Juelz Santana,False,58,47,47,Oh Boy,3
Mr. Cheeks,False,38,14,48,"Lights, Camera, Action!",30
Nelly,True,0,49,49,Hot In Herre,1
Enrique Iglesias,False,49,3,50,Hero,32
"Ja Rule Featuring Charli ""Chuck"" Baltimore",False,57,51,51,Down A** Chick,4
Jennifer Lopez Featuring Nas,False,69,52,52,I'm Gonna Be Alright,2
Jermaine Dupri & Ludacris,False,50,35,53,Welcome To Atlanta,19
Alanis Morissette,False,46,23,54,Hands Clean,14
Sheryl Crow,False,66,55,55,Soak Up The Sun,4
Emerson Drive,False,61,56,56,I Should Be Sleeping,8
OutKast Featuring Killer Mike,False,42,19,57,The Whole World,20
Travis Tritt,False,60,58,58,Modern Day Bonnie And Clyde,6
Alicia Keys,False,59,59,59,How Come You Don't Call Me,5
Nappy Roots,False,64,60,60,Awnaw,9
Martina McBride,False,54,31,61,Blessed,17
Chris Cagle,False,55,35,62,"I Breathe In, I Breathe Out",13
Nas,False,70,63,63,One Mic,3
B2K,False,73,64,64,Gots Ta Be,2
India.Arie,False,71,47,65,Video,26
Brad Paisley,True,0,66,66,I'm Gonna Miss Her (The Fishin' Song),1
Staind,False,65,65,67,For You,10
Brandy,True,0,68,68,Full Moon,1
Tim McGraw,False,56,33,69,The Cowboy In Me,17
Maxwell,False,67,58,70,This Woman's Work,8
Naughty By Nature Featuring 3LW,False,74,71,71,Feels Good (Don't Worry Bout A Thing),6
Lil Bow Wow,False,72,72,72,Take Ya Home,4
KeKe Wyatt Featuring Avant,False,62,27,73,Nothing In This World,18
Ying Yang Twins,True,0,74,74,Say I Yi Yi,1
Beanie Sigel & Freeway,False,63,55,75,Roc The Mic,11
System Of A Down,True,0,76,76,Toxicity,1
Hoobastank,False,76,68,77,Crawling In The Dark,10
Brandy,False,68,7,78,What About Us?,15
Kevin Denney,False,78,76,79,That's Just Jessie,14
Brooks & Dunn,False,75,39,80,The Long Goodbye,20
Big Tymers,False,84,81,81,Still Fly,4
Angie Stone,False,79,79,82,Wish I Didn't Miss You,7
Donell Jones,False,83,83,83,You Know That I Love You,2
Amanda Perez,False,80,79,84,Never,12
Paulina Rubio,True,0,85,85,Don't Say Goodbye,1
Britney Spears,False,93,86,86,Overprotected,2
R. Kelly & Jay-Z,False,85,81,87,Take You Home With Me a.k.a. Body,6
Tanto Metro & Devonte,False,88,88,88,Give It To Her,7
iio,False,81,46,89,Rapture (Tastes So Sweet),12
X-Ecutioners,False,86,85,90,It's Goin' Down,9
System Of A Down,False,89,76,91,Chop Suey,18
Sharissa,False,82,72,92,Any Other Night,13
Remy Shand,False,94,93,93,Take A Message,2
Mobb Deep Featuring 112,False,87,58,94,Hey Luv (Anything),15
Dixie Chicks,False,92,55,95,Some Days You Gotta Dance,16
Brian McKnight Featuring Jermaine Dupri,False,91,91,96,Tell Me What's It Gonna Be,3
Sean Paul,True,0,97,97,Gimme The Light,1
Petey Pablo,True,0,98,98,I Told Y'all,1
Cher,False,95,85,99,Song For The Lonely,5
Raphael Saadiq Featuring D'Angelo,False,99,99,100,Be Here,2
