artist,isNew,last,peak,rank,title,week
Roddy Ricch,False,1,1,1,The Box,7
Future Featuring Drake,False,2,2,2,Life Is Good,2
Eminem Featuring Juice WRLD,True,0,3,3,Godzilla,1
Post Malone,False,3,1,4,Circles,21
Maroon 5,False,4,2,5,Memories,18
Dan + Shay & Justin Bieber,False,7,4,6,"10,000 Hours",16
Tones And I,False,8,7,7,Dance Monkey,16
Lewis Capaldi,False,6,1,8,Someone You Loved,37
Arizona Zervas,False,9,4,9,Roxanne,12
Selena Gomez,False,5,1,10,Lose You To Love Me,14
Justin Bieber,False,10,2,11,Yummy,3
Lizzo,False,11,3,12,Good As Hell,22
DaBaby,False,12,11,13,BOP,17
Mustard & Roddy Ricch,False,13,11,14,Ballin',27
Dua Lipa,False,14,14,15,Don't Start Now,12
Jonas Brothers,True,0,16,16,What A Man Gotta Do,1
Travis Scott,False,15,1,17,HIGHEST IN THE ROOM,16
Mac Miller,False,17,17,18,Good News,2
The Weeknd,False,18,1,19,Heartless,9
Roddy Ricch Featuring Mustard,False,27,20,20,High Fashion,4
The Weeknd,False,32,11,21,Blinding Lights,8
Maren Morris,False,23,22,22,The Bones,18
Billie Eilish,False,22,8,23,Everything I Wanted,11
SHAED,False,20,13,24,Trampoline,34
Chris Brown Featuring Drake,False,19,5,25,No Guidance,33
Halsey,False,29,26,26,You Should Be Sad,2
blackbear,False,25,25,27,Hot Girl Bummer,19
Eminem,True,0,28,28,Darkness,1
Lil Baby,False,21,16,29,Woah,11
Shawn Mendes & Camila Cabello,False,24,1,30,Senorita,31
Eminem Featuring Ed Sheeran,True,0,31,31,Those Kinda Nights,1
Harry Styles,False,26,24,32,Adore You,7
Lil Baby,False,16,16,33,Sum 2 Prove,2
YNW Melly & Juice WRLD,False,39,34,34,Suicidal,9
Jonas Brothers,False,34,18,35,Only Human,31
Eminem Featuring Young M.A,True,0,36,36,Unaccommodating,1
Trevor Daniel,False,41,31,37,Falling,10
Mac Miller,True,0,38,38,Blue World,1
Lil Nas X,False,28,5,39,Panini,31
Camila Cabello Featuring DaBaby,False,44,40,40,My Oh My,7
Billie Eilish,False,40,1,41,Bad Guy,43
Young Thug Featuring Gunna,False,31,11,42,Hot,23
Lizzo,False,33,1,43,Truth Hurts,38
Ed Sheeran & Justin Bieber,False,38,2,44,I Don't Care,34
Luke Combs,False,37,11,45,Even Though I'm Leaving,21
Old Dominion,False,36,20,46,One Man Band,22
Juice WRLD & YoungBoy Never Broke Again,False,35,10,47,Bandit,16
Mac Miller,True,0,48,48,Circles,1
Jonas Brothers,False,42,1,49,Sucker,42
Doja Cat & Tyga,False,45,45,50,Juicy,13
Jon Pardi,False,47,47,51,Heartache Medication,17
"Eminem Featuring Royce da 5'9"" & White Gold",True,0,52,52,You Gon' Learn,1
Sam Hunt,False,51,51,53,Kinfolks,15
Halsey,False,58,34,54,Graveyard,19
Karol G & Nicki Minaj,False,69,55,55,Tusa,8
Ed Sheeran Featuring Camila Cabello & Cardi B,False,56,53,56,South Of The Border,7
BTS,True,0,57,57,Black Swan,1
Jhene Aiko,True,0,58,58,P*$$y Fairy (OTW),1
Lil Uzi Vert,False,43,5,59,Futsal Shuffle 2020,6
Dustin Lynch,False,52,47,60,Ridin' Roads,12
Eminem Featuring Skylar Grey,True,0,61,61,Leaving Heaven,1
Black Eyed Peas X J Balvin,False,67,62,62,RITMO (Bad Boys For Life),9
Mac Miller,True,0,63,63,Complicated,1
Mac Miller,True,0,64,64,Hand Me Downs,1
DaBaby Featuring Lil Baby & Moneybagg Yo,False,55,28,65,TOES,8
Kane Brown,False,60,60,66,Homesick,10
Eminem,True,0,67,67,Premonition (Intro),1
Mac Miller,True,0,68,68,I Can See,1
DaBaby,False,57,21,69,VIBEZ,17
H.E.R. Featuring YG,False,71,67,70,Slide,5
Eminem,True,0,71,71,In Too Deep,1
Rod Wave,False,61,54,72,Heart On Ice,11
Gabby Barrett Featuring Charlie Puth,False,64,64,73,I Hope,4
Roddy Ricch & Gunna,False,62,56,74,Start Wit Me,10
Mac Miller,True,0,75,75,Woods,1
Blake Shelton Duet With Gwen Stefani,False,0,76,76,Nobody But You,2
Don Toliver,False,63,43,77,No Idea,8
BrockHampton,False,66,66,78,SUGAR,3
Russ & BIA,False,68,68,79,BEST ON EARTH,7
Mac Miller,True,0,80,80,Everybody,1
Selena Gomez,False,30,30,81,Rare,2
MoneyBagg Yo Featuring Lil Baby,False,53,53,82,U Played,3
Eminem,True,0,83,83,Marsh,1
Eminem Featuring Don Toliver,True,0,84,84,No Regrets,1
JACKBOYS Featuring Young Thug,False,65,38,85,Out West,4
Ingrid Andress,False,76,76,86,More Hearts Than Mine,4
Riley Green,False,75,75,87,I Wish Grandpas Never Died,4
Jimmie Allen,False,74,74,88,Make Me Want To,4
Eminem Featuring Anderson .Paak,True,0,89,89,Lock It Up,1
Luke Bryan,False,73,73,90,What She Wants Tonight,5
Mac Miller,True,0,91,91,Surf,1
Doja Cat Featuring Nicki Minaj,False,77,77,92,Say So,3
Eminem,True,0,93,93,Stepdad,1
Post Malone Featuring Ozzy Osbourne & Travis Scott,False,70,8,94,Take What You Want,20
Jason Aldean,False,72,72,95,We Back,8
Kelsea Ballerini,False,93,82,96,homecoming queen?,7
Carly Pearce & Lee Brice,False,87,87,97,I Hope You're Happy Now,3
YoungBoy Never Broke Again,False,79,57,98,Make No Sense,11
DaniLeigh Featuring Chris Brown,False,81,79,99,Easy,12
Mac Miller,True,0,100,100,That's On Me,1
