artist,isNew,last,peak,rank,title,week
Katy Perry Featuring Juicy J,False,1,1,1,Dark Horse,22
Pharrell Williams,False,2,2,2,Happy,7
Jason Derulo Featuring 2 Chainz,False,3,3,3,Talk Dirty,9
A Great Big World & Christina Aguilera,False,4,4,4,Say Something,15
Beyonce Featuring Jay Z,False,8,2,5,Drunk In Love,9
OneRepublic,False,7,2,6,Counting Stars,35
Pitbull Featuring Ke$ha,False,6,1,7,Timber,19
Bastille,False,10,8,8,Pompeii,27
Lorde,False,9,8,9,Team,21
Passenger,False,5,5,10,Let Her Go,29
John Legend,False,15,11,11,All Of Me,19
One Direction,False,13,6,12,Story Of My Life,16
Eminem Featuring Rihanna,False,11,1,13,The Monster,16
Lorde,False,12,1,14,Royals,33
Ellie Goulding,False,14,13,15,Burn,24
Aloe Blacc,False,17,16,16,The Man,8
Kid Ink Featuring Chris Brown,False,20,17,17,Show Me,15
Idina Menzel,False,18,18,18,Let It Go,12
Imagine Dragons,False,16,6,19,Demons,43
Avicii,False,19,4,20,Wake Me Up!,34
Miley Cyrus,False,24,21,21,Adore You,10
Shakira Featuring Rihanna,False,21,15,22,Can't Remember To Forget You,5
Katy Perry,False,22,1,23,Roar,28
YG Featuring Jeezy & Rich Homie Quan,False,25,19,24,My Hitta,20
American Authors,False,26,25,25,Best Day Of My Life,14
Imagine Dragons,False,23,3,26,Radioactive,77
Avicii,False,30,27,27,Hey Brother,11
Cole Swindell,False,38,28,28,Chillin' It,18
Miley Cyrus,False,27,1,29,Wrecking Ball,26
John Newman,False,31,30,30,Love Me Again,13
Luke Bryan,False,32,31,31,Drink A Beer,15
DJ Snake & Lil Jon,False,37,32,32,Turn Down For What,8
Sara Bareilles,False,28,23,33,Brave,36
Drake Featuring Majid Jordan,False,29,4,34,"Hold On, We're Going Home",28
Bruno Mars,False,33,33,35,Young Girls,7
Demi Lovato,False,46,36,36,Neon Lights,8
Martin Garrix,False,45,37,37,Animals,22
Ty Dolla $ign Featuring B.o.B,False,42,38,38,Paranoid,9
The Neighbourhood,False,34,14,39,Sweater Weather,36
AWOLNATION,False,41,17,40,Sail,76
Jason Aldean,False,40,40,41,When She Says Baby,12
Brantley Gilbert,False,48,42,42,Bottoms Up,9
Robin Thicke Featuring T.I. + Pharrell,False,39,1,43,Blurred Lines,44
Eric Church,False,52,44,44,Give Me Back My Hometown,6
David Nail,False,35,35,45,Whatever She's Got,20
Capital Cities,False,43,8,46,Safe And Sound,42
Zedd Featuring Hayley Williams,False,36,18,47,Stay The Night,22
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",False,47,11,48,23,22
Blake Shelton,False,55,49,49,Doin' What She Likes,5
Lady Antebellum,False,53,50,50,Compass,15
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,False,44,15,51,White Walls,22
Sevyn Streeter Featuring Chris Brown,False,51,30,52,It Won't Stop,20
Frankie Ballard,False,61,53,53,Helluva Life,11
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,False,63,54,54,Loyal,5
Demi Lovato,False,56,38,55,Let It Go,12
"Kristen Bell, Agatha Lee Monn & Katie Lopez",False,57,55,56,Do You Want To Build A Snowman?,8
Scotty McCreery,False,62,57,57,See You Tonight,12
Dierks Bentley,False,59,58,58,I Hold On,9
Eminem,False,58,7,59,Rap God,18
Keith Urban,False,73,60,60,Cop Car,3
Jerrod Niemann,False,70,61,61,Drink To That All Night,7
Tegan And Sara Featuring The Lonely Island,True,0,62,62,Everything Is AWESOME!!!,1
Miranda Lambert,True,0,63,63,Automatic,1
Cash Cash Featuring Bebe Rexha,False,67,64,64,Take Me Home,5
T-Pain Featuring B.o.B,False,66,65,65,Up Down (Do This All Day),13
Eric Paslay,False,49,47,66,Friday Night,18
Rascal Flatts,False,79,58,67,Rewind,5
Lady Gaga Featuring R. Kelly,False,50,13,68,Do What U Want,17
Trey Songz,False,80,69,69,Na Na,4
The Fray,False,60,60,70,Love Don't Die,7
Dan + Shay,False,72,71,71,19 You + Me,7
Drake,False,71,51,72,The Language,17
Katy Perry,False,68,14,73,Unconditionally,17
Thomas Rhett,False,75,74,74,Get Me Some Of That,6
Young Thug,True,0,75,75,Stoner,1
Florida Georgia Line,False,64,28,76,Stay,18
Randy Houser,False,74,74,77,Goodnight Kiss,6
Kristen Bell & Idina Menzel,False,69,57,78,For The First Time In Forever,8
Arctic Monkeys,False,76,76,79,Do I Wanna Know?,11
Buck 22 Featuring Billy Ray Cyrus,True,0,80,80,Achy Breaky 2,1
Daughtry,False,78,66,81,Waiting For Superman,14
Thompson Square,False,77,77,82,Everything I Shouldn't Be Thinking About,5
Beyonce,False,65,45,83,XO,9
Christina Perri,False,90,84,84,Human,2
SoMo,False,82,80,85,Ride,6
Florida Georgia Line Ft. Jason Derulo & Luke Bryan,False,0,75,86,This Is How We Roll,2
Jhene Aiko,False,87,87,87,The Worst,2
Mariah Carey,True,0,88,88,You're Mine (Eternal),1
Rico Love,False,85,85,89,They Don't Know,4
The 1975,False,91,90,90,Chocolate,3
Romeo Santos Featuring Drake,False,83,45,91,Odio,3
Danielle Bradbery,False,81,58,92,The Heart Of Dixie,11
Calvin Harris Featuring Ayah Marar,False,86,86,93,Thinking About You,5
Imagine Dragons,False,93,93,94,On Top Of The World,3
Beyonce,False,88,70,95,Partition,6
MKTO,True,0,96,96,Classic,1
Brett Eldredge,False,97,97,97,Beat Of The Music,2
Hillsong UNITED,False,94,94,98,Oceans (Where Feet May Fail),4
Drake,False,95,89,99,Worst Behavior,10
Ellie Goulding,True,0,100,100,Explosions,1
