artist,isNew,last,peak,rank,title,week
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,False,1,1,1,Despacito,22
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",False,3,1,2,I'm The One,7
Bruno Mars,False,2,1,3,That's What I Like,22
Ed Sheeran,False,4,1,4,Shape Of You,23
Kendrick Lamar,False,5,1,5,Humble.,11
Future,False,6,5,6,Mask Off,17
The Chainsmokers & Coldplay,False,8,3,7,Something Just Like This,17
Zedd & Alessia Cara,False,9,7,8,Stay,16
Post Malone Featuring Quavo,False,10,9,9,Congratulations,25
Lil Uzi Vert,False,7,7,10,XO TOUR Llif3,12
Sam Hunt,False,14,6,11,Body Like A Back Road,20
James Arthur,False,11,11,12,Say You Won't Let Go,34
Julia Michaels,False,12,11,13,Issues,21
Childish Gambino,False,16,14,14,Redbone,28
Imagine Dragons,False,13,13,15,Believer,19
David Guetta Featuring Justin Bieber,True,0,16,16,2U,1
Kygo x Selena Gomez,False,15,10,17,It Ain't Me,18
French Montana Featuring Swae Lee,False,17,17,18,Unforgettable,10
Shawn Mendes,False,18,18,19,There's Nothing Holdin' Me Back,8
Halsey,False,21,20,20,Now Or Never,10
Ed Sheeran,False,23,6,21,Castle On The Hill,23
KYLE Featuring Lil Yachty,False,19,4,22,iSpy,25
Selena Gomez,False,45,23,23,Bad Liar,5
Niall Horan,False,28,24,24,Slow Hands,7
Miley Cyrus,False,26,10,25,Malibu,6
Ayo & Teo,False,24,20,26,Rolex,18
Charlie Puth,False,31,27,27,Attention,8
Khalid,False,22,16,28,Location,23
Harry Styles,False,25,4,29,Sign Of The Times,10
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,False,29,29,30,Swalla,13
Brett Young,False,20,19,31,In Case You Didn't Know,19
Kendrick Lamar,False,27,4,32,DNA.,9
Playboi Carti,False,40,33,33,Magnolia,7
The Chainsmokers Featuring Halsey,False,32,1,34,Closer,46
Migos Featuring Lil Uzi Vert,False,30,1,35,Bad And Boujee,31
Migos Featuring Gucci Mane,False,43,36,36,Slippery,12
YFN Lucci Featuring PnB Rock,False,62,37,37,Everyday We Lit,10
Travis Scott,False,36,32,38,Goosebumps,31
Bruno Mars,False,41,4,39,24K Magic,36
Kodak Black,False,38,6,40,Tunnel Vision,17
Migos,False,39,19,41,T-Shirt,22
A Boogie Wit da Hoodie Featuring Kodak Black,False,44,41,42,Drowning,11
Luke Combs,False,37,31,43,Hurricane,18
Liam Payne Featuring Quavo,False,51,42,44,Strip That Down,4
Drake,False,34,8,45,Passionfruit,13
Calvin Harris Featuring Frank Ocean & Migos,False,35,25,46,Slide,16
Keith Urban Featuring Carrie Underwood,False,48,38,47,The Fighter,19
Lady Gaga,False,46,39,48,The Cure,9
Alessia Cara,False,47,8,49,Scars To Your Beautiful,42
Rae Sremmurd,False,33,26,50,Swang,26
Florida Georgia Line Featuring Backstreet Boys,False,50,50,51,"God, Your Mama, And Me",12
Thomas Rhett Featuring Maren Morris,False,52,52,52,Craving You,11
DJ Khaled Featuring Drake,False,53,53,53,To The Max,2
XXXTENTACION,False,55,34,54,Look At Me!,19
Camila Cabello,False,56,47,55,Crying In The Club,4
Tee Grizzley,False,59,56,56,First Day Out,11
Dan + Shay,False,60,57,57,How Not To,11
Kendrick Lamar Featuring Zacari,False,57,18,58,Love.,9
Lady Antebellum,False,66,59,59,You Look Good,10
Dylan Scott,False,61,60,60,My Girl,8
Blake Shelton,False,63,61,61,Every Time I Hear That Song,6
Katy Perry Featuring Nicki Minaj,False,83,46,62,Swish Swish,4
Darius Rucker,False,54,53,63,If I Told You,9
Maroon 5 Featuring Future,False,58,16,64,Cold,18
Maluma,False,70,65,65,Felices Los 4,5
Drake Featuring Quavo & Travis Scott,False,64,9,66,Portland,13
Midland,False,69,67,67,Drinkin' Problem,6
Logic Featuring Alessia Cara & Khalid,False,65,47,68,1-800-273-8255,7
Chris Brown,False,68,66,69,Privacy,7
SZA Featuring Travis Scott,True,0,70,70,Love Galore,1
Fifth Harmony Featuring Gucci Mane,False,42,42,71,Down,2
Cole Swindell,False,72,72,72,Flatliner,8
AJR,False,79,73,73,Weak,6
Kendrick Lamar Featuring Rihanna,False,74,14,74,Loyalty.,9
Rascal Flatts,False,76,75,75,Yours If You Want It,4
Dustin Lynch,False,85,76,76,Small Town Boy,2
Cheat Codes Featuring Demi Lovato,False,77,74,77,No Promises,5
Old Dominion,False,78,78,78,No Such Thing As A Broken Heart,3
Billy Currington,True,0,79,79,Do I Make You Wanna,1
Russ,False,75,62,80,Losin Control,16
Travis Scott,False,93,81,81,Butterfly Effect,3
Playboi Carti Featuring Lil Uzi Vert,False,80,76,82,Wokeuplikethis*,7
Linkin Park Featuring Kiiara,False,67,50,83,Heavy,17
2 Chainz Featuring Travis Scott,False,73,73,84,4 AM,2
Katy Perry Featuring Migos,False,98,59,85,Bon Appetit,6
Dierks Bentley,False,71,56,86,Black,19
Imagine Dragons,False,81,70,87,Thunder,7
Hailee Steinfeld,False,86,75,88,Most Girls,4
Wisin Featuring Ozuna,True,0,89,89,Escapate Conmigo,1
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",False,96,81,90,Subeme La Radio,5
Justin Moore,False,97,91,91,Somebody Else Will,2
Trey Songz,False,99,92,92,Nobody Else But You,2
Kane Brown Featuring Lauren Alaina,True,0,93,93,What Ifs,1
2 Chainz x Gucci Mane x Quavo,False,84,82,94,Good Drank,14
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",True,0,95,95,It's A Vibe,1
Josh Turner,False,90,56,96,Hometown Girl,16
The Weeknd,False,0,31,97,Reminder,6
Drake,False,91,29,98,Gyalchester,11
"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",False,87,87,99,Know No Better,2
Brothers Osborne,True,0,100,100,It Ain't My Fault,1
