artist,isNew,last,peak,rank,title,week
Lil Wayne Featuring Static Major,False,2,1,1,Lollipop,6
Leona Lewis,False,1,1,2,Bleeding Love,10
Jordin Sparks Duet With Chris Brown,False,3,3,3,No Air,16
Usher Featuring Young Jeezy,False,4,1,4,Love In This Club,10
Mariah Carey,False,5,1,5,Touch My Body,10
Madonna Featuring Justin Timberlake & Timbaland,False,7,3,6,4 Minutes,5
Ray J & Yung Berg,False,6,3,7,Sexy Can I,12
Sara Bareilles,False,9,4,8,Love Song,25
Chris Brown,False,8,2,9,With You,21
Miley Cyrus,False,11,10,10,See You Again,20
Flo Rida Featuring T-Pain,False,10,1,11,Low,26
John Mayer,False,35,12,12,Say,15
Rihanna,False,12,3,13,Don't Stop The Music,22
Danity Kane,False,20,14,14,Damaged,6
OneRepublic,False,13,12,15,Stop And Stare,19
Natasha Bedingfield,False,25,16,16,Pocketful Of Sunshine,10
Rick Ross Featuring T-Pain,False,21,17,17,The Boss,10
Timbaland Featuring OneRepublic,False,14,2,18,Apologize,38
Webbie Featuring Lil' Phat & Lil' Boosie,False,17,9,19,Independent,22
Buckcherry,False,19,9,20,Sorry,20
Alicia Keys,False,15,1,21,No One,33
Lupe Fiasco Featuring Matthew Santos,False,16,10,22,Superstar,19
Mariah Carey,True,0,23,23,Bye Bye,1
Trace Adkins,False,22,12,24,You're Gonna Miss This,12
Flo Rida Featuring Timbaland,False,23,16,25,Elevator,10
Daughtry,False,24,24,26,Feels Like Tonight,13
2 Pistols Featuring T-Pain & Tay Dizm,False,26,24,27,She Got It,10
Taylor Swift,False,28,16,28,Our Song,30
Taylor Swift,False,36,29,29,Picture To Burn,10
James Otto,False,30,30,30,Just Got Started Lovin' You,9
Colby O'Donis Featuring Akon,False,33,31,31,What You Got,8
Plies Featuring Ne-Yo,False,38,32,32,Bust It Baby Part 2,4
George Strait,False,34,33,33,I Saw God Today,9
Colbie Caillat,False,42,34,34,Realize,11
Lifehouse,False,39,35,35,Whatever It Takes,14
Colbie Caillat,False,37,5,36,Bubbly,43
Finger Eleven,False,31,6,37,Paralyzer,46
Taylor Swift,False,29,13,38,Teardrops On My Guitar,46
Cherish Featuring Yung Joc,False,40,39,39,Killa,11
Nelly Featuring Fergie,False,81,40,40,Party People,4
Brad Paisley,False,54,41,41,I'm Still A Guy,6
Jordin Sparks,False,32,8,42,Tattoo,30
Daughtry,False,18,18,43,What About Now,2
Ashanti,False,53,44,44,The Way That I Love You,7
Alicia Keys,False,41,12,45,Like You'll Never See Me Again,24
Britney Spears,False,46,46,46,Break The Ice,8
Sean Kingston,False,44,7,47,Take You There,25
3 Doors Down,False,61,48,48,It's Not My Time,9
J. Holiday,False,48,18,49,Suffocate,24
Keyshia Cole,False,49,24,50,I Remember,19
Carrie Underwood,False,55,27,51,All-American Girl,16
The-Dream,False,50,30,52,Falsetto,15
Jonas Brothers,False,45,25,53,When You Look Me In The Eyes,13
Lil Mama Featuring Chris Brown & T-Pain,False,52,10,54,Shawty Get Loose,9
Metro Station,False,74,55,55,Shake It,3
Gavin DeGraw,False,67,56,56,In Love With A Girl,7
Chris Cagle,False,56,54,57,What Kinda Gone,14
Lady Antebellum,False,78,58,58,Love Don't Live Here,8
Panic! At The Disco,False,51,51,59,Nine In The Afternoon,12
Maroon 5,False,65,48,60,Won't Go Home Without You,19
Rascal Flatts,False,68,61,61,Every Day,6
Shawty Lo,False,57,31,62,Dey Know,15
Phil Vassar,False,69,63,63,Love Is A Beautiful Thing,9
Flyleaf,False,70,64,64,All Around Me,7
Carrie Underwood,False,75,65,65,Last Name,3
Yael Naim,False,60,7,66,New Soul,12
Alan Jackson,False,66,42,67,Small Town Southern Man,16
Pitbull Featuring Lil Jon,False,64,36,68,The Anthem,16
Ferras,False,77,69,69,Hollywood's Not America,5
Puddle Of Mudd,False,72,69,70,Psycho,12
Jason Aldean,False,63,61,71,Laughed Until We Cried,14
Kenny Chesney,False,87,72,72,Better As A Memory,2
Disturbed,False,79,73,73,Inside The Fire,4
Rocko,False,76,66,74,Umma Do Me,11
Soulja Boy Tell'em Featuring Arab,False,73,48,75,YAHHH!,12
Fat Joe Featuring J. Holiday,False,71,37,76,I Won't Tell,15
Flobots,False,100,77,77,Handlebars,2
Raheem DeVaughn,False,85,78,78,Customer,3
Rihanna,False,97,79,79,Take A Bow,2
Fall Out Boy Featuring John Mayer,False,58,19,80,Beat It,4
Toby Keith,False,92,81,81,She's A Hottie,3
Jaheim,False,83,76,82,Never,17
Blake Shelton,False,91,83,83,Home,2
Montgomery Gentry,False,90,84,84,Back When I Knew It All,3
Dierks Bentley,False,89,85,85,Trying To Stop Your Leaving,3
Trey Songz,False,93,86,86,Last Time,3
Jewel,False,84,84,87,Stronger Woman,6
C-Side Featuring Keyshia Cole,False,95,88,88,Boyfriend/Girlfriend,3
Janet,False,82,19,89,Feedback,17
Flex,False,96,90,90,Te Quiero,6
Kenny Chesney Duet With George Strait,False,86,47,91,Shiftwork,16
Mariah Carey Featuring T-Pain,True,0,92,92,Migrate,1
Jason Mraz,True,0,93,93,I'm Yours,1
Carrie Underwood,False,27,27,94,Praying For Time,2
Ne-Yo,True,0,95,95,Closer,1
Josh Gracin,False,88,82,96,We Weren't Crazy,3
Seether,True,0,97,97,Rise Above This,1
Estelle Featuring Kanye West,True,0,98,98,American Boy,1
Chris Brown,True,0,99,99,Take You Down,1
Death Cab For Cutie,False,0,89,100,I Will Possess Your Heart,2
