artist,isNew,last,peak,rank,title,week
Rihanna Featuring Drake,False,1,1,1,Work,8
Justin Bieber,False,2,1,2,Love Yourself,18
Lukas Graham,False,5,3,3,7 Years,9
twenty one pilots,False,3,2,4,Stressed Out,26
Flo Rida,False,4,4,5,My House,19
Zayn,False,6,1,6,Pillowtalk,7
G-Eazy x Bebe Rexha,False,7,7,7,"Me, Myself & I",20
Justin Bieber,False,8,1,8,Sorry,21
DNCE,False,9,9,9,Cake By The Ocean,22
Ariana Grande,True,0,10,10,Dangerous Woman,1
Mike Posner,False,10,10,11,I Took A Pill In Ibiza,9
Meghan Trainor,False,11,11,12,No,2
Fifth Harmony Featuring Ty Dolla $ign,False,16,12,13,Work From Home,3
Charlie Puth,False,15,12,14,One Call Away,16
Selena Gomez,False,13,7,15,Hands To Myself,15
Adele,False,12,1,16,Hello,21
The Chainsmokers Featuring Rozes,False,14,6,17,Roses,22
Kevin Gates,False,21,18,18,2 Phones,11
Zara Larsson & MNEK,False,22,19,19,Never Forget You,5
Shawn Mendes,False,17,4,20,Stitches,43
Bryson Tiller,False,19,13,21,Don't,25
Yo Gotti Featuring Nicki Minaj,False,18,13,22,Down In The DM,16
Troye Sivan,False,58,23,23,Youth,7
Drake & Future,False,23,12,24,Jumpman,26
The Weeknd,False,24,1,25,The Hills,43
DJ Snake Featuring Bipolar Sunshine,False,31,26,26,Middle,9
Jeremih,False,33,27,27,Oui,11
Drake,False,27,2,28,Hotline Bling,33
Chris Brown,False,25,20,29,Back To Sleep,14
Bryson Tiller,False,26,26,30,Exchange,21
Drake,False,29,6,31,Summer Sixteen,7
Cole Swindell,False,38,32,32,You Should Be Here,14
Desiigner,False,72,33,33,Panda,4
Adele,False,28,14,34,When We Were Young,17
Future Featuring The Weeknd,False,43,35,35,Low Life,6
Justin Bieber,False,34,1,36,What Do You Mean?,29
Tory Lanez,False,30,23,37,Say It,22
James Bay,False,50,35,38,Let It Go,13
Alessia Cara,False,32,5,39,Here,33
Fetty Wap Featuring Remy Boyz,False,39,4,40,679,38
Daya,False,37,23,41,Hide Away,26
Blake Shelton,False,54,42,42,Came Here To Forget,2
Thomas Rhett,False,41,21,43,Die A Happy Man,26
Brett Eldredge,False,49,44,44,Drunk On Your Love,10
Selena Gomez,False,35,5,45,Same Old Love,27
Meghan Trainor Featuring John Legend,False,42,8,46,Like I'm Gonna Lose You,37
The Weeknd,False,36,12,47,In The Night,19
Elle King,False,40,10,48,Ex's & Oh's,37
Post Malone,False,46,14,49,White Iverson,28
The Weeknd,False,45,1,50,Can't Feel My Face,41
Robin Schulz Featuring Francesco Yates,False,44,44,51,Sugar,11
Zac Brown Band,False,55,52,52,Beautiful Drug,17
Maren Morris,False,51,51,53,My Church,8
The Chainsmokers Featuring Daya,False,63,54,54,Don't Let Me Down,5
Zayn,True,0,55,55,Like I Would,1
Carrie Underwood,False,48,42,56,Heartbeat,11
Young Thug,False,56,45,57,Best Friend,17
Tim McGraw,False,57,57,58,Humble And Kind,6
Dierks Bentley,False,61,59,59,Somewhere On A Beach,7
Florida Georgia Line,False,60,60,60,Confession,12
Rachel Platten,False,47,37,61,Stand By You,18
Kevin Gates,False,59,59,62,Really Really,13
Shakira,False,66,63,63,Try Everything,2
Old Dominion,False,62,62,64,Snapback,8
Coldplay,False,53,13,65,Adventure Of A Lifetime,19
Alessia Cara,False,69,66,66,Wild Things,4
Rascal Flatts,False,67,67,67,I Like The Sound Of That,8
Chris Young Duet With Cassadee Pope,False,64,64,68,Think Of You,5
Taylor Swift,False,73,69,69,New Romantics,3
Kelly Clarkson,False,20,8,70,Piece By Piece,3
Rihanna,False,68,64,71,Needed Me,7
Ellie Goulding,False,52,43,72,Something In The Way You Move,8
Disturbed,False,76,73,73,The Sound Of Silence,4
O.T. Genasis Featuring Young Dolph,False,80,74,74,Cut It,4
Kid Ink Featuring Fetty Wap,False,85,75,75,Promise,5
The Weeknd,False,77,60,76,Acquainted,12
Justin Bieber,False,89,53,77,Company,6
Fetty Wap,False,74,65,78,Jimmy Choo,6
Ruth B,False,87,75,79,Lost Boy,4
Thomas Rhett,False,84,80,80,T-Shirt,3
Chris Stapleton,False,78,70,81,Nobody To Blame,11
Shawn Mendes & Camila Cabello,False,71,20,82,I Know What You Did Last Summer,18
Belly Featuring The Weeknd,False,94,83,83,Might Not,4
DJ Luke Nasty,False,82,78,84,Might Be,5
Luke Bryan Featuring Karen Fairchild,False,70,38,85,Home Alone Tonight,17
Dustin Lynch,False,88,84,86,Mind Reader,4
Sia Featuring Sean Paul,False,92,81,87,Cheap Thrills,5
Chase Bryant,False,86,82,88,Little Bit Of You,6
Granger Smith,False,65,49,89,Backroad Song,15
Ty Dolla $ign Featuring E-40,False,95,90,90,Saved,4
Randy Houser,False,75,60,91,We Went,13
Lee Brice,False,93,88,92,That Don't Sound Like You,5
Zendaya Featuring Chris Brown,False,96,93,93,Something New,2
Jon Pardi,False,98,94,94,Head Over Boots,3
Bryson Tiller,False,99,67,95,Sorry Not Sorry,14
twenty one pilots,True,0,96,96,Ride,1
Gwen Stefani,False,0,54,97,Make Me Like You,3
Major Lazer Featuring Nyla & Fuse ODG,True,0,98,98,Light It Up,1
Keith Urban,False,81,54,99,Break On Me.,12
Jonas Blue Featuring Dakota,True,0,100,100,Fast Car,1
