artist,isNew,last,peak,rank,title,week
Drake,False,1,1,1,In My Feelings,4
"Cardi B, Bad Bunny & J Balvin",False,2,1,2,I Like It,16
Maroon 5 Featuring Cardi B,False,3,3,3,Girls Like You,9
6ix9ine Featuring Nicki Minaj & Murda Beatz,True,0,4,4,FEFE,1
Post Malone,False,7,5,5,Better Now,13
Drake,False,4,1,6,Nice For What,16
Ella Mai,False,5,5,7,Boo'd Up,17
Juice WRLD,False,6,3,8,Lucid Dreams,11
Post Malone Featuring Ty Dolla $ign,False,9,1,9,Psycho,22
Tyga Featuring Offset,False,13,10,10,Taste,9
Ariana Grande,False,8,3,11,No Tears Left To Cry,14
Taylor Swift,False,12,12,12,Delicate,20
Drake,False,10,1,13,God's Plan,27
Lil Baby & Drake,False,16,6,14,Yes Indeed,11
"Zedd, Maren Morris & Grey",False,14,5,15,The Middle,26
Marshmello & Anne-Marie,False,18,11,16,Friends,24
Ed Sheeran,False,19,1,17,Perfect,48
Khalid & Normani,False,21,18,18,Love Lies,23
XXXTENTACION,False,15,1,19,Sad!,21
Bebe Rexha & Florida Georgia Line,False,17,2,20,Meant To Be,40
Ariana Grande,False,11,11,21,God Is A Woman,2
Bazzi,False,22,11,22,Mine,27
Shawn Mendes,False,23,11,23,In My Blood,19
Dan + Shay,False,25,21,24,Tequila,20
5 Seconds Of Summer,False,32,25,25,Youngblood,8
Selena Gomez,False,27,22,26,Back To You,11
Calvin Harris & Dua Lipa,False,26,26,27,One Kiss,16
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",False,39,28,28,Big Bank,8
Drake,False,20,2,29,Nonstop,4
The Carters,False,28,13,30,Apes**t,6
Lauv,False,29,29,31,I Like Me Better,24
Camila Cabello,False,30,6,32,Never Be The Same,32
Brett Young,False,38,33,33,Mercy,12
Imagine Dragons,False,34,12,34,Whatever It Takes,26
Kenny Chesney,False,31,31,35,Get Along,16
Florida Georgia Line,False,36,36,36,Simple,8
Imagine Dragons,True,0,37,37,Natural,1
Drake,False,24,7,38,I'm Upset,9
XXXTENTACION,False,37,13,39,Moonlight,15
BlocBoy JB Featuring Drake,False,35,5,40,Look Alive,24
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",False,42,36,41,Te Bote,14
Jason Aldean Featuring Miranda Lambert,False,48,42,42,Drowns The Whiskey,6
Jake Owen,False,45,43,43,I Was Jack (You Were Diane),9
Foster The People,False,46,42,44,Sit Next To Me,19
Childish Gambino,False,40,1,45,This Is America,12
