artist,isNew,last,peak,rank,title,week
"Shaggy Feat. Ricardo ""RikRok"" Ducent",False,2,1,1,It Wasn't Me,14
Destiny's Child,False,1,1,2,Independent Women Part I,20
OutKast,False,7,3,3,Ms. Jackson,13
Madonna,False,16,4,4,Don't Tell Me,9
Jennifer Lopez,False,4,4,5,Love Don't Cost A Thing,9
Lenny Kravitz,False,6,6,6,Again,12
Dream,False,3,2,7,He Loves U Not,19
matchbox twenty,False,5,5,8,If You're Gone,16
Joe Featuring Mystikal,False,13,9,9,Stutter,5
Faith Hill,False,10,6,10,The Way You Love Me,40
Mya,False,8,2,11,Case Of The Ex (Whatcha Gonna Do),25
Creed,False,9,1,12,With Arms Wide Open,39
Ja Rule Featuring Lil' Mo & Vita,False,17,13,13,Put It On Me,7
Britney Spears,False,11,11,14,Stronger,10
JAY-Z,False,15,11,15,I Just Wanna Love U (Give It 2 Me),15
3 Doors Down,False,14,3,16,Kryptonite,44
Mystikal Featuring Nivea,False,19,17,17,Danger (Been So Long),8
Evan And Jaron,False,18,18,18,Crazy For This Girl,14
Shaggy Featuring Rayvon,False,24,19,19,Angel,6
'N Sync,False,12,5,20,This I Promise You,19
U2,False,21,21,21,Beautiful Day,18
Lee Ann Womack,False,28,22,22,I Hope You Dance,22
K-Ci & JoJo,False,23,23,23,Crazy,9
O-Town,False,27,10,24,Liquid Dreams,7
R. Kelly,False,20,14,25,I Wish,19
Jagged Edge,False,33,26,26,Promise,7
Crazy Town,False,45,27,27,Butterfly,5
Nelly,False,22,15,28,E.I.,18
3LW,False,32,29,29,No More (Baby I'ma Do Right),14
Fuel,False,30,30,30,Hemorrhage (In My Hands),15
Moby Featuring Gwen Stefani,False,36,31,31,South Side,10
Ludacris Featuring Shawnna,False,34,21,32,What's Your Fantasy,19
Debelah Morgan,False,25,8,33,Dance With Me,28
Ricky Martin Duet With Christina Aguilera,False,66,34,34,Nobody Wants To Be Lonely,2
98 Degrees,False,40,35,35,My Everything,9
Samantha Mumba,False,29,4,36,Gotta Tell You,22
Aerosmith,False,58,37,37,Jaded,2
Avant Featuring KeKe Wyatt,False,38,26,38,My First Love,14
P!nk,False,26,4,39,Most Girls,26
Tim McGraw,False,39,27,40,My Next Thirty Years,16
P!nk,False,49,41,41,You Make Me Sick,5
Lonestar,False,43,42,42,Tell Her,12
Dixie Chicks,False,37,31,43,Without You,18
Dido,False,57,44,44,Thank You,4
Dave Hollister,False,50,45,45,One Woman Man,9
Jamie O'Neal,False,48,46,46,There Is No Arizona,7
Lee Ann Womack,False,47,47,47,Ashes By Now,9
Musiq,False,41,31,48,Just Friends (Sunny),17
112,False,56,49,49,It's Over Now,9
Toby Keith,False,54,50,50,You Shouldn't Kiss Me Like This,6
Jo Dee Messina,False,51,51,51,Burn,10
Backstreet Boys,False,31,9,52,Shape Of My Heart,17
Sara Evans,False,42,34,53,Born To Fly,16
Keith Urban,False,55,54,54,But For The Grace Of God,7
Lil Bow Wow,False,35,29,55,Bow Wow (That's My Name),11
Ludacris,False,68,56,56,Southern Hospitality,3
Jaheim,False,73,57,57,Could It Be,8
BBMak,False,61,54,58,Still On Your Side,6
David Gray,False,59,59,59,Babylon,10
Carl Thomas,False,52,47,60,Emotional,11
Tamia,False,63,61,61,Stranger In My House,4
Mikaila,False,46,25,62,So In Love With Two,11
Garth Brooks,False,65,63,63,Wild Horses,7
Cash Money Millionaires,False,62,47,64,Project Chick,8
Rascal Flatts,False,67,65,65,This Everyday Love,7
Diamond Rio,False,74,66,66,One More Day,3
Jessica Andrews,False,79,67,67,Who I Am,2
Memphis Bleek Featuring Jay-Z & Missy Elliott,False,71,68,68,Is That Your Chick,8
Aaron Lewis Of Staind With Fred Durst,False,82,69,69,Outside,2
Kenny Chesney,False,60,34,70,I Lost It,16
Dave Matthews Band,False,76,71,71,I Did It,2
Brad Paisley,False,64,29,72,We Danced,17
Koffee Brown,False,84,73,73,After Party,4
Phil Vassar,False,70,35,74,Just Another Day In Paradise,19
Mya,True,0,75,75,Free,1
3 Doors Down,False,72,55,76,Loser,16
Snoop Dogg,True,0,77,77,Snoop Dogg,1
The Corrs,False,81,78,78,Breathless,2
Darryl Worley,False,83,76,79,A Good Day To Run,3
Faith Hill,True,0,80,80,If My Heart Had Wings,1
Xzibit,False,78,76,81,X,6
Public Announcement,False,69,39,82,Mamacita,7
Mr. C The Slide Man,False,87,83,83,Cha-Cha Slide,5
Sade,False,75,75,84,By Your Side,3
Wyclef Jean Featuring Mary J. Blige,False,80,38,85,911,18
Limp Bizkit,False,86,65,86,Rollin',13
Modjo,False,89,87,87,Lady (Hear Me Tonight),5
Mos Def & Pharoahe Monch Featuring Nate Dogg,False,91,83,88,Oh No,7
Alan Jackson,False,77,45,89,www.memory,14
Bilal,False,97,90,90,Soul Sista,2
The Clark Family Experience,False,85,80,91,Meanwhile Back At The Ranch,12
Kelly Price,False,93,64,92,You Should've Told Me,20
Eminem Featuring Dido,False,88,51,93,Stan,14
Billy Gilman,False,94,63,94,Oklahoma,13
Trick Pony,True,0,95,95,Pour Me,1
Lil' Kim Featuring Sisqo,False,96,75,96,How Many Licks?,9
Baha Men With Imani Coppola,True,0,97,97,You All Dat,1
Carolyn Dawn Johnson,False,98,98,98,Georgia,2
"Jay-Z, Beanie Sigel And Memphis Bleek",True,0,99,99,Change The Game,1
Ricky Martin,False,92,12,100,She Bangs,18
