artist,isNew,last,peak,rank,title,week
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,False,1,1,1,Despacito,31
DJ Khaled Featuring Rihanna & Bryson Tiller,False,2,2,2,Wild Thoughts,9
Cardi B,False,8,3,3,Bodak Yellow (Money Moves),7
French Montana Featuring Swae Lee,False,3,3,4,Unforgettable,19
Imagine Dragons,False,4,4,5,Believer,28
Charlie Puth,False,5,5,6,Attention,17
Shawn Mendes,False,6,6,7,There's Nothing Holdin' Me Back,17
Bruno Mars,False,7,1,8,That's What I Like,31
Ed Sheeran,False,9,1,9,Shape Of You,32
Sam Hunt,False,11,6,10,Body Like A Back Road,29
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",False,10,1,11,I'm The One,16
21 Savage,False,12,12,12,Bank Account,6
Liam Payne Featuring Quavo,False,15,13,13,Strip That Down,13
Post Malone Featuring Quavo,False,14,8,14,Congratulations,34
Niall Horan,False,17,15,15,Slow Hands,16
Childish Gambino,False,13,12,16,Redbone,37
Kendrick Lamar,False,16,1,17,Humble.,20
Lil Uzi Vert,False,18,7,18,XO TOUR Llif3,21
The Chainsmokers & Coldplay,False,19,3,19,Something Just Like This,26
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",False,21,20,20,Feels,9
J Balvin & Willy William Featuring Beyonce,False,23,21,21,Mi Gente,7
Kesha,False,24,22,22,Praying,6
Zedd & Alessia Cara,False,20,7,23,Stay,25
Yo Gotti Featuring Nicki Minaj,False,22,22,24,Rake It Up,7
Demi Lovato,False,28,23,25,Sorry Not Sorry,6
Portugal. The Man,False,30,26,26,Feel It Still,9
Khalid,False,29,16,27,Location,32
Future,False,25,5,28,Mask Off,26
P!nk,False,82,29,29,What About Us,2
James Arthur,False,27,11,30,Say You Won't Let Go,43
Kendrick Lamar Featuring Rihanna,False,32,14,31,Loyalty.,18
Halsey,False,26,17,32,Now Or Never,19
Bruno Mars,False,43,33,33,Versace On The Floor,10
Kygo x Selena Gomez,False,31,10,34,It Ain't Me,27
SZA Featuring Travis Scott,False,35,35,35,Love Galore,10
Playboi Carti,False,34,29,36,Magnolia,16
Logic Featuring Alessia Cara & Khalid,False,50,37,37,1-800-273-8255,16
Dustin Lynch,False,38,38,38,Small Town Boy,11
Ed Sheeran,False,33,6,39,Castle On The Hill,32
YFN Lucci Featuring PnB Rock,False,36,33,40,Everyday We Lit,19
A Boogie Wit da Hoodie Featuring Kodak Black,False,39,38,41,Drowning,20
Marshmello Featuring Khalid,True,0,42,42,Silence,1
Cheat Codes Featuring Demi Lovato,False,42,42,43,No Promises,14
Kane Brown Featuring Lauren Alaina,False,40,40,44,What Ifs,10
Brett Young,False,41,19,45,In Case You Didn't Know,28
Migos Featuring Gucci Mane,False,37,29,46,Slippery,21
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",False,46,46,47,It's A Vibe,10
Selena Gomez Featuring Gucci Mane,False,47,27,48,Fetish,6
Khalid,False,49,49,49,Young Dumb & Broke,5
Old Dominion,False,51,50,50,No Such Thing As A Broken Heart,12
Midland,False,48,48,51,Drinkin' Problem,15
Tay-K,False,70,52,52,The Race,2
Maluma,False,61,48,53,Felices Los 4,14
GoldLink Featuring Brent Faiyaz & Shy Glizzy,False,58,54,54,Crew,8
Jon Pardi,False,54,54,55,Heartache On The Dance Floor,7
Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,False,62,40,56,Back To You,4
Imagine Dragons,False,53,53,57,Thunder,16
Travis Scott,False,55,55,58,Butterfly Effect,12
Justin Moore,False,64,59,59,Somebody Else Will,11
Thomas Rhett Featuring Maren Morris,False,63,39,60,Craving You,20
Meek Mill Featuring Chris Brown & Ty Dolla $ign,False,57,51,61,Whatever You Need,6
Billy Currington,False,52,47,62,Do I Make You Wanna,10
blackbear,False,67,63,63,Do Re Mi,10
David Guetta Featuring Justin Bieber,False,45,16,64,2U,10
Lady Antebellum,False,69,59,65,You Look Good,19
Kendrick Lamar,False,59,4,66,DNA.,18
Hailee Steinfeld,False,60,58,67,Most Girls,13
Luke Combs,False,80,68,68,When It Rains It Pours,3
Wisin Featuring Ozuna,False,68,68,69,Escapate Conmigo,10
Kendrick Lamar Featuring Zacari,False,72,18,70,Love.,18
Macklemore Featuring Skylar Grey,False,71,71,71,Glorious,6
Dylan Scott,False,66,39,72,My Girl,17
Thomas Rhett,False,86,68,73,Unforgettable,3
Cole Swindell,False,56,56,74,Flatliner,17
SZA,False,75,75,75,The Weekend,3
The Weeknd,False,65,31,76,Reminder,15
The Chainsmokers,False,77,77,77,Honest,3
Miley Cyrus,False,73,10,78,Malibu,15
Brothers Osborne,False,91,79,79,It Ain't My Fault,9
Kenny Chesney,False,92,80,80,All The Pretty Girls,3
Dua Lipa,False,83,81,81,New Rules,3
Jason Aldean,False,89,82,82,They Don't Know,3
Selena Gomez,False,74,20,83,Bad Liar,14
Tee Grizzley,False,78,48,84,First Day Out,20
Carly Pearce,False,98,85,85,Every Little Thing,3
Kodak Black,False,76,76,86,Patty Cake,2
The Revivalists,False,88,87,87,Wish I Knew You,3
Kip Moore,True,0,88,88,More Girls Like You,1
Jacquees,False,94,89,89,B.E.D.,2
2 Chainz Featuring Travis Scott,False,93,55,90,4 AM,11
Chris Brown,False,79,62,91,Privacy,16
Wiz Khalifa Featuring Ty Dolla $ign,True,0,92,92,Something New,1
Rae Sremmurd,False,84,84,93,Perplexing Pegasus,2
Chris Lane,False,97,94,94,For Her,3
YoungBoy Never Broke Again,True,0,95,95,Untouchable,1
Descendants 2 Cast,False,96,77,96,It's Goin' Down,4
Maren Morris,True,0,97,97,I Could Use A Love Song,1
Chris Janson,True,0,98,98,Fix A Drink,1
Nicky Jam,False,100,92,99,El Amante,15
Playboi Carti Featuring Lil Uzi Vert,False,0,76,100,Wokeuplikethis*,10
