artist,isNew,last,peak,rank,title,week
Bruno Mars,False,3,1,1,Just The Way You Are,9
Eminem Featuring Rihanna,False,2,1,2,Love The Way You Lie,13
Rihanna,False,75,3,3,Only Girl (In The World),2
Katy Perry,False,1,1,4,Teenage Dream,9
Usher Featuring Pitbull,False,6,5,5,DJ Got Us Fallin' In Love,10
Taio Cruz,False,4,2,6,Dynamite,16
Enrique Iglesias Featuring Pitbull,False,5,4,7,I Like It,19
Nelly,False,7,7,8,Just A Dream,5
Flo Rida Featuring David Guetta,False,9,9,9,Club Can't Handle Me,12
Far*East Movement Featuring Cataracs & Dev,False,16,10,10,Like A G6,6
Ke$ha,False,8,8,11,Take It Off,10
Taylor Swift,False,10,3,12,Mine,7
Trey Songz Featuring Nicki Minaj,False,17,13,13,Bottoms Up,6
Eminem,False,15,1,14,Not Afraid,20
Mike Posner,False,13,6,15,Cooler Than Me,21
B.o.B Featuring Hayley Williams,False,14,2,16,Airplanes,23
Katy Perry Featuring Snoop Dogg,False,12,1,17,California Gurls,19
B.o.B Featuring Rivers Cuomo,False,11,10,18,Magic,15
Chris Brown Featuring Tyga & Kevin McCall,False,20,19,19,Deuces,12
Maroon 5,False,19,17,20,Misery,13
Florence + The Machine,False,93,21,21,Dog Days Are Over,2
Neon Trees,False,24,22,22,Animal,16
Jason Derulo,False,18,9,23,Ridin' Solo,25
Usher Featuring will.i.am,False,21,1,24,OMG,25
Drake Featuring T.I. & Swizz Beatz,False,49,25,25,Fancy,8
Sugarland,False,22,20,26,Stuck Like Glue,8
Linkin Park,False,73,27,27,The Catalyst,7
OneRepublic,False,26,26,28,Secrets,13
Usher Featuring Jay-Z,False,30,25,29,Hot Tottie,6
Adam Lambert,False,31,30,30,If I Had You,13
Lil Wayne Featuring Drake,False,28,6,31,Right Above It,5
Kenny Chesney,False,29,18,32,The Boys of Fall,8
Travie McCoy Featuring Bruno Mars,False,23,4,33,Billionaire,25
Drake,False,25,5,34,Find Your Love,20
CeeLo Green,False,36,33,35,F**k You! (Forget You),4
Sean Kingston Featuring Nicki Minaj,False,37,36,36,Letting Go (Dutty Love),7
Kings Of Leon,True,0,37,37,Radioactive,1
Nicki Minaj,False,27,14,38,Your Love,16
Paramore,False,43,24,39,The Only Exception,17
The Band Perry,False,39,39,40,If I Die Young,11
Jay Sean Featuring Nicki Minaj,False,41,41,41,2012 (It Ain't The End),7
Train,False,33,3,42,"Hey, Soul Sister",51
Train,False,34,34,43,If It's Love,15
Cali Swag District,False,38,28,44,Teach Me How To Dougie,17
Sara Bareilles,False,32,32,45,King Of Anything,13
Waka Flocka Flame Featuring Roscoe Dash & Wale,False,45,45,46,No Hands,2
Lady Antebellum,False,46,2,47,Need You Now,58
Uncle Kracker,False,44,31,48,Smile,33
Drake Featuring Lil Wayne,False,42,15,49,Miss Me,16
The Script,False,50,12,50,Breakeven,42
John Mayer,False,40,25,51,Half Of My Heart,17
Lady Antebellum,False,51,51,52,Our Kind Of Love,15
Daughtry,False,57,53,53,September,7
Darius Rucker,False,53,53,54,Come Back Song,10
Billy Currington,False,47,41,55,Pretty Good At Drinkin' Beer,16
Zac Brown Band Featuring Alan Jackson,False,72,56,56,As She's Walking Away,6
will.i.am & Nicki Minaj,False,78,57,57,Check It Out,2
Monica,False,58,58,58,Love All Over Me,10
T.I. Featuring Keri Hilson,False,52,38,59,Got Your Back,16
Rodney Atkins,False,63,60,60,Farmer's Daughter,14
Rick Ross Featuring Styles P,False,62,60,61,B.M.F. (Blowin' Money Fast),11
Easton Corbin,False,65,62,62,Roll With It,10
