artist,isNew,last,peak,rank,title,week
Ja Rule Featuring Ashanti,False,1,1,1,Always On Time,16
Nickelback,False,2,1,2,How You Remind Me,26
Jennifer Lopez Featuring Ja Rule,False,4,3,3,Ain't It Funny,10
Linkin Park,False,5,4,4,In The End,18
No Doubt Featuring Bounty Killer,False,6,5,5,Hey Baby,13
Usher,False,3,1,6,U Got It Bad,24
The Calling,False,7,7,7,Wherever You Will Go,17
Creed,False,8,4,8,My Sacrifice,19
Brandy,False,10,9,9,What About Us?,6
Craig David,False,12,10,10,7 Days,13
LeAnn Rimes,False,14,11,11,Can't Fight The Moonlight,33
Kylie Minogue,False,15,12,12,Can't Get You Out Of My Head,6
Puddle Of Mudd,False,17,13,13,Blurry,11
P!nk,False,9,4,14,Get The Party Started,19
Shakira,False,13,6,15,"Whenever, Wherever",19
Mr. Cheeks,False,24,16,16,"Lights, Camera, Action!",21
Mary J. Blige,False,16,15,17,No More Drama,12
Tweet,False,25,18,18,Oops (Oh My),4
OutKast Featuring Killer Mike,False,19,19,19,The Whole World,11
Alicia Keys,False,11,7,20,A Woman's Worth,19
Mary J. Blige,False,18,1,21,Family Affair,32
'N Sync Featuring Nelly,False,30,22,22,Girlfriend,4
Fat Joe Featuring Ashanti,False,36,23,23,What's Luv?,3
Ludacris,False,23,17,24,Roll Out (My Business),17
Enrique Iglesias,False,20,3,25,Hero,23
City High Featuring Eve,False,22,18,26,Caramel,21
Alanis Morissette,False,27,27,27,Hands Clean,5
KeKe Wyatt Featuring Avant,False,28,28,28,Nothing In This World,9
Michael Jackson,False,21,14,29,Butterflies,16
Faith Evans,False,37,30,30,I Love You,6
Usher,False,50,31,31,U Don't Have To Call,4
Jewel,False,32,25,32,Standing Still,16
Five For Fighting,False,26,14,33,Superman (It's Not Easy),27
Steve Holy,False,29,29,34,Good Morning Beautiful,14
Glenn Lewis,False,42,35,35,Don't You Forget It,14
Tim McGraw,False,44,36,36,The Cowboy In Me,8
Jo Dee Messina With Tim McGraw,False,39,37,37,Bring On The Rain,13
Brad Paisley,False,35,35,38,Wrapped Around,16
Jermaine Dupri & Ludacris,False,45,39,39,Welcome To Atlanta,10
'N Sync,False,41,11,40,Gone,24
Aaliyah,False,53,41,41,More Than A Woman,5
Brooks & Dunn,False,40,40,42,The Long Goodbye,11
R. Kelly,False,43,34,43,The World's Greatest,10
Fat Joe Featuring R. Kelly,False,34,15,44,We Thuggin',19
B2K,False,38,38,45,Uh Huh,9
Train,False,46,5,46,Drops Of Jupiter (Tell Me),51
Enrique Iglesias,False,70,47,47,Escape,2
Fabolous,False,33,33,48,Young'n (Holla Back),14
Busta Rhymes,False,31,26,49,Break Ya Neck,17
Martina McBride,False,52,50,50,Blessed,8
Ashanti,False,69,51,51,Foolish,3
Default,False,56,52,52,Wasting My Time,9
P.O.D.,False,59,53,53,Youth Of The Nation,4
"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",False,55,45,54,Take Away,12
Kenny Chesney,False,60,55,55,Young,4
Michelle Branch,False,67,56,56,All You Wanted,2
Dixie Chicks,False,61,57,57,Some Days You Gotta Dance,7
Mystikal,False,51,37,58,Bouncin' Back (Bumpin' Me Against The Wall),12
Chris Cagle,False,65,59,59,"I Breathe In, I Breathe Out",4
Alan Jackson,False,54,28,60,Where Were You (When The World Stopped Turning),15
Rascal Flatts,False,66,61,61,I'm Movin' On,5
Mobb Deep Featuring 112,False,58,58,62,Hey Luv (Anything),6
Corey Featuring Lil' Romeo,False,71,63,63,Hush Lil' Lady,6
Natalie Imbruglia,True,0,64,64,Wrong Impression,1
Toby Keith,False,72,65,65,My List,3
Joe Diffie,False,68,66,66,In Another World,7
Jaheim Featuring Next,False,75,67,67,Anything,2
Aaron Tippin,False,62,20,68,Where The Stars And Stripes And The Eagle Fly,20
George Strait,False,57,34,69,Run,19
Tommy Shane Steiner,False,76,70,70,What If She's An Angel,2
Beanie Sigel & Freeway,False,73,71,71,Roc The Mic,2
Nelly,False,63,22,72,#1,20
Celine Dion,True,0,73,73,A New Day Has Come,1
Phil Vassar,False,77,74,74,That's When I Love You,2
Staind,True,0,75,75,For You,1
Tracy Byrd,False,64,64,76,Just Let Me Be In Love,8
Hoobastank,True,0,77,77,Crawling In The Dark,1
Ludacris Featuring Sleepy Brown,False,86,78,78,Saturday (Oooh! Ooooh!),3
iio,False,87,79,79,Rapture (Tastes So Sweet),3
Vanessa Carlton,True,0,80,80,A Thousand Miles,1
Darren Hayes,True,0,81,81,Insatiable,1
Jonell & Method Man,False,78,62,82,Round And Round,12
P.O.D.,False,80,41,83,Alive,18
JAY-Z,False,81,66,84,Jigga,6
Busta Rhymes Featuring P. Diddy & Pharrell,True,0,85,85,Pass The Courvoisier Part II,1
DMX Featuring Faith Evans,False,89,86,86,I Miss You,5
Angie Stone,False,79,52,87,Brotha,17
Backstreet Boys,False,90,28,88,Drowning,20
Amanda Perez,False,93,89,89,Never,3
System Of A Down,False,83,76,90,Chop Suey,9
Sharissa,False,92,91,91,Any Other Night,4
Kevin Denney,False,96,92,92,That's Just Jessie,5
Nas,False,97,89,93,Got Ur Self A...,12
The Offspring,False,85,77,94,Defy You,9
Garth Brooks,False,84,46,95,Wrapped Up In You,19
Trace Adkins,False,88,44,96,I'm Tryin',20
Method Man & Redman,False,91,72,97,Part II,11
David Ball,False,98,36,98,Riding With Private Malone,19
Master P Featuring Weebie,False,95,63,99,Ooohhhwee,10
Joe,False,94,68,100,Let's Stay Home Tonight,11
