artist,isNew,last,peak,rank,title,week
Usher,False,1,1,1,Confessions Part II,14
Juvenile Featuring Soulja Slim,False,2,2,2,Slow Motion,14
Usher,False,3,1,3,Burn,21
Terror Squad,False,7,4,4,Lean Back,6
Alicia Keys,False,5,4,5,If I Ain't Got You,22
Nina Sky Featuring Jabba,False,6,6,6,Move Ya Body,14
Hoobastank,False,4,2,7,The Reason,20
Kevin Lyttle Featuring Spragga Benz,False,9,8,8,Turn Me On,11
Lloyd Banks,False,8,8,9,On Fire,12
Christina Milian,False,11,10,10,Dip It Low,15
Kanye West,False,14,11,11,Jesus Walks,13
JoJo,False,13,12,12,Leave (Get Out),17
Maroon 5,False,12,5,13,This Love,25
Lil' Flip Featuring Lea,False,25,14,14,Sunshine,7
"Houston Featuring Chingy, Nate Dogg & I-20",False,21,15,15,I Like That,7
Petey Pablo,False,10,7,16,Freek-A-Leek,31
Usher Featuring Lil Jon & Ludacris,False,16,1,17,Yeah!,30
Switchfoot,False,19,18,18,Meant To Live,18
Monica,False,23,19,19,U Should've Known Better,9
Los Lonely Boys,False,22,20,20,Heaven,12
Ciara Featuring Petey Pablo,False,31,21,21,Goodies,6
Britney Spears,False,15,15,22,Everytime,11
Ashlee Simpson,False,28,23,23,Pieces Of Me,5
Mario Winans Featuring Enya & P. Diddy,False,17,2,24,I Don't Wanna Know,24
Alicia Keys Featuring Tony! Toni! Tone!,False,26,25,25,Diary,7
Lloyd Featuring Ashanti,False,29,26,26,Southside,11
Nelly Featuring Jaheim,False,69,27,27,My Place,2
Beyonce,False,24,3,28,Naughty Girl,19
D12,False,37,29,29,How Come,5
Twista Featuring R. Kelly,False,34,30,30,So Sexy,6
Twista,False,20,6,31,Overnight Celebrity,19
Tim McGraw,False,32,31,32,Live Like You Were Dying,8
Ying Yang Twins Featuring Trick Daddy,False,30,30,33,Whats Happnin!,13
Fantasia,False,18,1,34,I Believe,4
Kenny Chesney,False,35,35,35,I Go Back,8
Jadakiss Featuring Anthony Hamilton,False,52,36,36,Why?,3
Reba McEntire,False,41,37,37,Somebody,8
J-Kwon,False,36,2,38,Tipsy,29
Evanescence,False,39,7,39,My Immortal,30
OutKast,False,27,9,40,Roses,21
Maroon 5,False,50,41,41,She Will Be Loved,2
Brad Paisley Featuring Alison Krauss,False,47,42,42,Whiskey Lullaby,7
Yellowcard,False,38,37,43,Ocean Avenue,12
3 Doors Down,False,42,5,44,Here Without You,49
Counting Crows,False,48,45,45,Accidentally In Love,6
Beenie Man Featuring Ms. Thing,False,44,26,46,Dude,26
Akon Featuring Styles P.,False,54,47,47,Locked Up,8
Nickelback,False,46,7,48,Someday,50
LL Cool J,False,60,49,49,Headsprung,4
Billy Currington,False,57,50,50,I Got A Feelin',6
Avril Lavigne,False,40,22,51,Don't Tell Me,18
Mis-Teeq,False,45,35,52,Scandalous,11
Nickelback,False,62,53,53,Feelin' Way Too Damn Good,5
Young Buck,False,73,54,54,Let Me In,2
Finger Eleven,False,67,55,55,One Thing,2
Terri Clark,False,64,56,56,Girls Lie Too,4
Josh Gracin,False,66,57,57,I Want To Live,5
Velvet Revolver,False,56,56,58,Slither,12
The Black Eyed Peas,False,51,23,59,Hey Mama,17
Linkin Park,False,74,60,60,Breaking The Habit,2
Keith Urban,False,72,61,61,Days Go By,2
R. Kelly,False,43,19,62,Happy People,17
Mase,False,53,32,63,Welcome Back,9
Slum Village Featuring Kanye West & John Legend,False,65,64,64,Selfish,11
Diana DeGarmo,False,33,14,65,Dreams,3
Gretchen Wilson,False,59,22,66,Redneck Woman,17
Montgomery Gentry,False,55,30,67,If You Ever Stop Loving Me,16
Martina McBride,False,68,68,68,How Far,4
Pitbull Featuring Lil Jon,False,61,32,69,Culo,15
Avril Lavigne,True,0,70,70,My Happy Ending,1
"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",False,75,63,71,Hey Good Lookin',7
Toby Keith,False,58,31,72,Whiskey Girl,14
311,False,76,72,73,Love Song,14
3 Doors Down,False,71,65,74,Away From The Sun,5
Big & Rich,True,0,75,75,Save A Horse (Ride A Cowboy),1
Andy Griggs,True,0,76,76,She Thinks She Needs Me,1
R. Kelly,True,0,77,77,U Saved Me,1
Modest Mouse,False,78,78,78,Float On,10
Three Days Grace,True,0,79,79,Just Like You,1
John Michael Montgomery,False,77,24,80,Letters From Home,20
Mobb Deep,False,80,64,81,Got It Twisted,16
T.I.,False,82,80,82,Let's Get Away,4
Lil Scrappy,False,85,83,83,No Problem,3
David Lee Murphy,False,63,44,84,Loco,13
Lonestar,False,70,38,85,Let's Be Us Again,17
Teena Marie Featuring Baby,False,83,70,86,Still In Love,10
Brandy Featuring Kanye West,False,79,36,87,Talk About Our Love,12
Elephant Man,False,81,57,88,Jook Gal (Wine Wine),15
Franz Ferdinand,False,93,89,89,Take Me Out,5
Jet,False,89,55,90,Cold Hard Bitch,18
Play-N-Skillz Featuring Krayzie Bone & Adina Howard,False,88,69,91,Freaks,4
Julie Roberts,False,96,92,92,Break Down Here,3
NB Ridaz Featuring Gemini,False,91,91,93,So Fly,6
Shawnna Featuring Ludacris,True,0,94,94,Shake That Sh**,1
Blink-182,False,90,42,95,I Miss You,20
Lionel Richie,False,98,92,96,Just For You,13
Beastie Boys,False,92,68,97,Ch-Check It Out,12
Kimberley Locke,False,95,49,98,8th World Wonder,19
Ryan Cabrera,True,0,99,99,On The Way Down,1
Ludacris,False,94,94,100,Diamond In The Back,3
