"","","","","","","","","","","","","yeah","yeah","yeah","yeah","","night","stand","","know","want","know","","yeah","find","need","side","wanna","","next","cause","need","","love","","love","","heart","cause","need","","love","","love","","heart","baby","give","cause","want","want","nobody","","","body","baby","nobody","","need","cause","want","want","nobody","","","body","baby","nobody","","need","tonight","","made","mistakes","time","time","time","time","today","leave","","find","looking","find","need","side","wanna","dance","moon","cause","need","","love","","love","","heart","cause","need","","love","","love","","heart","baby","give","cause","want","want","nobody","","","body","baby","nobody","","need","cause","want","want","nobody","","","body","baby","nobody","","need","tonight","love","like","roller","coaster","","take","breath","away","feels","like","slowly","falling","deeper","deeper","deeper","deeper","cause","need","","love","","love","","heart","cause","need","","love","","love","","heart","baby","give","cause","want","want","nobody","","","body","baby","nobody","","need","cause","want","want","nobody","","","body","baby","nobody","","need","tonight","cause","want","want","nobody","","","body","baby","nobody","","need","cause","want","want","nobody","","","body","baby","nobody","","need","tonight","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"baby","stay","ain't","going","nowhere","know","scared","cause","hurt","baby","alright","lost","eyes","every","time","look","mine","promise","need","leave","baby","cause","just","wanna","love","never","ever","","nobody","just","wanna","kiss","baby","just","wanna","","","","baby","","","cause","right","ain't","nobody","gotta","hold","","cause","right","ain't","nobody","","control","","cause","right","right","yeah","yeah","right","right","right","right","yeah","right","right","yeah","right","right","yeah","","mine","","fine","","together","selfish","","since","reason","last","forever","wished","knew","make","thing","","right","promise","need","leave","baby","cause","just","wanna","love","never","ever","","nobody","else","just","wanna","kiss","baby","just","wanna","","","","baby","","","cause","right","ain't","nobody","gotta","hold","","cause","right","ain't","nobody","","control","","cause","right","right","yeah","yeah","right","right","right","right","yeah","right","right","yeah","right","right","yeah","","good","girl's","","mind","right","raised","right","patient","know","waiting","waiting","good","things","time's","right","","","know","baby","just","wanna","","want","baby","tell","","girl","","make","feel","perfect","girl","worth","just","need","","work","girl","cause","right","ain't","nobody","gotta","hold","","cause","right","ain't","nobody","","control","","cause","right","right","yeah","yeah","right","right","right","right","yeah","right","right","yeah","right","right","yeah","right","right","yeah","yeah","woah","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","situation","woah","just","tryna","make","little","","hesitation","woah","tell","name","information","","wrong","know","right","cold","fire","tomorrow","","start","tonight","know","woah","take","take","home","take","","wanna","","pick","take","slow","take","","","","","take","take","home","take","","wanna","","pick","take","slow","take","","","","","might","reputation","woah","equation","promise","occasion","woah","different","situation","information","","wrong","know","right","cold","fire","tomorrow","","start","tonight","know","take","take","home","take","","wanna","","pick","take","slow","take","","","","","take","take","home","take","","wanna","","pick","take","slow","take","","","","","take","take","home","yeah","yeah","yeah","take","take","home","baby","señorita","","chérie","please","little","lady","little","lady","yeah","","amor","","adore","come","little","lady","little","lady","baby","señorita","","chérie","please","little","lady","little","lady","yeah","","amor","","adore","come","little","lady","little","lady","take","take","home","take","","wanna","","pick","take","slow","take","","","","","take","take","home","take","","wanna","","pick","take","slow","take","","","","","","situation","woah","","situation","woah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"girl","fooled","smile","mistaken","","love","","stray","yeah","looks","deceiving","convinced","yeah","clear","","explain","yeah","","know","","take","time","figure","fight","feeling","just","live","moment","though","infatuation","good","cause","love","thought","thought","thought","love","thought","things","thought","girl","love","thought","girl","love","thought","love","thought","fell","victim","style","amazing","girl","league","rather","stuck","denial","yeah","tryna","without","girl","girl","girl","girl","clear","","explain","yeah","","know","","take","time","figure","fight","feeling","just","live","moment","though","infatuation","good","cause","love","thought","thought","thought","love","thought","things","thought","girl","love","thought","girl","love","thought","girl","love","thought","girl","love","thought","clear","","explain","yeah","","know","","take","time","figure","fight","feeling","just","live","moment","though","infatuation","good","cause","love","thought","thought","thought","love","thought","things","thought","girl","love","thought","love","thought","things","thought","girl","love","thought","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"worked","","jobs","keep","roof","heads","chose","life","never","gave","admire","strength","you’ve","instilled","young","just","","","brave","nothing","gonna","stop","","","know","always","you’re","lost","you’re","tired","you’re","broken","","","love","take","higher","cause","still","turn","still","turn","still","turn","year","everything","started","change","woman","forced","change","ways","change","ways","found","lord","gave","life","ignore","love","wanted","heart","you’re","lost","you’re","tired","you’re","broken","","","love","take","higher","cause","still","turn","don’t","know","","left","please","don’t","","away","everything","today","you’re","lost","you’re","tired","you’re","broken","","","love","take","higher","higher","cause","still","turn","still","turn","still","turn","still","turn","yeah","yeah","cause","turn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"another","ain't","","thing","instigators","like","putting","fire","propane","wrong","thing","worrying","","know","females","like","","mouths","wanna","wanna","just","like","talk","like","like","like","misery","misery","loves","company","","","change","mood","","","","","behind","back","back","back","back","tryna","tell","just","like","others","ain't","","ain't","","","","ain't","","","","might","make","","","","ain't","","","wanna","come","worst","enemy","","best","friend","perfect","ain't","saying","proven","least","proven","give","damn","wanna","wanna","everything","oughta","envy","envy","thing","jealousy","jealous","","","","","behind","back","back","back","back","tryna","tell","just","like","others","ain't","","ain't","","","","ain't","","","","might","make","","","","ain't","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","just","sure","stars","","need","shine","life","just","meanwhile","long","long","time","better","believe","","","whenever","presence","feels","like","missing","blessings","yeah","sleep","daylight","stay","awake","night","","back","","yeah","yeah","think","biased","significant","","right","head","missing","lover","","whole","","texts","phone","reply","next","eight","bars","tell","matters","yeah","yeah","ain't","worried","nobody","else","ain't","ain't","make","complete","matters","yeah","yeah","king","babe","without","queen","ain't","team","make","complete","matters","take","","","drive","feel","side","wake","morning","","","grateful","existence","faithful","matter","distance","girl","","bottom","heart","please","believe","matters","yeah","yeah","ain't","worried","nobody","else","ain't","ain't","make","complete","matters","yeah","yeah","king","babe","without","queen","ain't","team","make","complete","matters","yeah","yeah","yeah","yeah","matters","yeah","yeah","yeah","yeah","matters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"think","","easy","","girl","think","walked","away","like","nothing","baby","moment","hard","breathe","yeah","cause","took","away","biggest","part","yeah","life","","yeah","never","thought","love","like","leave","alone","","waste","time","already","made","mind","sympathy","cause","line","","yeah","think","","easy","","girl","think","walked","away","like","nothing","girl","","","","girl","knew","wrong","could've","said","goodbye","baby","","","","like","woah","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"girl","ready","ready","","","ever","gonna","","accept","","","","live","words","","wanna","","maybe","change","maybe","change","woah","maybe","light","opens","eyes","make","wrongs","right","change","change","fight","fire","fire","screaming","talk","quieter","","patience","feel","pain","facing","like","serenity","help","reposition","mind","take","chance","make","difference","life","maybe","change","maybe","change","woah","maybe","light","opens","eyes","make","wrongs","right","change","change","girl","ready","ready","","","ever","gonna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","focused","focused","","body","like","ain't","never","seen","nothin","like","","","like","fantasy","front","yeah","think","something","special","going","right","think","foreign","foreign","think","foreign","foreign","","passports","","amor","","started","slow","slow","","faster","","work","work","stopping","","","","stopping","","","","","","started","dancing","sexual","romancing","nasty","fancy","lipstick","satin","sheets","nationality","wonder","","attention","confident","","","confident","","","","","confident","tell","","walks","room","said","first","time","","yeah","yeah","think","might","lied","feels","good","damn","","yeah","yeah","know","addicted","","yeah","yeah","something","like","addict","","twisted","","yeah","yeah","still","gotta","explosive","explosive","still","smell","perfume","hard","notice","open","hypnotized","","moves","started","dancing","sexual","romancing","nasty","fancy","mona","lisa","masterpiece","nationality","wonder","","attention","confident","","","confident","","","","","confident","tell","","walks","room","said","first","time","","yeah","yeah","think","might","lied","feels","good","damn","","yeah","yeah","know","","addicted","","yeah","yeah","something","like","addict","","","","twisted","","yeah","yeah","still","gotta","chance","rapper","","tattoos","piercings","just","learned","twerk","","ain't","","heart","","just","brains","gotta","","cause","","learning","curve","","love","hurn","berb","mean","burn","word","legal","doctor's","note","","real","deep","pockets","like","doctor's","coat","","","stay","faded","like","diddy","hair","back","tryna","rock","boat","first","mate","rock","boat","","never","forget","ride","like","bicycle","like","planes","trains","chains"
