"","LHS","RHS","support","confidence","coverage","lift","count"
"457","{money}","{said}",0.0612813370473538,0.511627906976744,0.119777158774373,2.38538205980066,22
"337","{used}","{every}",0.0612813370473538,0.536585365853659,0.114206128133705,2.23993193420306,22
"439","{home}","{back}",0.0779944289693593,0.571428571428571,0.136490250696379,1.97252747252747,28
"534","{gotta}","{ain't}",0.0974930362116992,0.614035087719298,0.158774373259053,1.96820175438597,35
"135","{body}","{want}",0.0724233983286908,0.666666666666667,0.108635097493036,1.8994708994709,26
"150","{friends}","{take}",0.064066852367688,0.696969696969697,0.0919220055710306,1.83979500891266,23
"306","{nobody}","{ain't}",0.0668523676880223,0.571428571428571,0.116991643454039,1.83163265306122,24
"62","{side}","{time}",0.0724233983286908,0.8125,0.0891364902506964,1.80054012345679,26
"479","{much}","{back}",0.0779944289693593,0.518518518518518,0.15041782729805,1.78988603988604,28
"7","{babe}","{baby}",0.0668523676880223,0.774193548387097,0.0863509749303621,1.73709677419355,24
"49","{going}","{never}",0.0612813370473538,0.733333333333333,0.0835654596100279,1.72069716775599,22
"12","{enough}","{love}",0.0696378830083565,0.961538461538462,0.0724233983286908,1.71737466513586,25
"269","{i'ma}","{girl}",0.064066852367688,0.522727272727273,0.122562674094708,1.70599173553719,23
"458","{money}","{need}",0.0668523676880223,0.558139534883721,0.119777158774373,1.69806858494285,24
"420","{leave}","{ain't}",0.0752089136490251,0.529411764705882,0.142061281337047,1.69695378151261,27
